temperature,cte,units
20.0,1.135083408834588e-05,/°C
21.0,1.1391301531810402e-05,/°C
22.0,1.213076925278005e-05,/°C
23.0,1.2338236156526512e-05,/°C
24.0,1.220167440890758e-05,/°C
25.0,1.2300110774532826e-05,/°C
26.0,1.2558324122279992e-05,/°C
27.0,1.228845464375568e-05,/°C
28.0,1.1719376424032424e-05,/°C
29.0,1.2214191785442632e-05,/°C
30.0,1.1245246975678036e-05,/°C
31.0,1.2213245925942076e-05,/°C
32.0,1.2804021520051084e-05,/°C
33.0,1.1756741284990792e-05,/°C
34.0,1.1565033017248334e-05,/°C
35.0,1.2883265501307656e-05,/°C
36.0,1.141079543028362e-05,/°C
37.0,1.194555752838354e-05,/°C
38.0,1.191812232770261e-05,/°C
39.0,1.2250183369860384e-05,/°C
40.0,1.1440683977550608e-05,/°C
41.0,1.2143879305435514e-05,/°C
42.0,1.2236563723490608e-05,/°C
43.0,1.2752320606119568e-05,/°C
44.0,1.252650805915961e-05,/°C
45.0,1.2508427236537746e-05,/°C
46.0,1.253224121341847e-05,/°C
47.0,1.2267807167206193e-05,/°C
48.0,1.1666456345025783e-05,/°C
49.0,1.180775643892565e-05,/°C
50.0,1.1781251142071865e-05,/°C
51.0,1.1947907639187104e-05,/°C
52.0,1.2039359973573188e-05,/°C
53.0,1.2272551301347193e-05,/°C
54.0,1.2101788793758096e-05,/°C
55.0,1.2563314969154633e-05,/°C
56.0,1.1418895079546351e-05,/°C
57.0,1.3043735021026796e-05,/°C
58.0,1.1868987369769748e-05,/°C
59.0,1.26721812105711e-05,/°C
60.0,1.2623520215504303e-05,/°C
61.0,1.2932352298850197e-05,/°C
62.0,1.2859818610820748e-05,/°C
63.0,1.1737211798993725e-05,/°C
64.0,1.3798779881166012e-05,/°C
65.0,1.2887938341526852e-05,/°C
66.0,1.1411562510014042e-05,/°C
67.0,1.2425565439682664e-05,/°C
68.0,1.2630417097421747e-05,/°C
69.0,1.1821755265576513e-05,/°C
70.0,1.2728090153096903e-05,/°C
71.0,1.3382785161641509e-05,/°C
72.0,1.2831252339734406e-05,/°C
73.0,1.270371011767159e-05,/°C
74.0,1.235371732666576e-05,/°C
75.0,1.2921178030649244e-05,/°C
76.0,1.291279638629779e-05,/°C
77.0,1.2495675044250265e-05,/°C
78.0,1.1931876754635013e-05,/°C
79.0,1.2973170434572206e-05,/°C
80.0,1.2601962408965037e-05,/°C
81.0,1.2334991385747783e-05,/°C
82.0,1.202763658592348e-05,/°C
83.0,1.2771905118503632e-05,/°C
84.0,1.2971570182961344e-05,/°C
85.0,1.1627803433851733e-05,/°C
86.0,1.2266958913543743e-05,/°C
87.0,1.3320609197390924e-05,/°C
88.0,1.3384490157237917e-05,/°C
89.0,1.2709768283781086e-05,/°C
90.0,1.2532563777303436e-05,/°C
91.0,1.2437309644957291e-05,/°C
92.0,1.2212911151680319e-05,/°C
93.0,1.2308981467058412e-05,/°C
94.0,1.236976515145559e-05,/°C
95.0,1.316511922251786e-05,/°C
96.0,1.200657477053979e-05,/°C
97.0,1.318895262764452e-05,/°C
98.0,1.253602453871123e-05,/°C
99.0,1.3607707185571464e-05,/°C
100.0,1.3017683042344675e-05,/°C
101.0,1.2134847930662238e-05,/°C
102.0,1.3269512748242714e-05,/°C
103.0,1.2523116655224265e-05,/°C
104.0,1.3000376531999294e-05,/°C
105.0,1.2087658797098339e-05,/°C
106.0,1.3387580842105225e-05,/°C
107.0,1.2766529810242205e-05,/°C
108.0,1.1811685553285006e-05,/°C
109.0,1.2674300722541525e-05,/°C
110.0,1.2944909774866348e-05,/°C
111.0,1.2446377168176598e-05,/°C
112.0,1.3091641880298537e-05,/°C
113.0,1.2574205160308925e-05,/°C
114.0,1.277169330774173e-05,/°C
115.0,1.3300925981170943e-05,/°C
116.0,1.2675543941966869e-05,/°C
117.0,1.2798776048181209e-05,/°C
118.0,1.2624070936245325e-05,/°C
119.0,1.3256163663527253e-05,/°C
120.0,1.2446042484215841e-05,/°C
121.0,1.3511835513531137e-05,/°C
122.0,1.2837311813587614e-05,/°C
123.0,1.3166800256483292e-05,/°C
124.0,1.3298842657728246e-05,/°C
125.0,1.3952628372408898e-05,/°C
126.0,1.2874911407283032e-05,/°C
127.0,1.2744867107471781e-05,/°C
128.0,1.3091246825805741e-05,/°C
129.0,1.2655126591593551e-05,/°C
130.0,1.265420944582532e-05,/°C
131.0,1.2844672367675443e-05,/°C
132.0,1.2686459122361896e-05,/°C
133.0,1.2779285257569889e-05,/°C
134.0,1.3206016708642947e-05,/°C
135.0,1.2971324110804882e-05,/°C
136.0,1.2589087814570491e-05,/°C
137.0,1.3349991925279066e-05,/°C
138.0,1.3052267700843338e-05,/°C
139.0,1.1683740891646031e-05,/°C
140.0,1.3756988059844642e-05,/°C
141.0,1.318728524545977e-05,/°C
142.0,1.2703385650465748e-05,/°C
143.0,1.3435699152492449e-05,/°C
144.0,1.2917222305432531e-05,/°C
145.0,1.4329060338084428e-05,/°C
146.0,1.3320027046868964e-05,/°C
147.0,1.355117510614947e-05,/°C
148.0,1.3012977583840514e-05,/°C
149.0,1.3400949922951175e-05,/°C
150.0,1.333756533458992e-05,/°C
151.0,1.3750446170201617e-05,/°C
152.0,1.3683747006107673e-05,/°C
153.0,1.3746325605153991e-05,/°C
154.0,1.3688967480972284e-05,/°C
155.0,1.3783459832095657e-05,/°C
156.0,1.296208842852635e-05,/°C
157.0,1.3213712447317386e-05,/°C
158.0,1.4419237200208841e-05,/°C
159.0,1.3012560499210731e-05,/°C
160.0,1.330510500831931e-05,/°C
