Country_Code,Country_Name,Year,GDP_Growth,Inflation,Unemployment,Exchange_Rate,Interest_Rate,M2_Growth,Debt_to_GDP,Mobile_Subscriptions_per_100,Internet_Users_Percent,Secure_Servers_per_Million,GDP_Growth_Volatility,Exchange_Rate_Volatility,Inflation_Volatility
RWA,Rwanda,2010,8.75,8.58,7.21,49.74,10.82,13.07,60.0,54.39,12.29,0.94,,,
RWA,Rwanda,2011,7.06,3.22,7.58,51.53,4.63,7.63,60.52,125.92,49.87,15.94,1.1950104602052651,1.265721138323917,3.790092347159895
RWA,Rwanda,2012,2.6,8.12,13.4,51.29,10.1,4.8,63.21,118.49,54.38,15.25,3.1772682186641608,0.9716137778630592,2.9707238175232646
RWA,Rwanda,2013,1.81,4.57,14.86,53.67,6.52,4.99,62.65,144.13,58.31,19.84,2.830730176709416,1.3103180275541142,2.5309747792764217
RWA,Rwanda,2014,11.03,6.43,15.9,53.18,8.98,20.71,62.9,140.44,66.59,18.54,5.110404419743444,1.2567550808862058,1.7756782741626735
RWA,Rwanda,2015,7.73,4.47,5.04,54.26,5.51,8.68,65.12,140.14,66.33,22.32,4.671630693166287,0.5407710544521329,1.1038719732529385
RWA,Rwanda,2016,6.37,3.13,7.76,55.78,4.19,13.53,63.74,150.0,71.08,18.49,2.3963583482720887,1.3061903893894096,1.6596786837618112
RWA,Rwanda,2017,6.24,4.56,11.36,57.76,7.15,9.31,73.79,150.0,74.37,25.6,0.8252878285786086,1.7550308639261094,0.8008953323208597
RWA,Rwanda,2018,9.36,5.19,11.02,59.59,6.86,11.85,68.47,150.0,67.01,24.16,1.7650023607160783,1.905492062434232,1.055572514483652
RWA,Rwanda,2019,7.87,3.03,6.48,60.68,5.97,15.45,76.13,150.0,78.23,22.37,1.5605234164642747,1.4755450970177633,1.1108105148944205
RWA,Rwanda,2020,5.53,3.72,15.28,61.62,6.69,11.08,79.77,150.0,78.29,24.83,1.930656192420942,1.0159232254455983,1.1032225523438182
RWA,Rwanda,2021,9.53,5.16,8.99,62.75,7.78,14.6,75.24,150.0,80.0,29.62,2.009610244135248,1.0364522822267777,1.086784247217454
RWA,Rwanda,2022,9.06,4.66,13.96,62.55,7.04,13.43,80.4,150.0,80.0,24.2,2.1863897182341487,0.6030201765555395,0.7311178655547533
RWA,Rwanda,2023,9.3,6.89,8.68,64.82,7.91,12.47,81.34,150.0,80.0,27.09,0.2350177298276538,1.2568346483658948,1.1701709276853525
RWA,Rwanda,2024,5.45,2.37,9.08,66.99,5.14,6.19,81.61,150.0,80.0,27.85,2.1568572816330103,2.2201876797543414,2.260066370706844
