Country_Code,Country_Name,Year,GDP_Growth,Inflation,Unemployment,Exchange_Rate,Interest_Rate,M2_Growth,Debt_to_GDP,Mobile_Subscriptions_per_100,Internet_Users_Percent,Secure_Servers_per_Million,GDP_Growth_Volatility,Exchange_Rate_Volatility,Inflation_Volatility
CMR,Cameroon,2010,3.17,1.47,9.64,50.62,4.98,8.77,60.0,55.19,12.22,0.5,,,
CMR,Cameroon,2011,4.63,2.61,9.4,50.85,3.72,10.68,60.5,122.56,54.93,10.88,1.0323759005323594,0.1626345596729087,0.806101730552664
CMR,Cameroon,2012,2.9,1.48,9.06,52.52,5.02,4.46,62.27,124.69,52.12,18.73,0.9307165698177576,1.0369667304209942,0.6553116307020144
CMR,Cameroon,2013,4.87,2.04,12.32,53.71,5.99,8.08,64.16,142.11,56.78,18.46,1.0748178140193498,1.4366976021418023,0.5650073745831405
CMR,Cameroon,2014,6.7,2.88,7.3,55.1,4.01,15.91,63.59,132.06,63.81,20.94,1.900429775954201,1.2912913433200712,0.7046512139586033
CMR,Cameroon,2015,5.21,2.53,8.65,54.92,6.33,11.81,67.86,149.44,66.73,19.85,0.9733618717277426,0.7559320957158577,0.4219399641339195
CMR,Cameroon,2016,5.63,3.42,14.88,55.62,5.46,8.78,66.02,150.0,69.96,22.27,0.7682664468355588,0.3635014901391475,0.4483674088661365
CMR,Cameroon,2017,4.13,0.11,6.52,58.09,3.31,8.25,72.31,150.0,69.82,22.91,0.7738216848861248,1.665322791533249,1.712921480979207
CMR,Cameroon,2018,5.16,1.5,13.92,57.53,4.01,10.31,72.62,150.0,73.66,23.49,0.7672244347864152,1.2950289572052571,1.662056958510548
CMR,Cameroon,2019,6.08,1.5,13.23,58.94,3.43,13.16,73.58,150.0,73.77,25.54,0.9755169569686292,0.7099530500910046,0.80251687417358
CMR,Cameroon,2020,0.67,4.43,16.33,61.94,5.47,4.56,73.23,150.0,75.56,22.8,2.8946675111314604,2.252265526087069,1.6916362887256031
CMR,Cameroon,2021,5.87,0.98,7.4,61.1,4.34,15.48,70.22,150.0,79.46,25.14,3.064642447877621,1.547643369772358,1.8600089605518928
CMR,Cameroon,2022,3.76,3.04,11.19,63.85,5.94,7.68,79.52,150.0,80.0,25.94,2.6153457387759147,1.409266948925487,1.735809129291966
CMR,Cameroon,2023,3.24,0.83,14.85,63.85,4.74,5.96,68.71,150.0,80.0,26.71,1.3928029293478676,1.58771324027161,1.234922399721268
CMR,Cameroon,2024,6.55,1.39,5.15,65.2,3.84,8.79,80.79,150.0,80.0,29.79,1.7800093632712537,0.7794228634063165,1.1489270356873558
