Country_Code,Country_Name,Year,GDP_Growth,Inflation,Unemployment,Exchange_Rate,Interest_Rate,M2_Growth,Debt_to_GDP,Mobile_Subscriptions_per_100,Internet_Users_Percent,Secure_Servers_per_Million,GDP_Growth_Volatility,Exchange_Rate_Volatility,Inflation_Volatility
ZWE,Zimbabwe,2010,-5.98,61.9,13.01,99.93,64.11,-3.96,60.0,49.61,10.05,2.08,,,
ZWE,Zimbabwe,2011,0.83,251.79,8.44,107.88,255.11,7.15,60.69,125.1,52.14,16.38,4.815397179880389,5.621498910433044,134.2725066795135
ZWE,Zimbabwe,2012,4.92,-2.0,8.32,104.75,3.0,5.52,62.94,133.35,57.75,12.45,5.50627218118877,4.004826255074406,132.0042841476493
ZWE,Zimbabwe,2013,-2.75,10.42,7.01,112.83,12.87,1.73,61.76,143.31,60.18,18.1,3.83782490481262,4.074019309396229,143.07521180600548
ZWE,Zimbabwe,2014,0.18,-2.0,6.69,123.04,3.0,4.22,65.47,141.63,60.32,16.4,3.87043063926139,9.1656478221673,7.170690343335384
ZWE,Zimbabwe,2015,7.31,-2.0,9.72,132.96,3.0,15.27,67.81,144.62,61.02,19.69,5.174060301156143,10.065348147646649,7.170690343335384
ZWE,Zimbabwe,2016,1.15,108.46,10.45,128.33,110.28,6.17,70.26,150.0,61.46,19.87,3.867027282034611,4.963657925361143,63.77411073468608
ZWE,Zimbabwe,2017,0.67,29.93,5.24,134.38,33.46,4.38,73.59,150.0,70.14,22.66,3.702827748266631,3.163747777557559,56.84466758925884
ZWE,Zimbabwe,2018,-0.7,-2.0,11.22,154.85,3.0,2.32,73.51,150.0,74.57,22.83,0.9600173609541316,13.898044226916731,56.84466758925884
ZWE,Zimbabwe,2019,-3.97,-2.0,12.65,157.72,3.0,5.48,71.24,150.0,77.57,23.59,2.383953299318873,12.728009794674636,18.43479409522483
ZWE,Zimbabwe,2020,-1.49,-2.0,10.22,159.98,3.0,2.1,71.43,150.0,78.51,24.03,1.7062336690305175,2.571037404110048,0.0
ZWE,Zimbabwe,2021,-2.18,83.9,9.01,179.47,85.03,2.27,78.06,150.0,76.62,26.5,1.28001302076711,11.95847119548868,49.59438812338888
ZWE,Zimbabwe,2022,1.6,60.05,9.45,184.75,61.81,0.69,77.82,150.0,80.0,25.8,2.0129828613279366,13.046656021116368,44.343047181416566
ZWE,Zimbabwe,2023,-5.11,53.26,4.78,197.06,56.0,1.95,75.01,150.0,80.0,26.39,3.36396095894904,9.026097347875853,16.092110903586754
ZWE,Zimbabwe,2024,4.83,127.93,14.03,205.77,130.19,9.45,77.45,150.0,80.0,26.35,5.070512794580052,10.561254660313717,41.29044966252288
