Country_Code,Country_Name,Year,GDP_Growth,Inflation,Unemployment,Exchange_Rate,Interest_Rate,M2_Growth,Debt_to_GDP,Mobile_Subscriptions_per_100,Internet_Users_Percent,Secure_Servers_per_Million,GDP_Growth_Volatility,Exchange_Rate_Volatility,Inflation_Volatility
NAM,Namibia,2010,-0.62,3.31,6.14,50.02,5.79,8.5,45.0,55.97,8.99,1.83,,,
NAM,Namibia,2011,6.73,7.33,13.62,50.11,10.98,13.51,46.44,110.3,58.73,15.52,5.197234841721125,0.0636396103067891,2.842569260369921
NAM,Namibia,2012,5.38,7.2,4.89,52.65,9.04,6.24,46.63,127.32,58.28,18.03,3.9124800318979274,1.4931287062183682,2.2843452745444006
NAM,Namibia,2013,4.79,5.84,11.8,53.4,9.14,10.84,46.9,140.35,56.11,17.95,0.9945015501915188,1.724248628630266,0.8252878285786104
NAM,Namibia,2014,-1.1,1.73,4.47,54.79,5.58,2.98,47.43,140.15,63.25,18.07,3.5830759597492947,1.085833013558427,2.847882254120301
NAM,Namibia,2015,2.45,7.91,12.08,54.21,9.13,2.63,49.24,141.19,66.9,18.74,2.965642145191042,0.6981642595645934,3.1456159969074413
NAM,Namibia,2016,2.61,6.4,13.66,55.69,9.32,1.6,56.81,141.74,70.75,19.29,2.0973077981068955,0.7457434768962935,3.2218369501471256
NAM,Namibia,2017,3.84,5.02,11.0,57.63,7.89,9.47,51.04,150.0,72.53,23.12,0.7605480480109907,1.7151481957351018,1.4454872304290116
NAM,Namibia,2018,3.59,7.74,10.79,58.05,10.23,7.06,52.41,150.0,70.01,21.75,0.6501025560119947,1.2589413542073282,1.3600490187244485
NAM,Namibia,2019,3.04,6.91,4.08,60.57,7.92,10.51,53.77,150.0,74.9,22.44,0.409267638593617,1.590094336824101,1.3939990435195195
NAM,Namibia,2020,-0.18,4.02,11.13,61.65,7.7,7.37,55.66,150.0,78.37,28.96,2.036492081988043,1.847376518200909,1.9527501973712191
NAM,Namibia,2021,6.92,2.34,13.49,63.33,5.63,15.63,66.19,150.0,80.0,26.41,3.5551089997354506,1.3908270920571542,2.311543495877448
NAM,Namibia,2022,2.29,4.12,8.81,64.57,6.62,2.96,54.76,150.0,80.0,24.17,3.604344600617426,1.4655146991188923,1.0000666644445912
NAM,Namibia,2023,6.09,4.36,14.44,64.61,8.0,7.67,55.71,150.0,80.0,26.52,2.4686636060832585,0.7277362159465824,1.1035095528962726
NAM,Namibia,2024,1.96,7.55,9.37,66.36,9.73,4.25,70.69,150.0,80.0,26.17,2.295132530668616,1.0221056696840598,1.914793287363764
