Country_Code,Country_Name,Year,GDP_Growth,Inflation,Unemployment,Exchange_Rate,Interest_Rate,M2_Growth,Debt_to_GDP,Mobile_Subscriptions_per_100,Internet_Users_Percent,Secure_Servers_per_Million,GDP_Growth_Volatility,Exchange_Rate_Volatility,Inflation_Volatility
AGO,Angola,2010,0.71,16.49,8.43,50.3,18.29,9.73,60.0,55.95,13.04,0.5,,,
AGO,Angola,2011,4.24,20.24,11.36,51.91,21.56,10.9,60.8,126.7,57.85,17.45,2.496086937588513,1.138441917710341,2.6516504294495533
AGO,Angola,2012,-2.03,28.56,2.86,51.92,32.44,4.52,62.2,128.07,56.98,15.27,3.143283845492375,0.9324340906108782,6.177510285975519
AGO,Angola,2013,0.51,17.53,9.62,52.55,19.84,10.76,64.37,141.91,60.99,16.05,3.1537649457962678,0.3666515148384533,5.747860471514596
AGO,Angola,2014,2.26,19.54,3.96,53.63,21.29,5.19,62.38,148.53,60.53,22.23,2.15708908794545,0.8648121183239743,5.874541116830602
AGO,Angola,2015,4.49,18.26,13.91,56.16,20.9,10.94,68.07,138.81,64.75,23.42,1.9948182874637983,1.8528986300748655,1.0174641680832637
AGO,Angola,2016,0.35,10.04,15.82,55.79,12.15,12.44,71.06,150.0,69.07,25.28,2.072060166436616,1.3664674651572533,5.155204489962874
AGO,Angola,2017,-1.63,21.65,7.75,57.3,24.59,1.72,68.16,150.0,67.93,22.01,3.122883283121545,0.7870408714503123,5.970100501666621
AGO,Angola,2018,3.78,14.87,5.31,58.95,16.65,13.11,65.91,150.0,69.74,23.27,2.73719442738972,1.580516793119661,5.832229419355864
AGO,Angola,2019,1.58,9.45,8.39,59.3,11.2,15.42,69.32,150.0,78.86,23.07,2.720667810177004,1.068097998000762,6.112620823618407
AGO,Angola,2020,-6.34,23.04,17.14,62.05,25.02,-1.08,79.12,150.0,80.0,20.72,5.32260587807639,1.6977926846349207,6.84121577888999
AGO,Angola,2021,-3.9,15.11,14.97,63.06,18.36,2.55,72.75,150.0,80.0,24.02,4.056073635097536,1.9459445007501703,6.826524249816547
AGO,Angola,2022,2.87,6.7,7.29,62.56,7.71,10.8,75.27,150.0,80.0,27.85,4.771627954203192,0.5050082507574883,8.171174946113934
AGO,Angola,2023,-1.73,12.7,10.86,64.02,13.87,4.57,74.13,150.0,80.0,28.23,3.456920594980452,0.7419793348423669,4.330823632212865
AGO,Angola,2024,2.56,-1.74,11.41,66.08,3.0,4.95,77.5,150.0,80.0,28.52,2.570998509010328,1.7685021911210004,7.254276899411372
