Country_Code,Country_Name,Year,GDP_Growth,Inflation,Unemployment,Exchange_Rate,Interest_Rate,M2_Growth,Debt_to_GDP,Mobile_Subscriptions_per_100,Internet_Users_Percent,Secure_Servers_per_Million,GDP_Growth_Volatility,Exchange_Rate_Volatility,Inflation_Volatility
BWA,Botswana,2010,5.13,1.52,7.93,49.01,3.0,5.76,45.0,55.42,8.27,1.96,,,
BWA,Botswana,2011,10.83,4.75,8.7,50.16,7.61,14.87,46.26,121.02,52.8,18.15,4.030508652763321,0.8131727983645312,2.283954903232549
BWA,Botswana,2012,3.0,2.69,6.24,52.87,5.84,3.25,47.82,134.61,54.09,17.29,4.048370042375079,1.98184257699748,1.6353083297449853
BWA,Botswana,2013,2.46,2.58,9.35,52.97,4.69,6.83,49.88,130.06,60.11,17.66,4.6843249246823175,1.5942709932756225,1.2223338332877811
BWA,Botswana,2014,7.07,6.31,8.47,54.42,10.05,12.12,50.68,141.91,63.34,19.12,2.52020501811526,0.8674675786449118,2.122474970406012
BWA,Botswana,2015,2.14,0.61,8.89,55.37,3.0,7.62,50.07,139.86,66.85,22.57,2.758604719781361,1.2086493839544223,2.8949323538440987
BWA,Botswana,2016,5.18,5.69,7.51,55.87,9.06,12.93,52.02,150.0,68.61,17.36,2.487254175458016,0.7365459931328624,3.1273204717990346
BWA,Botswana,2017,2.27,0.33,12.77,57.91,3.39,3.99,53.02,150.0,67.11,21.14,1.7188465124417995,1.3455606018806463,3.017018395701293
BWA,Botswana,2018,4.12,3.68,10.53,58.37,5.61,8.5,57.13,150.0,76.67,26.78,1.4727638416709363,1.330613893409129,2.7077727624993453
BWA,Botswana,2019,2.84,3.91,3.56,59.77,7.8,6.54,49.92,150.0,72.42,23.28,0.9474351341033004,0.9687793006321908,2.00382134932234
BWA,Botswana,2020,-5.51,3.29,17.0,60.01,7.16,1.58,59.04,150.0,73.95,22.03,5.229687689846627,0.8857388629462871,0.3134219732777766
BWA,Botswana,2021,5.32,-0.08,9.14,62.82,3.42,17.02,57.77,150.0,78.81,23.48,5.673943367124257,1.6958871817822496,2.1471453917546746
BWA,Botswana,2022,1.84,4.12,9.21,63.62,5.54,13.06,59.8,150.0,80.0,28.8,5.529041508254393,1.8959694090359125,2.224327613759568
BWA,Botswana,2023,8.9,6.25,6.32,64.62,8.88,13.58,55.94,150.0,80.0,27.28,3.5301180339095364,0.9018499505645524,3.2209160187747834
BWA,Botswana,2024,4.7,2.67,15.08,67.15,4.12,10.83,62.15,150.0,80.0,31.09,3.551131275147869,1.819422985454438,1.8007313329126406
