Country_Code,Country_Name,Year,GDP_Growth,Inflation,Unemployment,Exchange_Rate,Interest_Rate,M2_Growth,Debt_to_GDP,Mobile_Subscriptions_per_100,Internet_Users_Percent,Secure_Servers_per_Million,GDP_Growth_Volatility,Exchange_Rate_Volatility,Inflation_Volatility
ZMB,Zambia,2010,3.86,5.82,8.96,100.8,8.51,9.42,60.0,58.15,12.87,0.5,,,
ZMB,Zambia,2011,5.16,9.96,7.74,100.36,11.97,12.24,61.68,129.78,44.54,17.6,0.919238815542512,0.3111269837220793,2.927422074112308
ZMB,Zambia,2012,2.64,5.57,9.22,111.33,8.78,7.27,64.0,130.95,57.44,20.72,1.260211622440189,6.210413298109343,2.4655695758451706
ZMB,Zambia,2013,1.35,8.25,9.49,119.7,10.4,12.0,62.33,142.72,54.34,15.65,1.9378080400287327,9.699084149203644,2.212788587582043
ZMB,Zambia,2014,2.44,13.86,10.67,118.62,16.15,7.0,67.24,138.16,62.63,18.62,0.6942862041934392,4.552790353179016,4.230417631077732
ZMB,Zambia,2015,6.28,4.44,5.73,130.54,6.93,16.26,68.24,142.71,65.35,17.8,2.58967822969058,6.59239966425981,4.738575735387164
ZMB,Zambia,2016,4.29,7.13,11.42,130.82,8.87,8.68,71.16,145.8,64.37,20.39,1.920425300118006,6.964251575007856,4.852240032534802
ZMB,Zambia,2017,6.64,7.37,5.61,146.43,8.79,4.36,67.15,150.0,70.74,22.17,1.265714554444774,9.094344396381706,1.6267861977940847
ZMB,Zambia,2018,4.9,10.48,3.18,151.16,14.43,8.32,67.08,150.0,74.56,20.33,1.2194397620765578,10.643938807289926,1.868698299173341
ZMB,Zambia,2019,8.33,10.4,9.02,149.15,11.85,11.13,75.98,150.0,78.77,29.33,1.7150607375056235,2.373864640903568,1.7729166177046625
ZMB,Zambia,2020,-2.09,10.76,15.08,163.6,12.01,-0.31,67.49,150.0,77.23,29.02,5.31038918849959,7.827262186315969,0.1890326250501261
ZMB,Zambia,2021,7.04,4.83,10.49,176.27,7.21,9.86,66.36,150.0,80.0,24.58,5.680337431291677,13.569732249876248,3.32464033142434
ZMB,Zambia,2022,2.48,15.81,9.04,174.29,19.44,6.6,83.73,150.0,80.0,25.53,4.565000912741785,6.8157342475577085,5.4958742101082825
ZMB,Zambia,2023,3.67,14.41,10.43,194.64,16.55,6.41,81.62,150.0,80.0,28.73,2.365255447796988,11.221258099399114,5.9762976275728885
ZMB,Zambia,2024,6.24,15.94,9.76,206.21,18.54,12.69,83.66,150.0,80.0,28.14,1.9217439996003616,16.16000103135299,0.8483120495037849
