Country_Code,Country_Name,Year,GDP_Growth,Inflation,Unemployment,Exchange_Rate,Interest_Rate,M2_Growth,Debt_to_GDP,Mobile_Subscriptions_per_100,Internet_Users_Percent,Secure_Servers_per_Million,GDP_Growth_Volatility,Exchange_Rate_Volatility,Inflation_Volatility
BEN,Benin,2010,6.82,4.33,4.77,49.67,5.76,12.59,60.0,47.64,6.15,0.74,,,
BEN,Benin,2011,6.27,-2.0,5.57,51.6,3.0,19.13,61.44,119.44,49.57,17.68,0.3889087296526016,1.364716087690034,4.475985924910845
BEN,Benin,2012,7.87,1.2,13.13,51.67,4.57,16.54,62.35,131.67,54.82,16.82,0.8129165598838135,1.1350330391666994,3.165064506978228
BEN,Benin,2013,7.54,0.72,11.99,53.91,3.0,15.08,65.86,123.77,59.15,16.88,0.8447682127858115,1.3139381010280915,1.725726899985433
BEN,Benin,2014,5.71,0.01,10.22,53.52,3.0,12.57,64.24,139.07,59.58,22.52,1.163572086292895,1.1966759516816998,0.5986930209492444
BEN,Benin,2015,5.58,2.93,6.54,54.58,5.92,9.97,68.53,144.97,65.09,23.03,1.0960079075140532,0.5361280941466257,1.522859153040753
BEN,Benin,2016,8.09,1.62,12.64,55.5,4.64,17.33,68.58,146.4,68.73,21.3,1.413117121826779,0.9908245724311052,1.4625662378162567
BEN,Benin,2017,5.82,1.53,12.91,57.66,4.5,11.4,70.14,150.0,69.72,19.57,1.385075208547656,1.5810545004310463,0.7836027905344214
BEN,Benin,2018,4.52,2.4,5.39,57.91,4.67,7.16,74.89,150.0,72.95,23.44,1.80682963594616,1.325154079091658,0.478434948556226
BEN,Benin,2019,5.28,2.73,10.96,60.46,4.55,7.01,77.18,150.0,71.45,26.21,0.6530951946947202,1.5494622723168427,0.6199193495931539
BEN,Benin,2020,-0.23,0.09,14.95,60.26,3.0,7.32,77.22,150.0,80.0,26.52,2.986084392645325,1.4180385514270326,1.4384366513684217
BEN,Benin,2021,4.58,3.15,9.85,61.02,6.15,4.88,70.83,150.0,80.0,25.06,2.9996166421727968,0.3939543120717737,1.6587947431795165
BEN,Benin,2022,6.97,-0.06,6.14,64.68,3.0,14.24,81.44,150.0,80.0,25.99,3.667156027950452,2.363246354769915,1.8115463008159625
BEN,Benin,2023,7.82,0.1,12.28,63.99,3.0,8.89,81.4,150.0,80.0,30.14,1.6798908694713872,1.9447621962594643,1.8088762625821952
BEN,Benin,2024,9.03,2.45,11.37,66.19,6.42,12.98,81.86,150.0,80.0,27.89,1.035229443167068,1.1251814668457942,1.4052401929919305
