x_cm,y_cm,z_cm,temperature_C,stress_MPa,strain,pO2_atm,current_density_A_cm2,damage_index
0.0,0.0,0.0,700.3,60.386,0.000302,0.21033,0.3818,0.0
0.0,0.0,0.263,702.18,59.203,0.000296,0.20118,0.3942,0.00026
0.0,0.0,0.526,710.98,57.269,0.000286,0.20158,0.4117,5e-05
0.0,0.0,0.789,716.02,57.778,0.000289,0.19169,0.4154,0.0
0.0,0.0,1.053,713.83,58.771,0.000294,0.19297,0.4213,0.0
0.0,0.0,1.316,717.36,50.697,0.000253,0.17703,0.4361,0.0
0.0,0.0,1.579,725.39,54.153,0.000271,0.17961,0.435,0.00126
0.0,0.0,1.842,729.09,52.93,0.000265,0.17696,0.4522,0.0003
0.0,0.0,2.105,736.52,51.09,0.000255,0.17621,0.4541,0.0015
0.0,0.0,2.368,735.64,52.063,0.00026,0.16288,0.4406,0.00177
0.0,0.0,2.632,740.22,48.94,0.000245,0.16709,0.4556,0.00127
0.0,0.0,2.895,743.26,46.965,0.000235,0.15923,0.4636,0.00396
0.0,0.0,3.158,748.52,48.962,0.000245,0.1616,0.4822,0.00382
0.0,0.0,3.421,755.06,43.783,0.000219,0.14162,0.4708,0.00706
0.0,0.0,3.684,755.9,43.864,0.000219,0.14628,0.4796,0.00457
0.0,0.0,3.947,769.63,42.523,0.000213,0.14113,0.4743,0.00802
0.0,0.0,4.211,762.33,46.553,0.000233,0.13845,0.4897,0.00715
0.0,0.0,4.474,770.49,42.4,0.000212,0.13841,0.4788,0.00753
0.0,0.0,4.737,776.25,38.286,0.000191,0.13754,0.4882,0.00799
0.0,0.0,5.0,782.56,40.508,0.000203,0.12882,0.5127,0.00867
0.444,0.0,0.0,701.39,57.746,0.000289,0.20177,0.4087,0.0
0.444,0.0,0.263,703.94,59.516,0.000298,0.20245,0.4189,0.0
0.444,0.0,0.526,709.78,55.216,0.000276,0.21481,0.4332,0.0
0.444,0.0,0.789,719.72,53.778,0.000269,0.18908,0.4253,0.0
0.444,0.0,1.053,716.18,57.217,0.000286,0.18971,0.4236,0.00134
0.444,0.0,1.316,726.56,53.48,0.000267,0.18754,0.4208,0.0
0.444,0.0,1.579,729.25,56.201,0.000281,0.18411,0.4263,0.00025
0.444,0.0,1.842,733.69,48.217,0.000241,0.17144,0.4371,0.0011
0.444,0.0,2.105,739.5,52.735,0.000264,0.17714,0.4416,0.00095
0.444,0.0,2.368,739.82,49.542,0.000248,0.17161,0.4561,0.00318
0.444,0.0,2.632,747.48,50.942,0.000255,0.16339,0.4439,0.00184
0.444,0.0,2.895,750.05,47.579,0.000238,0.15243,0.4523,0.00302
0.444,0.0,3.158,751.32,48.591,0.000243,0.15012,0.4668,0.00358
0.444,0.0,3.421,757.97,45.761,0.000229,0.14562,0.4537,0.00429
0.444,0.0,3.684,762.28,45.458,0.000227,0.14384,0.4884,0.00755
0.444,0.0,3.947,761.68,46.833,0.000234,0.14816,0.4876,0.00747
