case_id,current_density_A_cm2,pH2O_pH2_ratio,pO2_cathode_atm,inlet_temperature_C,fuel_utilisation,thermal_BC,mechanical_load_MPa,ramp_rate_K_min
1,0.969,0.507,1.0,845.8,0.814,adiabatic,1.93,10
2,0.108,0.506,1.0,829.2,0.795,adiabatic,1.38,10
3,0.945,0.14,0.21,690.5,0.316,isothermal,1.99,5
4,0.478,0.78,0.21,761.2,0.749,isothermal,0.59,5
5,0.054,0.588,1.0,671.8,0.663,isothermal,1.72,10
6,0.755,0.283,1.0,694.0,0.712,isothermal,0.78,5
7,0.413,0.352,0.21,734.7,0.329,isothermal,1.01,5
8,0.09,0.394,1.0,667.3,0.424,adiabatic,1.47,5
9,0.127,0.768,1.0,621.7,0.425,adiabatic,1.71,1
10,0.963,0.745,0.21,780.0,0.397,adiabatic,1.35,1
11,0.654,0.532,0.21,647.8,0.644,adiabatic,0.66,5
12,0.953,0.728,0.21,675.1,0.501,isothermal,0.51,10
13,0.776,0.554,0.21,838.9,0.575,isothermal,1.81,10
14,0.626,0.219,0.21,750.7,0.732,adiabatic,0.91,10
15,0.119,0.277,1.0,657.0,0.627,isothermal,1.51,1
16,0.45,0.359,1.0,671.4,0.573,isothermal,1.66,1
17,0.241,0.282,0.21,655.9,0.845,adiabatic,1.55,5
18,0.16,0.82,1.0,817.4,0.683,adiabatic,0.65,5
19,0.494,0.256,1.0,800.1,0.712,isothermal,1.66,1
20,0.313,0.177,0.21,737.0,0.408,adiabatic,1.84,10
21,0.953,0.768,0.21,632.2,0.662,isothermal,1.69,10
22,0.029,0.213,1.0,784.6,0.609,isothermal,1.27,1
23,0.028,0.104,0.21,812.2,0.866,isothermal,0.8,1
24,0.624,0.643,0.21,731.9,0.744,adiabatic,1.44,10
25,0.093,0.22,0.21,652.8,0.803,isothermal,1.55,5
26,0.554,0.418,0.21,773.6,0.695,isothermal,0.91,1
27,0.816,0.36,1.0,681.7,0.496,adiabatic,1.46,10
28,0.125,0.87,1.0,829.2,0.697,isothermal,1.81,10
29,0.07,0.179,1.0,807.6,0.881,adiabatic,1.07,10
30,0.952,0.146,1.0,701.6,0.494,isothermal,1.3,1
31,0.86,0.722,1.0,610.0,0.403,isothermal,1.58,5
32,0.247,0.367,0.21,837.0,0.487,adiabatic,1.61,1
33,0.482,0.55,0.21,838.6,0.768,adiabatic,1.47,5
34,0.154,0.108,0.21,721.4,0.352,adiabatic,1.29,5
35,0.838,0.891,1.0,601.5,0.858,adiabatic,1.55,10
36,0.192,0.621,0.21,780.7,0.729,adiabatic,1.77,1
37,0.83,0.625,0.21,670.2,0.665,isothermal,1.85,10
38,0.248,0.7,0.21,787.3,0.406,isothermal,1.14,10
39,0.11,0.391,1.0,607.3,0.626,isothermal,1.57,1
40,0.213,0.421,0.21,754.2,0.31,adiabatic,1.11,10
41,0.541,0.45,1.0,834.9,0.641,isothermal,1.79,10
42,0.885,0.735,1.0,729.8,0.479,adiabatic,1.75,1
43,0.039,0.167,1.0,836.5,0.622,isothermal,1.63,10
44,0.143,0.331,0.21,780.4,0.517,adiabatic,1.23,1
45,0.553,0.725,1.0,749.1,0.565,isothermal,1.31,5
46,0.091,0.155,0.21,811.5,0.635,adiabatic,1.7,5
47,0.348,0.859,1.0,830.1,0.872,adiabatic,0.57,5
48,0.374,0.542,0.21,814.7,0.89,adiabatic,1.35,10
49,0.488,0.198,1.0,829.5,0.668,adiabatic,0.86,1
50,0.718,0.258,1.0,615.9,0.384,adiabatic,1.4,10
51,0.246,0.265,0.21,653.1,0.327,adiabatic,1.21,10
52,0.328,0.249,1.0,666.8,0.896,adiabatic,1.46,5
53,0.433,0.515,0.21,840.0,0.679,isothermal,0.64,1
54,0.392,0.747,0.21,828.0,0.659,isothermal,1.89,1
55,0.716,0.23,1.0,802.6,0.325,isothermal,1.38,10
56,0.046,0.14,0.21,799.3,0.864,isothermal,0.94,10
57,0.148,0.127,1.0,711.5,0.395,isothermal,1.7,5
58,0.138,0.2,1.0,624.9,0.624,adiabatic,1.52,1
59,0.536,0.261,1.0,766.5,0.481,adiabatic,1.17,10
60,0.085,0.428,0.21,730.5,0.53,adiabatic,0.92,10
61,0.075,0.694,1.0,701.0,0.498,adiabatic,0.98,1
62,0.781,0.119,1.0,690.8,0.457,isothermal,0.58,1
63,0.98,0.326,1.0,640.4,0.456,adiabatic,1.08,10
64,0.036,0.12,1.0,701.3,0.349,isothermal,1.27,10
65,0.172,0.893,0.21,830.9,0.313,isothermal,1.76,10
66,0.509,0.655,1.0,649.3,0.543,adiabatic,1.47,1
