timestamp,building_id,electricity_kwh,gas_kwh,heating_kwh,cooling_kwh,lighting_kwh,plug_load_kwh,fans_kwh,total_kwh,indoor_temp_c,indoor_rh_pct,co2_ppm,tvoc_ppb,pm25_ug_m3
2024-01-01T00:00:00,BLD-00001,102.068,0.0,488.83,0.0,1.795,1.849,0.659,102.068,17.55,49.8,478.0,112.0,9.9
2024-01-01T01:00:00,BLD-00001,98.561,0.0,472.72,0.0,1.674,1.719,0.624,98.561,17.73,53.7,468.0,163.0,14.6
2024-01-01T02:00:00,BLD-00001,99.69,0.0,477.142,0.0,1.778,1.83,0.654,99.69,18.45,45.9,500.0,106.0,11.8
2024-01-01T03:00:00,BLD-00001,96.063,0.0,458.189,0.0,1.847,1.904,0.674,96.063,17.24,48.6,495.0,146.0,12.3
2024-01-01T04:00:00,BLD-00001,97.039,0.0,463.243,0.0,1.832,1.889,0.67,97.039,18.13,49.0,487.0,124.0,13.2
2024-01-01T05:00:00,BLD-00001,92.132,0.0,438.604,0.0,1.841,1.898,0.672,92.132,18.74,47.5,498.0,155.0,16.1
2024-01-01T06:00:00,BLD-00001,90.857,0.0,432.444,0.0,1.823,1.878,0.667,90.857,18.72,53.2,480.0,157.0,7.8
2024-01-01T07:00:00,BLD-00001,81.138,0.0,383.482,0.0,1.854,1.912,0.676,81.138,17.68,47.8,496.0,112.0,12.0
2024-01-01T08:00:00,BLD-00001,79.372,0.0,360.897,0.0,3.019,3.158,1.016,79.372,18.67,48.2,716.0,175.0,9.3
2024-01-01T09:00:00,BLD-00001,78.911,0.0,359.001,0.0,2.984,3.121,1.006,78.911,18.75,55.3,723.0,188.0,12.0
2024-01-01T10:00:00,BLD-00001,74.988,0.0,338.785,0.0,3.035,3.175,1.021,74.988,18.03,44.0,701.0,157.0,8.7
2024-01-01T11:00:00,BLD-00001,71.183,0.0,319.358,0.0,3.069,3.211,1.031,71.183,18.93,46.1,734.0,182.0,11.6
2024-01-01T12:00:00,BLD-00001,71.497,0.0,319.99,0.0,3.149,3.297,1.054,71.497,18.79,47.2,766.0,199.0,16.3
2024-01-01T13:00:00,BLD-00001,66.179,0.0,293.93,0.0,3.104,3.248,1.041,66.179,19.55,50.1,761.0,210.0,11.6
2024-01-01T14:00:00,BLD-00001,65.375,0.0,290.929,0.0,3.018,3.156,1.016,65.375,18.39,55.6,733.0,178.0,15.8
2024-01-01T15:00:00,BLD-00001,72.653,0.0,325.992,0.0,3.13,3.277,1.048,72.653,18.59,47.5,721.0,200.0,16.1
2024-01-01T16:00:00,BLD-00001,70.67,0.0,317.305,0.0,3.026,3.165,1.018,70.67,18.96,45.4,709.0,187.0,15.9
2024-01-01T17:00:00,BLD-00001,76.418,0.0,360.739,0.0,1.781,1.834,0.655,76.418,19.39,41.3,504.0,150.0,13.7
