depth_um,sigma_parallel_MPa,sigma_perpendicular_MPa,method
0,-50.00,-22.00,sin2psi
20,-44.74,-19.68,sin2psi
40,-39.53,-17.52,sin2psi
60,-34.41,-15.52,sin2psi
80,-29.42,-13.67,sin2psi
100,-24.60,-11.96,sin2psi
120,-19.99,-10.36,sin2psi
140,-15.61,-8.88,sin2psi
160,-11.48,-7.48,sin2psi
180,-7.63,-6.15,sin2psi
200,-4.05,-4.87,sin2psi
220,-0.74,-3.61,sin2psi
240,2.29,-2.34,sin2psi
260,5.08,-1.06,sin2psi
280,7.63,0.27,sin2psi
300,9.98,1.67,sin2psi
320,12.17,3.16,sin2psi
340,14.23,4.75,sin2psi
360,16.21,6.47,sin2psi
380,18.15,8.32,sin2psi
400,20.09,10.32,sin2psi
420,22.09,12.48,sin2psi
440,24.19,14.80,sin2psi
460,26.42,17.28,sin2psi
480,28.83,19.93,sin2psi
500,31.45,22.73,sin2psi
520,34.31,25.68,sin2psi
540,37.42,28.76,sin2psi
560,40.81,31.97,sin2psi
580,44.47,35.29,sin2psi
600,48.41,38.69,sin2psi
620,52.61,42.16,sin2psi
640,57.07,45.68,sin2psi
660,61.74,49.22,sin2psi
680,66.62,52.75,sin2psi
700,71.65,56.27,sin2psi
720,76.81,59.74,sin2psi
740,82.04,63.14,sin2psi
760,87.30,66.45,sin2psi
780,92.55,69.66,sin2psi
800,97.74,72.74,sin2psi
820,102.83,75.68,sin2psi
840,107.77,78.48,sin2psi
860,112.53,81.12,sin2psi
880,117.07,83.60,sin2psi
900,121.38,85.92,sin2psi
920,125.43,88.07,sin2psi
940,129.20,90.07,sin2psi
960,132.69,91.92,sin2psi
980,135.92,93.63,sin2psi
1000,138.87,95.22,sin2psi
