sin2psi,plane_hkl,peak_2theta_deg,d_spacing_A,d0_A,stress_MPa
0.00,111,72.000,2.97000,2.97000,100.0
0.05,111,71.985,2.96978,2.97000,102.5
0.10,111,71.970,2.96955,2.97000,105.0
0.15,111,71.955,2.96933,2.97000,107.5
0.20,111,71.940,2.96911,2.97000,110.0
0.25,111,71.925,2.96889,2.97000,112.5
0.30,111,71.910,2.96866,2.97000,115.0
0.35,111,71.895,2.96844,2.97000,117.5
0.40,111,71.880,2.96822,2.97000,120.0
0.45,111,71.865,2.96800,2.97000,122.5
0.50,111,71.850,2.96777,2.97000,125.0
0.55,111,71.835,2.96755,2.97000,127.5
0.60,111,71.820,2.96733,2.97000,130.0
0.65,111,71.805,2.96710,2.97000,132.5
0.70,111,71.790,2.96688,2.97000,135.0
0.75,111,71.775,2.96666,2.97000,137.5
0.80,111,71.760,2.96644,2.97000,140.0
0.85,111,71.745,2.96621,2.97000,142.5
0.90,111,71.730,2.96599,2.97000,145.0
