Material,Layer,Property,Value,Unit,Notes
8YSZ,Electrolyte,Density,3200,kg/m?,Green state (un-sintered)
8YSZ,Electrolyte,Porosity,0.45,-,Initial porosity
8YSZ,Electrolyte,Binder_Content,0.05,-,PVB binder weight fraction
8YSZ,Electrolyte,Porogen_Content,0.10,-,Starch porogen weight fraction
8YSZ,Electrolyte,Relative_Density,0.55,-,Initial relative density
Ni-YSZ,Anode,Density,2850,kg/m?,Green state (un-sintered)
Ni-YSZ,Anode,Porosity,0.42,-,Initial porosity
Ni-YSZ,Anode,Binder_Content,0.06,-,PVB binder weight fraction
Ni-YSZ,Anode,Porogen_Content,0.08,-,Graphite porogen weight fraction
Ni-YSZ,Anode,Relative_Density,0.58,-,Initial relative density
LSM-YSZ,Cathode,Density,3050,kg/m?,Green state (un-sintered)
LSM-YSZ,Cathode,Porosity,0.40,-,Initial porosity
LSM-YSZ,Cathode,Binder_Content,0.05,-,PVB binder weight fraction
LSM-YSZ,Cathode,Porogen_Content,0.12,-,Graphite porogen weight fraction
LSM-YSZ,Cathode,Relative_Density,0.60,-,Initial relative density
