Material,Temperature_C,CTE_10minus6_per_K,Standard_Deviation,Measurement_Method,Notes
8YSZ,25,10.0,0.2,Dilatometry,Sintered sample
8YSZ,100,10.1,0.2,Dilatometry,
8YSZ,200,10.2,0.2,Dilatometry,
8YSZ,300,10.3,0.2,Dilatometry,
8YSZ,400,10.35,0.2,Dilatometry,
8YSZ,500,10.4,0.2,Dilatometry,
8YSZ,600,10.45,0.2,Dilatometry,
8YSZ,700,10.5,0.2,Dilatometry,
8YSZ,800,10.5,0.2,Dilatometry,
8YSZ,900,10.55,0.2,Dilatometry,
8YSZ,1000,10.6,0.2,Dilatometry,
8YSZ,1100,10.65,0.2,Dilatometry,
8YSZ,1200,10.7,0.2,Dilatometry,
8YSZ,1300,10.75,0.2,Dilatometry,
8YSZ,1350,10.8,0.2,Dilatometry,
Ni-YSZ,25,12.5,0.3,Dilatometry,Sintered sample
Ni-YSZ,100,12.6,0.3,Dilatometry,
Ni-YSZ,200,12.7,0.3,Dilatometry,
Ni-YSZ,300,12.8,0.3,Dilatometry,
Ni-YSZ,400,12.9,0.3,Dilatometry,
Ni-YSZ,500,13.0,0.3,Dilatometry,
Ni-YSZ,600,13.1,0.3,Dilatometry,
Ni-YSZ,700,13.2,0.3,Dilatometry,
Ni-YSZ,800,13.3,0.3,Dilatometry,
Ni-YSZ,900,13.35,0.3,Dilatometry,
Ni-YSZ,1000,13.4,0.3,Dilatometry,
Ni-YSZ,1100,13.45,0.3,Dilatometry,
Ni-YSZ,1200,13.5,0.3,Dilatometry,
Ni-YSZ,1300,13.55,0.3,Dilatometry,
Ni-YSZ,1350,13.6,0.3,Dilatometry,
LSM-YSZ,25,11.5,0.25,Dilatometry,Sintered sample
LSM-YSZ,100,11.6,0.25,Dilatometry,
LSM-YSZ,200,11.7,0.25,Dilatometry,
LSM-YSZ,300,11.75,0.25,Dilatometry,
LSM-YSZ,400,11.8,0.25,Dilatometry,
LSM-YSZ,500,11.85,0.25,Dilatometry,
LSM-YSZ,600,11.9,0.25,Dilatometry,
LSM-YSZ,700,11.95,0.25,Dilatometry,
LSM-YSZ,800,12.0,0.25,Dilatometry,
LSM-YSZ,900,12.05,0.25,Dilatometry,
LSM-YSZ,1000,12.1,0.25,Dilatometry,
LSM-YSZ,1100,12.15,0.25,Dilatometry,
LSM-YSZ,1200,12.2,0.25,Dilatometry,
LSM-YSZ,1300,12.25,0.25,Dilatometry,
LSM-YSZ,1350,12.3,0.25,Dilatometry
