Temperature_C,Time_min,Strain_dL_L0_Anode,Strain_dL_L0_Electrolyte,Mismatch_Strain,Relative_Density_Anode,Relative_Density_Electrolyte
25,0,0.0000,0.0000,0.0000,0.58,0.55
200,5,0.0001,0.0001,0.0000,0.582,0.551
400,10,0.0003,0.0002,0.0001,0.584,0.552
600,15,0.0008,0.0005,0.0003,0.589,0.553
800,20,0.0020,0.0012,0.0008,0.600,0.556
900,25,0.0045,0.0025,0.0020,0.620,0.561
1000,30,0.0080,0.0050,0.0030,0.655,0.571
1100,35,0.0150,0.0100,0.0050,0.710,0.600
1150,37,0.0220,0.0150,0.0070,0.755,0.625
1200,40,0.0320,0.0250,0.0070,0.800,0.675
1250,45,0.0450,0.0400,0.0050,0.850,0.740
1300,50,0.0600,0.0600,0.0000,0.890,0.820
1350,55,0.0750,0.0850,-0.0100,0.920,0.900
1350,60,0.0780,0.0900,-0.0120,0.928,0.910
1350,65,0.0800,0.0920,-0.0120,0.935,0.918
1350,70,0.0815,0.0935,-0.0120,0.940,0.925
1350,75,0.0825,0.0945,-0.0120,0.945,0.930
1350,80,0.0830,0.0950,-0.0120,0.947,0.932
1350,90,0.0840,0.0960,-0.0120,0.950,0.938
1350,120,0.0850,0.0970,-0.0120,0.955,0.943
1350,150,0.0855,0.0975,-0.0120,0.957,0.946
1350,180,0.0860,0.0980,-0.0120,0.958,0.948
