sample_id,liquid_limit_LL,plastic_limit_PL,plasticity_index_PI,water_content_percent,preconsolidation_stress_kPa,OCR,undrained_shear_strength_su_intact_kPa,undrained_shear_strength_su_remolded_kPa,sensitivity_St,pore_pressure_ratio_Ru,smectite_percent,kaolinite_percent,illite_percent,mixed_layer_other_percent
CLAY-0001,25.0,5.0,25.4,15.8,176.2,4.3,42.6,5.9,7.21,0.54,31.4,28.2,22.0,18.5
CLAY-0002,66.7,32.9,33.8,36.3,150.0,3.81,46.3,6.0,7.77,0.58,56.6,25.1,18.3,0.0
CLAY-0003,36.5,23.8,12.7,31.3,157.0,2.89,32.7,14.7,2.22,0.48,21.3,18.0,18.0,42.7
CLAY-0004,42.8,26.3,16.5,36.0,218.1,1.89,31.8,8.5,3.73,0.42,20.9,24.2,25.7,29.2
CLAY-0005,48.0,23.1,24.9,23.1,249.9,1.95,29.5,3.6,8.12,0.37,2.0,31.7,27.7,38.6
CLAY-0006,75.1,35.2,39.9,52.8,147.0,3.04,50.1,23.5,2.13,0.62,35.3,4.3,21.8,38.5
CLAY-0007,25.0,5.0,25.2,10.0,172.8,2.27,33.9,3.9,8.78,0.4,31.0,21.5,23.2,24.3
CLAY-0008,54.9,19.7,35.2,19.4,185.1,1.65,31.7,3.8,8.38,0.53,6.0,5.6,29.6,58.8
CLAY-0009,60.5,51.8,8.7,54.9,139.0,3.85,38.2,6.2,6.21,0.62,34.6,11.0,35.3,19.1
CLAY-0010,67.7,48.8,18.9,44.4,176.8,3.06,40.2,4.6,8.82,0.44,30.8,12.8,15.5,40.9
CLAY-0011,39.3,7.1,32.2,14.5,73.8,3.24,52.5,10.9,4.82,0.35,21.1,19.0,3.2,56.7
CLAY-0012,74.7,52.3,22.4,58.5,109.4,2.53,37.1,3.9,9.59,0.59,55.4,2.2,22.0,20.3
CLAY-0013,29.5,5.0,26.7,10.0,65.9,4.2,57.5,11.0,5.23,0.44,6.3,31.5,15.9,46.3
CLAY-0014,56.3,40.4,15.9,48.6,47.8,2.87,30.5,7.3,4.21,0.28,28.0,25.1,21.8,25.0
CLAY-0015,34.4,8.9,25.5,10.0,81.6,3.34,40.9,7.7,5.29,0.46,21.7,37.9,25.1,15.3
CLAY-0016,52.9,35.0,17.8,35.4,77.2,2.73,33.0,5.5,5.95,0.35,26.5,18.9,22.3,32.4
CLAY-0017,81.6,48.3,33.2,52.6,168.7,1.56,20.5,6.5,3.18,0.38,38.4,17.3,23.1,21.2
CLAY-0018,25.2,5.0,33.3,28.3,160.8,4.24,57.3,23.8,2.4,0.42,37.2,24.5,30.4,7.9
CLAY-0019,61.9,43.4,18.4,44.9,64.6,3.3,39.2,5.5,7.1,0.68,38.3,8.9,27.9,24.9
CLAY-0020,42.3,20.2,22.1,41.2,83.8,2.32,30.2,5.9,5.15,0.54,18.5,16.3,27.4,37.9
CLAY-0021,57.2,23.7,33.5,25.2,132.3,2.9,47.5,6.9,6.87,0.39,17.4,3.4,22.9,56.4
CLAY-0022,52.8,9.2,43.6,10.0,151.9,3.3,57.4,7.0,8.25,0.56,36.2,16.4,28.1,19.4
CLAY-0023,62.1,18.6,43.5,30.3,101.3,4.06,59.8,6.7,8.99,0.59,35.9,18.2,26.6,19.3
CLAY-0024,63.1,41.6,21.6,50.2,114.0,2.61,33.4,9.1,3.65,0.42,42.6,24.6,20.1,12.7
CLAY-0025,66.1,52.7,13.4,69.6,207.0,3.29,38.1,7.3,5.23,0.57,24.5,8.5,16.2,50.8
