borehole_id,sample_id,depth_m,su_kPa
BH-001,CLAY-0108,0.0,57.6
BH-001,CLAY-0108,1.0,61.1
BH-001,CLAY-0108,2.0,65.5
BH-001,CLAY-0108,3.0,65.4
BH-001,CLAY-0108,4.0,70.4
BH-001,CLAY-0108,5.0,74.7
BH-001,CLAY-0108,6.0,79.5
BH-001,CLAY-0108,7.0,85.8
BH-001,CLAY-0108,8.0,85.6
BH-001,CLAY-0108,9.0,90.0
BH-001,CLAY-0108,10.0,93.6
BH-001,CLAY-0108,11.0,99.6
BH-001,CLAY-0108,12.0,102.6
BH-001,CLAY-0108,13.0,104.9
BH-001,CLAY-0108,14.0,108.2
BH-001,CLAY-0108,15.0,112.3
BH-001,CLAY-0108,16.0,115.4
BH-001,CLAY-0108,17.0,122.3
BH-001,CLAY-0108,18.0,124.0
BH-001,CLAY-0108,19.0,130.9
BH-001,CLAY-0108,20.0,131.6
BH-002,CLAY-0325,0.0,42.5
BH-002,CLAY-0325,1.0,42.3
BH-002,CLAY-0325,2.0,44.1
BH-002,CLAY-0325,3.0,47.3
BH-002,CLAY-0325,4.0,48.0
BH-002,CLAY-0325,5.0,52.4
BH-002,CLAY-0325,6.0,50.8
BH-002,CLAY-0325,7.0,55.8
BH-002,CLAY-0325,8.0,53.6
BH-002,CLAY-0325,9.0,56.2
BH-002,CLAY-0325,10.0,56.9
BH-002,CLAY-0325,11.0,58.7
BH-002,CLAY-0325,12.0,61.1
BH-002,CLAY-0325,13.0,66.3
BH-002,CLAY-0325,14.0,67.6
BH-002,CLAY-0325,15.0,67.6
BH-002,CLAY-0325,16.0,67.2
BH-002,CLAY-0325,17.0,70.2
BH-002,CLAY-0325,18.0,73.1
BH-002,CLAY-0325,19.0,73.2
BH-002,CLAY-0325,20.0,73.6
BH-003,CLAY-0155,0.0,39.5
BH-003,CLAY-0155,1.0,46.2
BH-003,CLAY-0155,2.0,44.2
BH-003,CLAY-0155,3.0,48.4
BH-003,CLAY-0155,4.0,48.8
BH-003,CLAY-0155,5.0,53.8
BH-003,CLAY-0155,6.0,54.8
BH-003,CLAY-0155,7.0,59.2
BH-003,CLAY-0155,8.0,61.7
BH-003,CLAY-0155,9.0,61.2
BH-003,CLAY-0155,10.0,64.8
BH-003,CLAY-0155,11.0,70.3
BH-003,CLAY-0155,12.0,71.7
BH-003,CLAY-0155,13.0,73.0
BH-003,CLAY-0155,14.0,74.8
BH-003,CLAY-0155,15.0,76.2
BH-003,CLAY-0155,16.0,80.1
BH-003,CLAY-0155,17.0,85.7
BH-003,CLAY-0155,18.0,85.6
BH-003,CLAY-0155,19.0,87.0
BH-003,CLAY-0155,20.0,90.8
BH-004,CLAY-0071,0.0,35.0
BH-004,CLAY-0071,1.0,37.4
BH-004,CLAY-0071,2.0,39.1
BH-004,CLAY-0071,3.0,39.6
BH-004,CLAY-0071,4.0,43.3
BH-004,CLAY-0071,5.0,44.8
BH-004,CLAY-0071,6.0,47.4
BH-004,CLAY-0071,7.0,44.7
BH-004,CLAY-0071,8.0,53.3
BH-004,CLAY-0071,9.0,52.5
BH-004,CLAY-0071,10.0,53.7
BH-004,CLAY-0071,11.0,55.0
BH-004,CLAY-0071,12.0,56.2
BH-004,CLAY-0071,13.0,58.6
BH-004,CLAY-0071,14.0,59.2
BH-004,CLAY-0071,15.0,60.8
BH-004,CLAY-0071,16.0,64.5
BH-004,CLAY-0071,17.0,63.5
BH-004,CLAY-0071,18.0,67.3
BH-004,CLAY-0071,19.0,68.8
BH-004,CLAY-0071,20.0,71.7
BH-005,CLAY-0120,0.0,41.9
BH-005,CLAY-0120,1.0,44.9
BH-005,CLAY-0120,2.0,44.4
BH-005,CLAY-0120,3.0,46.7
BH-005,CLAY-0120,4.0,50.8
BH-005,CLAY-0120,5.0,51.3
BH-005,CLAY-0120,6.0,54.9
BH-005,CLAY-0120,7.0,55.7
BH-005,CLAY-0120,8.0,58.2
BH-005,CLAY-0120,9.0,60.4
BH-005,CLAY-0120,10.0,60.2
BH-005,CLAY-0120,11.0,62.4
BH-005,CLAY-0120,12.0,65.8
BH-005,CLAY-0120,13.0,69.2
BH-005,CLAY-0120,14.0,67.3
BH-005,CLAY-0120,15.0,74.8
BH-005,CLAY-0120,16.0,75.7
BH-005,CLAY-0120,17.0,76.2
BH-005,CLAY-0120,18.0,77.6
BH-005,CLAY-0120,19.0,79.8
BH-005,CLAY-0120,20.0,84.0
BH-006,CLAY-0023,0.0,62.7
BH-006,CLAY-0023,1.0,59.3
BH-006,CLAY-0023,2.0,67.6
BH-006,CLAY-0023,3.0,72.7
BH-006,CLAY-0023,4.0,74.8
BH-006,CLAY-0023,5.0,75.6
BH-006,CLAY-0023,6.0,81.4
BH-006,CLAY-0023,7.0,83.4
BH-006,CLAY-0023,8.0,87.9
BH-006,CLAY-0023,9.0,90.4
BH-006,CLAY-0023,10.0,93.5
BH-006,CLAY-0023,11.0,97.6
BH-006,CLAY-0023,12.0,101.3
BH-006,CLAY-0023,13.0,105.0
BH-006,CLAY-0023,14.0,105.1
BH-006,CLAY-0023,15.0,108.5
BH-006,CLAY-0023,16.0,116.1
BH-006,CLAY-0023,17.0,116.1
BH-006,CLAY-0023,18.0,121.7
BH-006,CLAY-0023,19.0,124.1
BH-006,CLAY-0023,20.0,126.5
BH-007,CLAY-0102,0.0,24.5
BH-007,CLAY-0102,1.0,30.8
BH-007,CLAY-0102,2.0,31.3
BH-007,CLAY-0102,3.0,31.4
BH-007,CLAY-0102,4.0,37.6
BH-007,CLAY-0102,5.0,39.9
BH-007,CLAY-0102,6.0,42.3
BH-007,CLAY-0102,7.0,42.8
BH-007,CLAY-0102,8.0,45.4
BH-007,CLAY-0102,9.0,46.3
BH-007,CLAY-0102,10.0,49.1
BH-007,CLAY-0102,11.0,53.0
BH-007,CLAY-0102,12.0,51.4
BH-007,CLAY-0102,13.0,54.5
BH-007,CLAY-0102,14.0,58.9
BH-007,CLAY-0102,15.0,58.6
BH-007,CLAY-0102,16.0,61.8
BH-007,CLAY-0102,17.0,64.8
BH-007,CLAY-0102,18.0,62.3
BH-007,CLAY-0102,19.0,67.3
BH-007,CLAY-0102,20.0,71.0
BH-008,CLAY-0059,0.0,40.5
BH-008,CLAY-0059,1.0,42.1
BH-008,CLAY-0059,2.0,44.3
BH-008,CLAY-0059,3.0,50.1
BH-008,CLAY-0059,4.0,53.7
BH-008,CLAY-0059,5.0,54.3
BH-008,CLAY-0059,6.0,59.3
BH-008,CLAY-0059,7.0,60.9
BH-008,CLAY-0059,8.0,65.1
BH-008,CLAY-0059,9.0,67.1
BH-008,CLAY-0059,10.0,68.2
BH-008,CLAY-0059,11.0,72.1
BH-008,CLAY-0059,12.0,77.8
BH-008,CLAY-0059,13.0,77.7
BH-008,CLAY-0059,14.0,83.8
BH-008,CLAY-0059,15.0,83.6
BH-008,CLAY-0059,16.0,91.4
BH-008,CLAY-0059,17.0,91.0
BH-008,CLAY-0059,18.0,89.7
BH-008,CLAY-0059,19.0,97.9
BH-008,CLAY-0059,20.0,101.1
BH-009,CLAY-0076,0.0,55.2
BH-009,CLAY-0076,1.0,55.5
BH-009,CLAY-0076,2.0,64.0
BH-009,CLAY-0076,3.0,67.5
BH-009,CLAY-0076,4.0,69.2
BH-009,CLAY-0076,5.0,71.0
BH-009,CLAY-0076,6.0,79.0
BH-009,CLAY-0076,7.0,80.2
BH-009,CLAY-0076,8.0,83.3
BH-009,CLAY-0076,9.0,84.4
BH-009,CLAY-0076,10.0,88.7
BH-009,CLAY-0076,11.0,93.9
BH-009,CLAY-0076,12.0,95.9
BH-009,CLAY-0076,13.0,98.1
BH-009,CLAY-0076,14.0,103.0
BH-009,CLAY-0076,15.0,104.5
BH-009,CLAY-0076,16.0,110.2
BH-009,CLAY-0076,17.0,114.9
BH-009,CLAY-0076,18.0,115.4
BH-009,CLAY-0076,19.0,117.0
BH-009,CLAY-0076,20.0,120.5
BH-010,CLAY-0164,0.0,37.7
BH-010,CLAY-0164,1.0,38.6
BH-010,CLAY-0164,2.0,40.4
BH-010,CLAY-0164,3.0,42.2
BH-010,CLAY-0164,4.0,43.4
BH-010,CLAY-0164,5.0,45.5
BH-010,CLAY-0164,6.0,46.5
BH-010,CLAY-0164,7.0,47.9
BH-010,CLAY-0164,8.0,50.1
BH-010,CLAY-0164,9.0,50.5
BH-010,CLAY-0164,10.0,50.6
BH-010,CLAY-0164,11.0,52.8
BH-010,CLAY-0164,12.0,54.7
BH-010,CLAY-0164,13.0,54.6
BH-010,CLAY-0164,14.0,55.9
BH-010,CLAY-0164,15.0,57.0
BH-010,CLAY-0164,16.0,58.2
BH-010,CLAY-0164,17.0,60.1
BH-010,CLAY-0164,18.0,58.8
BH-010,CLAY-0164,19.0,63.4
BH-010,CLAY-0164,20.0,62.2
BH-011,CLAY-0263,0.0,32.8
BH-011,CLAY-0263,1.0,34.9
BH-011,CLAY-0263,2.0,36.6
BH-011,CLAY-0263,3.0,40.1
BH-011,CLAY-0263,4.0,41.7
BH-011,CLAY-0263,5.0,45.8
BH-011,CLAY-0263,6.0,44.4
BH-011,CLAY-0263,7.0,48.8
BH-011,CLAY-0263,8.0,49.4
BH-011,CLAY-0263,9.0,52.3
BH-011,CLAY-0263,10.0,52.6
BH-011,CLAY-0263,11.0,54.7
BH-011,CLAY-0263,12.0,55.3
BH-011,CLAY-0263,13.0,58.4
BH-011,CLAY-0263,14.0,58.5
BH-011,CLAY-0263,15.0,64.5
BH-011,CLAY-0263,16.0,65.6
BH-011,CLAY-0263,17.0,65.2
BH-011,CLAY-0263,18.0,66.2
BH-011,CLAY-0263,19.0,71.4
BH-011,CLAY-0263,20.0,71.1
BH-012,CLAY-0294,0.0,56.3
BH-012,CLAY-0294,1.0,59.9
