Mix_ID,Rubber_Content_Percent,Strength_Retention_400C_Percent,Strength_Retention_600C_Percent,Strength_Retention_800C_Percent,Spalling_Resistance_Rating,Pore_Pressure_Reduction_Percent,Thermal_Shock_Resistance,Overall_Fire_Performance,Key_Benefits,Limitations
CTRL,0,60.0,30.0,10.0,Poor,0,Poor,Poor,High_Strength,Severe_Spalling_Explosive_Failure
RC-10,10,70.0,NA,NA,Good,42,Fair,Good,Improved_Spalling_Resistance,Moderate_Strength_Reduction
RC-20,20,75.0,60.0,NA,Excellent,25,Good,Excellent,Excellent_Spalling_Resistance_Good_Strength,Some_Strength_Loss
RC-30,30,NA,70.0,50.0,Outstanding,NA,Excellent,Outstanding,Outstanding_High_Temp_Performance,Significant_Strength_Reduction
RC-15-SF,15,75.0,60.0,NA,Good,NA,Good,Excellent,SF_Enhanced_Performance,Higher_Cost
RC-15-FA,15,NA,NA,NA,Good,NA,Fair,Good,Cost_Effective_Enhancement,Moderate_Improvement
Performance_Metrics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient_Strength_Loss,CTRL,0,0,0,0,0,0,0,Reference_Mix,NA
Ambient_Strength_Loss,RC-10,10.2,10.2,10.2,10.2,10.2,10.2,10.2,Acceptable_Trade_off,NA
Ambient_Strength_Loss,RC-20,20.1,20.1,20.1,20.1,20.1,20.1,20.1,Significant_But_Acceptable,NA
Ambient_Strength_Loss,RC-30,30.2,30.2,30.2,30.2,30.2,30.2,30.2,High_But_Justified,NA
Fire_Performance_Index,CTRL,2.5,2.5,2.5,2.5,2.5,2.5,2.5,Poor_Fire_Performance,NA
Fire_Performance_Index,RC-10,6.8,6.8,6.8,6.8,6.8,6.8,6.8,Good_Fire_Performance,NA
Fire_Performance_Index,RC-20,8.5,8.5,8.5,8.5,8.5,8.5,8.5,Excellent_Fire_Performance,NA
Fire_Performance_Index,RC-30,9.2,9.2,9.2,9.2,9.2,9.2,9.2,Outstanding_Fire_Performance,NA
Recommended_Applications,CTRL,Standard_Construction,Standard_Construction,Standard_Construction,Standard_Construction,Standard_Construction,Standard_Construction,Standard_Construction,Non_Fire_Critical,NA
Recommended_Applications,RC-10,Low_Fire_Risk,Low_Fire_Risk,Low_Fire_Risk,Low_Fire_Risk,Low_Fire_Risk,Low_Fire_Risk,Low_Fire_Risk,Improved_Fire_Safety,NA
Recommended_Applications,RC-20,Medium_Fire_Risk,Medium_Fire_Risk,Medium_Fire_Risk,Medium_Fire_Risk,Medium_Fire_Risk,Medium_Fire_Risk,Medium_Fire_Risk,Fire_Resistant_Structures,NA
Recommended_Applications,RC-30,High_Fire_Risk,High_Fire_Risk,High_Fire_Risk,High_Fire_Risk,High_Fire_Risk,High_Fire_Risk,High_Fire_Risk,Critical_Fire_Applications,NA
Cost_Benefit_Analysis,CTRL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Baseline_Cost,NA
Cost_Benefit_Analysis,RC-10,1.05,1.05,1.05,1.05,1.05,1.05,1.05,Slight_Cost_Increase,NA
Cost_Benefit_Analysis,RC-20,1.08,1.08,1.08,1.08,1.08,1.08,1.08,Moderate_Cost_Increase,NA
Cost_Benefit_Analysis,RC-30,1.12,1.12,1.12,1.12,1.12,1.12,1.12,Higher_Cost_Justified,NA
Environmental_Impact,CTRL,High,High,High,High,High,High,High,Virgin_Materials_Only,NA
Environmental_Impact,RC-10,Reduced,Reduced,Reduced,Reduced,Reduced,Reduced,Reduced,10_Percent_Recycled_Content,NA
Environmental_Impact,RC-20,Low,Low,Low,Low,Low,Low,Low,20_Percent_Recycled_Content,NA
Environmental_Impact,RC-30,Very_Low,Very_Low,Very_Low,Very_Low,Very_Low,Very_Low,Very_Low,30_Percent_Recycled_Content,NA
