Property,Mix_ID,Temperature_C,Cooling_Method,Mean_Value,Std_Dev,Min_Value,Max_Value,CV_Percent,Sample_Size,Unit,Confidence_Interval_95
Compressive_Strength,CTRL,23,Ambient,50.1,0.25,49.8,50.4,0.5,3,MPa,±0.31
Compressive_Strength,CTRL,200,Furnace_Cooling,47.5,0.25,47.3,47.8,0.5,3,MPa,±0.31
Compressive_Strength,CTRL,400,Furnace_Cooling,42.5,0.30,42.2,42.8,0.7,3,MPa,±0.37
Compressive_Strength,CTRL,600,Furnace_Cooling,30.0,0.25,29.7,30.2,0.8,3,MPa,±0.31
Compressive_Strength,CTRL,800,Furnace_Cooling,15.0,0.20,14.7,15.1,1.3,3,MPa,±0.25
Compressive_Strength,CTRL,200,Water_Quench,46.5,0.30,46.2,46.8,0.6,3,MPa,±0.37
Compressive_Strength,CTRL,400,Water_Quench,38.5,0.35,38.1,38.8,0.9,3,MPa,±0.43
Compressive_Strength,CTRL,600,Water_Quench,22.5,0.25,22.2,22.7,1.1,3,MPa,±0.31
Compressive_Strength,CTRL,800,Water_Quench,8.4,0.20,8.2,8.6,2.4,3,MPa,±0.25
Compressive_Strength,RC-10,23,Ambient,45.0,0.40,44.6,45.4,0.9,3,MPa,±0.49
Compressive_Strength,RC-10,200,Furnace_Cooling,43.2,0.35,42.8,43.5,0.8,3,MPa,±0.43
Compressive_Strength,RC-10,400,Furnace_Cooling,40.5,0.35,40.1,40.8,0.9,3,MPa,±0.43
Compressive_Strength,RC-20,23,Ambient,40.0,0.45,39.5,40.4,1.1,3,MPa,±0.55
Compressive_Strength,RC-20,600,Furnace_Cooling,30.0,0.35,29.6,30.3,1.2,3,MPa,±0.43
Compressive_Strength,RC-30,23,Ambient,35.0,0.45,34.5,35.4,1.3,3,MPa,±0.55
Compressive_Strength,RC-30,800,Furnace_Cooling,21.0,0.25,20.7,21.2,1.2,3,MPa,±0.31
Tensile_Strength,CTRL,23,Ambient,3.76,0.055,3.71,3.82,1.5,3,MPa,±0.068
Tensile_Strength,RC-10,23,Ambient,3.87,0.075,3.80,3.95,1.9,3,MPa,±0.092
Tensile_Strength,RC-20,23,Ambient,4.09,0.085,4.01,4.18,2.1,3,MPa,±0.105
Tensile_Strength,RC-30,23,Ambient,4.26,0.080,4.19,4.35,1.9,3,MPa,±0.098
Elastic_Modulus,CTRL,23,Ambient,32.2,0.55,31.7,32.8,1.7,3,GPa,±0.68
Elastic_Modulus,RC-10,23,Ambient,25.9,0.80,25.1,26.7,3.1,3,GPa,±0.98
Elastic_Modulus,RC-20,23,Ambient,19.5,0.80,18.7,20.3,4.1,3,GPa,±0.98
Elastic_Modulus,RC-30,23,Ambient,14.3,0.60,13.7,14.9,4.2,3,GPa,±0.74
UPV,CTRL,23,Ambient,4685,35,4675,4695,0.7,3,m/s,±43
UPV,RC-10,23,Ambient,4425,35,4415,4435,0.8,3,m/s,±43
UPV,RC-20,23,Ambient,4125,35,4115,4135,0.8,3,m/s,±43
UPV,RC-30,23,Ambient,3825,35,3815,3835,0.9,3,m/s,±43
Mass_Loss_200C,CTRL,200,Both,2.94,0.005,2.93,2.94,0.2,6,percent,±0.006
Mass_Loss_400C,CTRL,400,Both,5.95,0.000,5.95,5.95,0.0,6,percent,±0.000
Mass_Loss_600C,CTRL,600,Both,9.97,0.005,9.97,9.98,0.1,6,percent,±0.006
Mass_Loss_800C,CTRL,800,Both,13.97,0.010,13.96,13.98,0.1,6,percent,±0.012
Spalling_Depth,CTRL,400,Furnace_Cooling,8.5,0.70,7.8,9.2,8.2,3,mm,±0.86
Spalling_Depth,CTRL,600,Furnace_Cooling,25.8,1.15,24.8,27.1,4.5,3,mm,±1.42
Spalling_Depth,CTRL,800,Furnace_Cooling,56.1,2.10,54.2,58.4,3.7,3,mm,±2.59
Spalling_Depth,RC-10,400,Furnace_Cooling,5.2,0.40,4.8,5.6,7.7,3,mm,±0.49
Spalling_Depth,RC-20,600,Furnace_Cooling,8.5,0.60,7.9,9.1,7.1,3,mm,±0.74
Spalling_Depth,RC-30,800,Furnace_Cooling,15.5,1.30,14.2,16.8,8.4,3,mm,±1.60
Pore_Pressure_Peak,CTRL,400,NA,2.15,0.15,2.00,2.30,7.0,3,MPa,±0.18
Pore_Pressure_Peak,CTRL,600,NA,3.25,0.15,3.10,3.40,4.6,3,MPa,±0.18
Pore_Pressure_Peak,RC-10,400,NA,1.25,0.10,1.15,1.35,8.0,3,MPa,±0.12
Pore_Pressure_Peak,RC-20,600,NA,2.45,0.15,2.30,2.60,6.1,3,MPa,±0.18
Pore_Pressure_Peak,RC-30,800,NA,2.75,0.20,2.55,2.95,7.3,3,MPa,±0.25
