Sample_ID,Liquid_Limit_percent,Plastic_Limit_percent,Plasticity_Index,Clay_Fraction_percent,Undrained_Shear_Strength_kPa,Effective_Cohesion_kPa,Effective_Friction_Angle_degrees,Compression_Index_Cc,Swelling_Index_Cs,Coefficient_of_Consolidation_m2_per_year,Overconsolidation_Ratio,Sensitivity,Natural_Moisture_Content_percent,Dry_Density_kg_per_m3,Saturated_Density_kg_per_m3,Permeability_m_per_s,Youngs_Modulus_MPa,Poissons_Ratio,Classification
1,40.00017958538689,32.59167642207299,41.362803916934126,35.855646164816704,147.5570158284641,18.681563779760914,24.999600806758536,0.11867313908158442,0.05073130407547173,2.5640111163222374,2.564620097126751,5.504587504167064,59.93645044943125,1684.2746908360195,1925.295421148514,1.1523185320387675e-10,14.403578634925205,0.33151286244762607,CH
2,65.06827219719767,26.877246970889768,10.654294192140508,61.624618994825674,172.21541709107493,17.546973383239504,29.787758190211868,0.1870531021338693,0.057096348004891155,0.08498311043374979,1.2370280175710355,12.927200043063014,33.89471092783545,1670.2992594836899,2097.5537003110894,9.524061457628458e-09,11.679683163108823,0.3362833452416133,CH
3,31.035390332806085,30.2944935554846,22.283466422712138,43.61162713832551,91.46705766717704,17.953121503583453,18.826233019692385,0.2258188719143652,0.08719310098474001,0.012682102047814777,3.0421926183034187,1.3222322789634486,56.203774838535786,1676.4159984130597,1727.5416257973795,7.330454829160251e-10,29.082573680879683,0.2894235444419633,CL
4,41.77493033972361,16.349290912374908,39.57042487507297,45.178738171880916,115.78210443396593,5.679106094743465,25.59256438133409,0.5452359302948412,0.07445804768668572,0.017689652868660057,1.2669609096548666,9.754967875878936,57.9313892901498,1310.4851211084551,2046.8766711286503,6.882476957584707e-10,7.105480979463389,0.25191019909325507,CL
5,30.151763807685874,37.249142110414155,32.82060200013354,31.46327148269038,16.973470978625134,23.755881758293164,27.108664815914974,0.4056243272615524,0.09913515764761717,0.02131006641839949,1.989174990988536,6.519456795408732,57.95955257198786,1564.284797859496,1871.0855446855076,4.726658325710462e-10,32.9006750327402,0.31987182791387536,CV
6,40.832154754292326,21.09641923549283,34.67747451216157,52.419374058676304,42.01983515611444,13.00878250627894,26.294463194903813,0.5791485848119955,0.017084763223782752,4.703233120036586,5.452966291295979,10.323309536006064,50.113503504068916,1672.691068601228,1882.0489394821866,2.938919218531299e-08,25.38188592525791,0.2796828719365171,CH
7,58.48542740377536,31.752384687520923,43.028102522980305,64.39210770311321,134.175876241147,14.173557610995989,30.286724849921917,0.26982343009781484,0.021719896528592922,0.16297010077957602,6.2155954768261745,3.7708456411305145,30.152200212479322,1485.435128353317,1751.0379574605122,1.3147500540498044e-09,33.81853839866301,0.33434535913746305,CH
8,53.599458665604956,34.950477801654046,21.729301220928374,36.475710992923375,119.02868193433332,29.908855386337187,30.129538122919886,0.3008690019002185,0.01759200344385127,0.01251956593839688,4.276118300040316,4.341230964801629,24.82621407241032,1307.0801719665856,1713.3731897415314,1.5898260718504688e-10,17.77716065897377,0.4167650175859917,CL
9,52.15779389559835,28.500967932079927,24.040247016325118,50.9592969884942,51.50651500515974,8.468153578882445,18.80230629539843,0.4598766137949285,0.05846122419203241,0.46735337808342065,5.202015094858901,9.215953293475213,42.79539908616887,1608.9062319411312,1826.6513304277732,1.952331105143239e-10,45.74624964570238,0.27295087268054397,CV
10,79.85717183603174,23.433350551965603,44.22291037139232,36.59744820559111,60.040986919652084,11.824140123231325,23.053215569131616,0.3889510388170152,0.03401746937256934,0.04207041071077687,2.0911952538620664,14.719139648001217,34.40156524388042,1639.959123663356,1769.9414132455718,2.791535068757388e-10,17.176132072640556,0.2683507204272293,CI
