Sample_ID,Relative_Density_percent,D10_mm,D50_mm,D90_mm,Uniformity_Coefficient_Cu,Coefficient_of_Curvature_Cc,Internal_Friction_Angle_degrees,Dilation_Angle_degrees,Dry_Density_kg_per_m3,Saturated_Density_kg_per_m3,Permeability_m_per_s,Cohesion_kPa,Youngs_Modulus_MPa,Poissons_Ratio,Classification
1,79.22877184066019,0.45581547794701943,0.8366778799742443,3.9776163353004477,6.969638459400484,1.7032472796466243,29.050318641020265,5.4014303613198775,1443.6107963752058,2025.9006254513129,0.0008468081816544842,3.665356850837591,27.959446369313444,0.22417246545158537,SP
2,46.62886579555757,0.4995871636423767,0.8766620434146077,3.7807697792623594,1.924432210156385,2.2647332018711777,36.29790840620539,14.431685355024634,1876.6929176356937,2084.1087415576476,0.00019300690323244981,2.29121091081635,11.757464765362414,0.3314200722899652,SW
3,64.30185208901445,0.2263850315019914,1.590953755624925,4.209518517187528,7.075611425747357,1.7168732707222754,35.16805651016443,6.604192851222357,1815.0832298299224,1861.3019849276463,3.328487550733688e-05,4.283049026436955,25.604854350438423,0.17365732975062093,SC
4,50.43992625829507,0.16463166293035184,1.2451364321042802,4.537903832066215,8.925292163698176,0.8922781112018872,33.028144678248175,14.39570899700335,1456.9172959379584,2091.595318058215,0.00010957938471963052,1.392703178827412,57.26912385675372,0.1578521594774217,SM
5,44.662402126256374,0.13274797670907296,0.9228576538447777,4.0321130691816744,3.5487817878278656,2.383827194775001,35.9255953351591,11.535984810886589,1838.2993838254151,1984.6112432401167,0.0008911708064497644,1.0191124023164928,74.83923763401091,0.2870004824600548,SW
6,93.02330624010541,0.2818341985061042,1.3448989305418957,4.377959560509176,3.9828269201003033,1.4181646708222124,29.01746329212041,10.776957931030486,1741.4780279815686,1813.5071742738348,0.00011380283814768658,4.1584417693743605,32.46325671157854,0.22700059362102082,SC
7,89.3178274251502,0.3227363498759709,1.5198201162216998,2.3826183958468983,7.775647777362618,0.9079876869878192,41.21587640004165,7.373455678827404,1562.7205659143044,1893.7966215985996,5.584898176002597e-05,1.6316303249641684,71.29930312025067,0.30289516176602116,SP
8,58.96840251184666,0.2625902312146362,0.24122092260523867,2.373349448059759,6.12685111785099,0.8453663683591892,32.111963628979105,6.650672013834032,1835.625277207566,1810.3025566962312,5.8458963338021063e-05,2.0593432300025247,37.64287738388096,0.16370892230535108,SC
9,38.89057396915847,0.2242634066805571,0.3617530420115182,4.777203279599265,7.449997263045396,2.8489947908701003,29.004903069407984,7.898222812776104,1699.0110938909793,1982.7498087964175,0.0008591460884874421,3.9685391634399654,31.578987455798522,0.22675142870707726,SC
10,77.31397471584216,0.12572265355660775,0.37007379273274255,4.658298145304819,7.721164355856758,1.3545672190171718,30.373059816037458,4.4044959439042985,1824.334922167193,1930.3519042220341,0.0002740520489756127,3.177882686872875,45.619096996407265,0.19706504240922243,SP
11,46.62057345833432,0.2488368307147808,0.6174808494740025,3.19398936442089,3.3910265899872005,1.7853782235507398,29.336634802755235,13.567649097577,1634.6339622436262,2194.9798239653005,0.00023678037892916525,2.2086294521613454,40.95914446867307,0.2979213065893195,SW
12,40.95365737947614,0.08835941168557923,0.9685827906091651,2.4662351410905834,3.946126766146549,2.8912681963774824,30.50046306103554,11.914959828980496,1650.3255200809137,2147.401646782745,2.9114453559810196e-05,1.24945254452279,73.96599079619128,0.19543402208547428,SP
13,54.799386152981995,0.43927149149941636,1.646569818726598,4.464006121035201,12.950232811973173,1.8285373533175955,33.834556767572565,12.020937814875658,1545.505014705478,2130.2683441372596,0.00013151317889647393,3.8210048442588214,42.77798631856886,0.24158906695487095,SW
14,64.44023759583804,0.07110619344408174,0.8319782629992034,2.2936445297094648,3.696702305691535,0.972940511757885,38.33271251509729,6.497303931741541,1593.8463459723541,2000.4466196124981,5.169998261375939e-05,0.9021551724502852,29.413477105615286,0.3137755102273424,SW
15,36.33362143832695,0.22129072777919961,0.2314600190850886,1.6145403315777775,10.489843495611522,2.0142593039426506,31.81287686437056,1.0663342236632563,1683.8760345641108,2122.8349997403066,3.0227557203156625e-05,4.64139800293214,68.97959042513325,0.33307810709289387,SW
16,67.16352074815423,0.09506204106933583,1.0700513353131123,3.55797070002192,7.1501286313651935,0.9940370375989435,34.102972707183014,10.246159768894179,1873.5296118543088,1906.747858985102,0.0006181652277482807,0.7515803456149861,79.91246581616967,0.29452115873315554,SC
17,30.997644359570398,0.3987412247601852,1.9939314717643195,1.1704872389318677,14.571195260590152,1.00919333242178,41.00260203043531,5.616203759571176,1700.0588799840675,2024.25978713861,5.8386389145614746e-05,4.024668459736481,55.371999342692675,0.2358456823065907,SM
18,87.97148893855064,0.19073164047256708,0.8282377921788544,2.516407624665952,2.3924088854912067,2.6732495623654113,32.14150435056366,13.05645468676238,1473.6890958901968,1957.1672245277641,3.6776832768246026e-05,2.1212443336406688,27.532295825545102,0.2643971749485466,SM
19,89.84820980312634,0.10089752569364967,1.9302581337811666,4.2306552627784875,12.710249691415285,1.436727395402097,39.126076545705935,11.705076576747953,1403.4980927382433,1868.536764609092,0.0007301982591398241,0.9300311646675602,26.71705539092255,0.28793798943049875,SC
