Location_ID,Latitude,Longitude,Soil_Type,Ground_Movement_Potential,Shrink_Swell_Index,Compressibility_Index_Cc,Permeability_m_per_s,Groundwater_Depth_m,Asset_Age_years,Corrosion_Rate_mm_per_year,Asset_Type,Failure_Probability
1,53.28996157446726,-4.5717408335711545,Swelling Clay,Moderate,2.5074854776803184,0.4459189895174535,3.6353368961973457e-06,8.1667446673268,17,0.23679393125240888,Pipeline,0.04567573856635321
2,55.13087022034877,-2.379065761683923,Compressible Ground,Very Low,1.2384343922330066,0.46712328040404894,6.429862389575901e-09,12.681829318727637,79,0.11829141723907739,Foundation,0.7813865697237005
3,51.01014947320745,-3.5488112873008104,Compressible Ground,Very Low,3.4258060030709307,0.06099408918845965,1.1617867030738101e-09,1.4889904037695194,92,0.37197824167657745,Foundation,0.03928368222679046
4,53.50581268855534,1.5744491194551218,Running Sand,Moderate,3.521316434101729,0.4948263814676928,9.571549146081039e-07,1.635310371310119,26,0.023508438009564363,Tunnel,0.3083011038682084
5,52.01088365706329,-0.11907957536836733,Compressible Ground,Very Low,1.7898391277983277,0.3695102291750831,5.151181159746135e-05,8.564465986721425,19,0.28182568887764353,Pipeline,0.573297370086664
6,54.9466389100972,-4.64417135050656,Mixed,Moderate,4.4058504423708715,0.28417650169683306,1.1143961037029264e-06,9.767169361652147,22,0.09304925471082777,Basement,0.4095613602934438
7,54.32584804829256,-2.9490802391617548,Running Sand,Low,3.2201160831777393,0.225287423767649,8.215013183019064e-06,3.5654887287506094,21,0.010486013590117263,Basement,0.28227106724910045
8,52.348513610046425,-4.6484882455543515,Swelling Clay,Moderate,3.5651963762931587,0.28333315967437084,2.311817502118421e-06,11.305691837027013,75,0.43590804315175546,Tunnel,0.27518907242754165
9,51.33551581954307,0.8101166926235024,Mixed,Low,1.3866995896946972,0.19608112579030001,3.070317356062195e-07,9.870818967090548,83,0.33904861602889313,Tunnel,0.7977903060062493
10,50.55748986198649,1.344074813350126,Swelling Clay,Very High,0.0030581757779352126,0.3302095161634467,3.908067074266205e-06,13.887694389426153,94,0.05848198280475647,Basement,0.9739780950872451
11,53.60567225335974,-4.214042759126479,Mixed,Very High,4.3268780605105475,0.09184112440015606,1.3198379730088304e-05,2.9498359269487824,32,0.33539546016508925,Tunnel,0.3480410704487934
