Test_ID,Centrifuge_g_Level,Model_Scale,Soil_Type,Structure_Type,Embedment_Depth_mm,Moisture_Content_percent,Applied_Load_kN,Settlement_mm,Lateral_Displacement_mm,Tilt_Angle_degrees,Bearing_Capacity_kPa,Failure_Load_kN,PIV_Max_Shear_Strain_percent,Shear_Band_Thickness_mm,Failure_Mechanism
1,20,1:40,Silty Clay,Tunnel,250.9788852426636,18.453555712763997,20.785410913193726,16.788397039957555,-4.347782532261956,0.9759296022575272,221.39788885436087,33.57872408206384,6.780348712735201,19.04862811458155,General Shear
2,60,1:100,Clay,Retaining Wall,123.80927163400625,21.644807912631197,22.3737968175371,15.037041960979947,14.523995177762089,-3.6194308870879075,429.62688489410215,11.201094691838584,8.531929650047312,8.994469755559491,Punching
3,100,1:20,Silty Clay,Tunnel,216.73679572885538,10.769558887744854,23.161933944949357,23.537980577482845,16.021333362567297,1.754271064452233,189.16917875156776,58.78949830428439,10.08926494208151,9.022184775782527,Punching
4,20,1:20,Saturated Sand,Tunnel,83.78861018204154,28.915198799968753,49.90329613616401,16.59925637852645,2.4222615074058993,-2.985088393431483,344.83744576571956,50.65876598841765,0.558901396466775,13.098790856577224,Local Shear
5,80,1:20,Dry Sand,Pile,157.61283099514242,31.08046729553606,5.821800909005454,25.74022755977266,18.345730844921434,-1.5403140833226416,432.11869711114144,32.3504453633981,7.20301340988752,12.24152689511569,Piping
6,100,1:60,Dry Sand,Tunnel,284.6091296664457,4.891190683200835,14.26607063491026,3.0870286067461383,-8.122676639852667,0.09617933812902102,118.6921322605965,56.013066953871316,12.258420496547812,7.227858286446537,Bearing
7,20,1:100,Saturated Sand,Retaining Wall,131.57483904394957,1.817356195968054,10.539366545452344,23.28399193283746,-0.31898506556212425,-3.4263401793829926,70.6675905511292,56.552981791134435,7.961658046241253,10.407445843915252,General Shear
8,80,1:20,Silty Clay,Tunnel,88.5587522115722,11.178321456003156,27.20940002224771,4.915037698934279,1.171116612670886,-4.7921861715055165,421.49031970129363,36.652606081413495,1.0178668427657522,7.9852344609883685,Local Shear
9,60,1:60,Clay,Foundation,86.53646434852517,24.954563635620648,0.14044676920937915,6.756940361347809,-2.488164271748264,-1.7291406012930177,298.00885623313263,21.692539573668526,11.626049866441432,15.280048112419374,Bearing
10,80,1:60,Saturated Sand,Tunnel,148.43214253005914,17.759836195883842,46.0549318898864,5.383545625208854,-6.29049803923424,3.2431576908845194,422.46558450676116,34.355516732172646,14.119973360940707,4.205051595949312,General Shear
11,40,1:60,Dry Sand,Retaining Wall,106.29407886474752,17.083149907240497,26.556045029884174,7.152640560703168,-1.474018842308297,-4.846200387917278,145.86603529554299,26.23993035470882,12.777659369989912,15.504520339149206,Piping
12,20,1:40,Silty Clay,Retaining Wall,156.73020099640098,5.33436394574788,44.80386018668438,21.954920900620394,-14.279872658569692,-3.9056606680538652,424.68450031327353,32.39928145052986,5.4385319934612655,4.901006455633892,Piping
13,60,1:60,Clay,Retaining Wall,229.72142597152566,12.300894145343324,17.248260732322727,19.659951369166677,13.13400139040274,3.0685485673671824,92.88968626165965,55.56960153940376,8.022357580281751,7.507675845360264,Punching
