temperature,time,mix_type,replicate,vapor_pressure_10mm,saturation_pressure_10mm,vapor_pressure_20mm,saturation_pressure_20mm,vapor_pressure_30mm,saturation_pressure_30mm,vapor_pressure_40mm,saturation_pressure_40mm,vapor_pressure_50mm,saturation_pressure_50mm
25,0.0,control,1,289.891344881923,2368641.355309522,0.0,2368641.355309522,1847.5331103613382,2368641.355309522,0.0,2368641.355309522,0.0,2368641.355309522
26,0.2,control,1,5127.184144349563,2513698.9344580737,5201.607222863155,2513698.9344580737,6182.382234504812,2513698.9344580737,4372.138826124953,2513698.9344580737,5145.944422228729,2513698.9344580737
27,0.4,control,1,13438.939695875733,2666422.5312688407,13177.564353740643,2666422.5312688407,11935.539058435712,2666422.5312688407,12396.202372503933,2666422.5312688407,12840.738964378059,2666422.5312688407
28,0.6,control,1,21539.603263516685,2827149.0841762293,23428.703269712205,2827149.0841762293,22257.54478425943,2827149.0841762293,23255.202462600322,2827149.0841762293,22912.88858785802,2827149.0841762293
29,0.8,control,1,32603.12762351984,2996227.0619178903,32514.959345827236,2996227.0619178903,34802.229614868025,2996227.0619178903,35159.05895068796,2996227.0619178903,34592.85863289071,2996227.0619178903
30,1.0,control,1,48878.77705705737,3174016.727118481,49816.3046716916,3174016.727118481,48789.57894932917,3174016.727118481,47210.6044890411,3174016.727118481,49014.82681569937,3174016.727118481
31,1.2,control,1,64835.36138914371,3360890.401727248,66853.99482571923,3360890.401727248,65001.288615603065,3360890.401727248,65824.18556643235,3360890.401727248,65483.79289942484,3360890.401727248
32,1.4,control,1,85765.48916017095,3557232.734215598,86137.48795061072,3557232.734215598,85515.08322155982,3557232.734215598,85051.68636215005,3557232.734215598,86248.82296528193,3557232.734215598
33,1.6,control,1,110777.5439873769,3763440.968439287,110424.36307005558,3763440.968439287,108902.7565838823,3763440.968439287,109151.06090998286,3763440.968439287,108898.65900503212,3763440.968439287
34,1.8,control,1,137002.2234282227,3979925.2140683583,135884.57912782746,3979925.2140683583,134369.57961759352,3979925.2140683583,136935.434737991,3979925.2140683583,137718.0769635723,3979925.2140683583
35,2.0,control,1,167629.14706549834,4207108.718486802,166900.79303743519,4207108.718486802,166728.13151100115,4207108.718486802,167954.5208524966,4207108.718486802,169531.2557864948,4207108.718486802
36,2.2,control,1,203644.57102959105,4445428.140062439,203574.0760056998,4445428.140062439,203489.73315402595,4445428.140062439,202841.3979037538,4445428.140062439,203541.784772048,4445428.140062439
37,2.4,control,1,244064.24447522342,4695333.822686567,244796.28095823276,4695333.822686567,244902.4334861795,4695333.822686567,245372.1200117236,4695333.822686567,245459.54095307973,4695333.822686567
38,2.6,control,1,291925.46860857675,4957290.071481643,290158.6881311022,4957290.071481643,291044.566727779,4957290.071481643,289673.54633032175,4957290.071481643,290821.25220197614,4957290.071481643
39,2.8,control,1,342746.9791937737,5231775.429574466,342755.65050949104,5231775.429574466,342155.44613471883,5231775.429574466,344096.9603555176,5231775.429574466,344285.22641444026,5231775.429574466
40,3.0,control,1,399958.2362724869,5519282.955831094,400787.8966290628,5519282.955831094,400849.04865153343,5519282.955831094,401785.02835357597,5519282.955831094,401383.07880455523,5519282.955831094
41,3.2,control,1,465502.3946620191,5820320.503449371,465299.9869047398,5820320.503449371,466310.90761911584,5820320.503449371,467548.926176512,5820320.503449371,469576.5658446248,5820320.503449371
42,3.4,control,1,537351.5670141794,6135410.999303639,537956.6511216342,6135410.999303639,539229.8969177528,6135410.999303639,539292.5585717927,6135410.999303639,539028.3960981381,6135410.999303639
43,3.6,control,1,617371.7310752727,6465092.723936029,619269.1937637163,6465092.723936029,619052.4503195094,6465092.723936029,621154.0256516817,6465092.723936029,620262.7480178307,6465092.723936029
44,3.8,control,1,707866.4589415983,6809919.59208775,708498.482544594,6809919.59208775,707663.1659439269,6809919.59208775,709975.0747668451,6809919.59208775,709831.9142418765,6809919.59208775
45,4.0,control,1,805101.9916166659,7170461.433663558,804566.1138008718,7170461.433663558,805892.2664352994,7170461.433663558,806859.8043899162,7170461.433663558,808238.8183977915,7170461.433663558
46,4.2,control,1,912292.9601932603,7547304.275022141,912798.9622136931,7547304.275022141,914446.6430023771,7547304.275022141,914446.0706966887,7547304.275022141,914650.738165675,7547304.275022141
47,4.4,control,1,1029914.3243691081,7941050.620484467,1030490.141745077,7941050.620484467,1031521.1020224283,7941050.620484467,1033146.3722219042,7941050.620484467,1034121.1628440766,7941050.620484467
48,4.6,control,1,1160774.9353456374,8352319.733952575,1158711.296317562,8352319.733952575,1161021.7489164062,8352319.733952575,1163891.3773161469,8352319.733952575,1163231.0960052153,8352319.733952575
49,4.8,control,1,1301002.559872474,8781747.920530224,1300207.2683530436,8781747.920530224,1304281.7135956949,8781747.920530224,1306135.1633088875,8781747.920530224,1305726.9648805605,8781747.920530224
50,5.0,control,1,1451677.3845576528,9229988.808037631,1455283.9153571806,9229988.808037631,1458218.1322581007,9229988.808037631,1457284.022877275,9229988.808037631,1459268.6200141709,9229988.808037631
51,5.2,control,1,1621027.1981635438,9697713.62831169,1622841.3487023492,9697713.62831169,1625727.3728533662,9697713.62831169,1627902.1315242008,9697713.62831169,1628407.995946789,9697713.62831169
52,5.4,control,1,1804195.3060943289,10185611.498183608,1804890.298030024,10185611.498183608,1805748.8950938585,10185611.498183608,1809226.1052313407,10185611.498183608,1809853.0635339364,10185611.498183608
53,5.6,control,1,2002462.0060670457,10694389.70002607,2002363.738033368,10694389.70002607,2005862.62074022,10694389.70002607,2008564.179894943,10694389.70002607,2007814.844524039,10694389.70002607
54,5.8,control,1,2215645.294025539,11224773.961761804,2216303.9999377467,11224773.961761804,2217674.484548994,11224773.961761804,2221900.2661364884,11224773.961761804,2224472.2724640835,11224773.961761804
55,6.0,control,1,2446309.796828357,11777508.736225888,2448113.1235981495,11777508.736225888,2451314.3808925576,11777508.736225888,2455479.312079509,11777508.736225888,2455147.5914112055,11777508.736225888
56,6.2,control,1,2696295.102499216,12353357.47977513,2697065.5460820417,12353357.47977513,2702120.9995294944,12353357.47977513,2705384.574786894,12353357.47977513,2707554.694882762,12353357.47977513
57,6.4,control,1,2965953.0152894496,12953102.930036865,2969527.6076000636,12953102.930036865,2974599.2649565493,12953102.930036865,2975672.0968335085,12953102.930036865,2979061.4816266326,12953102.930036865
58,6.6,control,1,3257052.979563643,13577547.382691503,3260999.059634389,13577547.382691503,3265778.4931712877,13577547.382691503,3267780.5507906396,13577547.382691503,3269869.159074967,13577547.382691503
59,6.8,control,1,3570344.586588306,14227512.967182841,3573495.742591096,14227512.967182841,3576182.578680272,14227512.967182841,3580948.9583299733,14227512.967182841,3584514.446340017,14227512.967182841
60,7.0,control,1,3905116.1318163094,14903841.921250708,3907567.2850510483,14903841.921250708,3913397.3454561885,14903841.921250708,3917797.875966431,14903841.921250708,3921322.313509807,14903841.921250708
61,7.2,control,1,4266316.027824609,15607396.864181923,4270570.475911089,15607396.864181923,4272725.112423422,15607396.864181923,4279919.356725402,15607396.864181923,4282879.478289782,15607396.864181923
62,7.4,control,1,4653202.020903726,16339061.068675516,4657502.936291401,16339061.068675516,4660914.472706952,16339061.068675516,4666144.807459116,16339061.068675516,4671249.455457893,16339061.068675516
63,7.6,control,1,5067419.795372191,17099738.73121947,5070982.779833224,17099738.73121947,5075256.681095103,17099738.73121947,5081853.865429565,17099738.73121947,5087438.798305902,17099738.73121947
64,7.8,control,1,5510016.1622585505,17890355.24087682,5514273.253992958,17890355.24087682,5520380.062897385,17890355.24087682,5526336.8544749245,17890355.24087682,5531526.945418603,17890355.24087682
65,8.0,control,1,5981185.430618376,18711857.44638002,5987133.712188496,18711857.44638002,5994519.495020542,18711857.44638002,6000395.259689734,18711857.44638002,6005445.646177392,18711857.44638002
66,8.2,control,1,6487163.897407319,19565213.92143364,6495349.882230088,19565213.92143364,6502792.969250039,19565213.92143364,6507430.07145207,19565213.92143364,6513604.894733609,19565213.92143364
67,8.4,control,1,7026562.532010235,20451415.228126112,7031468.763644952,20451415.228126112,7041145.528411293,20451415.228126112,7047358.198132074,20451415.228126112,7055788.170678121,20451415.228126112
68,8.6,control,1,7600129.367744873,21371474.178352512,7610930.506500755,21371474.178352512,7617326.359887673,21371474.178352512,7622690.248431978,21371474.178352512,7632847.572456365,21371474.178352512
69,8.8,control,1,8213937.315159511,22326426.0931517,8220214.036611396,22326426.0931517,8227901.138751572,22326426.0931517,8237965.254398665,22326426.0931517,8246173.503727225,22326426.0931517
70,9.0,control,1,8863615.110702254,23317329.05986231,8875393.330306793,23317329.05986231,8882002.738445742,23317329.05986231,8891625.188300418,23317329.05986231,8900646.670780087,23317329.05986231
71,9.2,control,1,9556670.486577738,24345264.187002625,9567267.251978187,24345264.187002625,9576800.983490305,24345264.187002625,9586407.371759392,24345264.187002625,9594695.183419395,24345264.187002625
