temperature,time,mix_type,replicate,vapor_pressure_10mm,saturation_pressure_10mm,vapor_pressure_20mm,saturation_pressure_20mm,vapor_pressure_30mm,saturation_pressure_30mm,vapor_pressure_40mm,saturation_pressure_40mm,vapor_pressure_50mm,saturation_pressure_50mm
25,0.0,control,3,216.71423432532686,2368641.355309522,702.6233842398528,2368641.355309522,0.0,2368641.355309522,0.0,2368641.355309522,584.3794278082131,2368641.355309522
26,0.2,control,3,4756.371890134747,2513698.9344580737,6559.547356457237,2513698.9344580737,5969.954114505201,2513698.9344580737,5336.649677073703,2513698.9344580737,5312.1508753556745,2513698.9344580737
27,0.4,control,3,13244.83504476975,2666422.5312688407,12874.97751866744,2666422.5312688407,12847.08003946242,2666422.5312688407,12560.139334992706,2666422.5312688407,14688.537214458966,2666422.5312688407
28,0.6,control,3,21179.590934631993,2827149.0841762293,22928.978913888554,2827149.0841762293,21873.61339960691,2827149.0841762293,22561.664000161385,2827149.0841762293,22430.40106675033,2827149.0841762293
29,0.8,control,3,33415.35035049364,2996227.0619178903,33765.71818862026,2996227.0619178903,33309.61889563583,2996227.0619178903,33902.904825683334,2996227.0619178903,34903.570594492274,2996227.0619178903
30,1.0,control,3,48050.51571022342,3174016.727118481,49156.65929203354,3174016.727118481,47370.34833664676,3174016.727118481,48484.107390094156,3174016.727118481,48727.93821661982,3174016.727118481
31,1.2,control,3,64213.20862247746,3360890.401727248,66196.80401405616,3360890.401727248,64525.79817301188,3360890.401727248,65623.12755891067,3360890.401727248,66500.22471602247,3360890.401727248
32,1.4,control,3,85883.16389692732,3557232.734215598,86107.46236516286,3557232.734215598,85642.58482001183,3557232.734215598,84575.76468129133,3557232.734215598,87164.03755207236,3557232.734215598
33,1.6,control,3,109673.93143192898,3763440.968439287,106989.35468863977,3763440.968439287,109050.88166653879,3763440.968439287,110372.97983601077,3763440.968439287,109959.222399621,3763440.968439287
34,1.8,control,3,138369.99826749,3979925.2140683583,135852.64472517147,3979925.2140683583,135879.8181123114,3979925.2140683583,136357.7177603563,3979925.2140683583,134830.3396115872,3979925.2140683583
35,2.0,control,3,168422.51293447788,4207108.718486802,168396.1620839559,4207108.718486802,167981.53856275787,4207108.718486802,169500.00238377668,4207108.718486802,169783.98399069978,4207108.718486802
36,2.2,control,3,204135.65814129493,4445428.140062439,200916.8701316104,4445428.140062439,206234.20849363744,4445428.140062439,205511.69845415492,4445428.140062439,201341.69730903144,4445428.140062439
