temperature,time,mix_type,replicate,vapor_pressure_10mm,saturation_pressure_10mm,vapor_pressure_20mm,saturation_pressure_20mm,vapor_pressure_30mm,saturation_pressure_30mm,vapor_pressure_40mm,saturation_pressure_40mm,vapor_pressure_50mm,saturation_pressure_50mm
25,0.0,rubber_20,1,0.0,2368641.355309522,321.9511214912662,2368641.355309522,0.0,2368641.355309522,390.84763988509746,2368641.355309522,0.0,2368641.355309522
26,0.2,rubber_20,1,4685.964823171257,2513698.9344580737,4913.755890125453,2513698.9344580737,5372.0351074383725,2513698.9344580737,5230.921669032611,2513698.9344580737,5796.778896924448,2513698.9344580737
27,0.4,rubber_20,1,9862.062887484564,2666422.5312688407,9608.878165894806,2666422.5312688407,10068.665899633375,2666422.5312688407,10197.796081478735,2666422.5312688407,11275.731976688538,2666422.5312688407
28,0.6,rubber_20,1,16117.198975918967,2827149.0841762293,17414.065503697497,2827149.0841762293,17116.2349372912,2827149.0841762293,16652.587473585987,2827149.0841762293,18326.943508564193,2827149.0841762293
29,0.8,rubber_20,1,27335.28092136226,2996227.0619178903,26355.859109791814,2996227.0619178903,28367.999292334942,2996227.0619178903,29088.037229800262,2996227.0619178903,28386.51686719707,2996227.0619178903
30,1.0,rubber_20,1,39272.075626089754,3174016.727118481,39908.59678624267,3174016.727118481,38154.93948898562,3174016.727118481,38064.878761374355,3174016.727118481,38914.85788951065,3174016.727118481
31,1.2,rubber_20,1,51548.25026966407,3360890.401727248,52273.36608002351,3360890.401727248,52863.175278599934,3360890.401727248,52491.52744274704,3360890.401727248,52086.82269884023,3360890.401727248
32,1.4,rubber_20,1,68790.36019075617,3557232.734215598,67132.58405602555,3557232.734215598,68392.730595589,3557232.734215598,71752.45039623082,3557232.734215598,68138.16751418672,3557232.734215598
33,1.6,rubber_20,1,88006.96506393052,3763440.968439287,87234.95805840981,3763440.968439287,87179.62501711372,3763440.968439287,87791.54544224734,3763440.968439287,88502.96847606462,3763440.968439287
34,1.8,rubber_20,1,109842.134224371,3979925.2140683583,108403.43251679422,3979925.2140683583,109473.69027812492,3979925.2140683583,106508.82487775554,3979925.2140683583,107977.77235346824,3979925.2140683583
35,2.0,rubber_20,1,135260.65695976748,4207108.718486802,134351.13509573188,4207108.718486802,133667.54461838803,4207108.718486802,134099.1916066486,4207108.718486802,135385.43490897198,4207108.718486802
36,2.2,rubber_20,1,163893.26611732552,4445428.140062439,163708.52022804884,4445428.140062439,164332.99330098063,4445428.140062439,162972.20010008596,4445428.140062439,163859.3238579895,4445428.140062439
37,2.4,rubber_20,1,196121.265831829,4695333.822686567,195919.51523046804,4695333.822686567,196657.75989008037,4695333.822686567,197359.88188474945,4695333.822686567,194943.46683415052,4695333.822686567
38,2.6,rubber_20,1,232659.3102359948,4957290.071481643,234727.69197917325,4957290.071481643,233725.04370901582,4957290.071481643,232755.71529164189,4957290.071481643,234591.56460264808,4957290.071481643
39,2.8,rubber_20,1,274868.7060035715,5231775.429574466,273767.77558596537,5231775.429574466,273960.0654349437,5231775.429574466,275257.5805270293,5231775.429574466,273888.00925203366,5231775.429574466
40,3.0,rubber_20,1,321574.1389666947,5519282.955831094,320258.2229800057,5519282.955831094,321770.94419091905,5519282.955831094,320549.07283781335,5519282.955831094,321482.52734083345,5519282.955831094
41,3.2,rubber_20,1,372100.25675808964,5820320.503449371,373401.76527026703,5820320.503449371,372790.3915182428,5820320.503449371,374019.1896733295,5820320.503449371,375413.0681132323,5820320.503449371
42,3.4,rubber_20,1,429660.08074648876,6135410.999303639,431295.33064576297,6135410.999303639,431858.4872692661,6135410.999303639,432037.002256092,6135410.999303639,431064.43561054964,6135410.999303639
43,3.6,rubber_20,1,495109.7422456683,6465092.723936029,495565.247820046,6465092.723936029,496109.5569239525,6465092.723936029,496692.6096690714,6465092.723936029,495355.7923477186,6465092.723936029
44,3.8,rubber_20,1,565069.2388889563,6809919.59208775,566151.6734493149,6809919.59208775,566274.1924069353,6809919.59208775,566232.9193855987,6809919.59208775,568232.6734773535,6809919.59208775
45,4.0,rubber_20,1,644725.7922956316,7170461.433663558,645878.3057850486,7170461.433663558,643673.5408428762,7170461.433663558,645386.5552872041,7170461.433663558,647124.1760925149,7170461.433663558
46,4.2,rubber_20,1,730041.4108037056,7547304.275022141,729131.1041862713,7547304.275022141,732807.4130534726,7547304.275022141,732598.9034890193,7547304.275022141,730933.4311441899,7547304.275022141
47,4.4,rubber_20,1,823884.6187954862,7941050.620484467,825179.1937268131,7941050.620484467,824335.1653594635,7941050.620484467,827122.4889039758,7941050.620484467,827204.9663107102,7941050.620484467
48,4.6,rubber_20,1,927912.1094555683,8352319.733952575,928195.1979781531,8352319.733952575,927861.4885910423,8352319.733952575,930370.4428482782,8352319.733952575,929715.1900086703,8352319.733952575
49,4.8,rubber_20,1,1039671.4461499023,8781747.920530224,1041547.5258429947,8781747.920530224,1041018.9163673992,8781747.920530224,1042899.4822552167,8781747.920530224,1044444.136821201,8781747.920530224
50,5.0,rubber_20,1,1163855.7365529698,9229988.808037631,1165693.9102519727,9229988.808037631,1166805.4683399813,9229988.808037631,1166158.845735839,9229988.808037631,1168994.1925227032,9229988.808037631
51,5.2,rubber_20,1,1300143.0818007523,9697713.62831169,1297187.9751097013,9697713.62831169,1299754.4335873977,9697713.62831169,1299240.2829518483,9697713.62831169,1303634.5005484417,9697713.62831169
52,5.4,rubber_20,1,1441994.820645554,10185611.498183608,1444060.101051805,10185611.498183608,1446700.0834824287,10185611.498183608,1447099.7593136125,10185611.498183608,1449031.4893375714,10185611.498183608
53,5.6,rubber_20,1,1601143.6308823177,10694389.70002607,1602675.4921901994,10694389.70002607,1604425.9963516968,10694389.70002607,1604990.1662599768,10694389.70002607,1608155.761381748,10694389.70002607
54,5.8,rubber_20,1,1772861.000414422,11224773.961761804,1772592.035654173,11224773.961761804,1777537.4492117392,11224773.961761804,1777354.551713697,11224773.961761804,1778598.9219944258,11224773.961761804
55,6.0,rubber_20,1,1957437.0719806468,11777508.736225888,1960233.359895129,11777508.736225888,1961662.1444858455,11777508.736225888,1962720.064813151,11777508.736225888,1964666.647379983,11777508.736225888
56,6.2,rubber_20,1,2157472.0099513624,12353357.47977513,2160416.401680551,12353357.47977513,2163122.9704244067,12353357.47977513,2163874.7230185466,12353357.47977513,2165177.6858255384,12353357.47977513
57,6.4,rubber_20,1,2373991.2446550974,12953102.930036865,2373938.364329359,12953102.930036865,2378797.791891013,12953102.930036865,2380506.442467488,12953102.930036865,2381717.6304947813,12953102.930036865
58,6.6,rubber_20,1,2605739.57416472,13577547.382691503,2608301.7814359753,13577547.382691503,2611400.4034877885,13577547.382691503,2613845.951012732,13577547.382691503,2616098.5973301674,13577547.382691503
59,6.8,rubber_20,1,2855943.8199674636,14227512.967182841,2858398.9620001167,14227512.967182841,2861457.548600518,14227512.967182841,2863611.5668752133,14227512.967182841,2868096.99130071,14227512.967182841
60,7.0,rubber_20,1,3125426.2012617304,14903841.921250708,3129129.262168541,14903841.921250708,3130293.009503194,14903841.921250708,3133354.8715122603,14903841.921250708,3138312.8796982067,14903841.921250708
61,7.2,rubber_20,1,3412058.626522454,15607396.864181923,3415508.158831092,15607396.864181923,3418604.7490229337,15607396.864181923,3423176.9335802365,15607396.864181923,3425987.1712905844,15607396.864181923
62,7.4,rubber_20,1,3723059.6497723823,16339061.068675516,3723801.3624160727,16339061.068675516,3726755.957971522,16339061.068675516,3733623.40014582,16339061.068675516,3736635.0697121695,16339061.068675516
63,7.6,rubber_20,1,4051960.5123498794,17099738.73121947,4057530.0464767036,17099738.73121947,4061470.0923803304,17099738.73121947,4067028.3422804,17099738.73121947,4069296.9768658667,17099738.73121947
64,7.8,rubber_20,1,4407237.466001535,17890355.24087682,4409308.347613672,17890355.24087682,4417508.503744142,17890355.24087682,4421132.67126401,17890355.24087682,4423103.366194491,17890355.24087682
65,8.0,rubber_20,1,4785724.878599692,18711857.44638002,4792361.66701286,18711857.44638002,4795518.178142842,18711857.44638002,4799498.2642187225,18711857.44638002,4804644.769340663,18711857.44638002
66,8.2,rubber_20,1,5189111.085661855,19565213.92143364,5195468.789549221,19565213.92143364,5201156.752391085,19565213.92143364,5205399.808247885,19565213.92143364,5211739.105962727,19565213.92143364
67,8.4,rubber_20,1,5623531.480439861,20451415.228126112,5629850.124511149,20451415.228126112,5631230.107925602,20451415.228126112,5639597.496844131,20451415.228126112,5643636.154940854,20451415.228126112
68,8.6,rubber_20,1,6079651.648984808,21371474.178352512,6086967.823510825,21371474.178352512,6095023.646858561,21371474.178352512,6099665.467082414,21371474.178352512,6107138.858125994,21371474.178352512
69,8.8,rubber_20,1,6571367.572604182,22326426.0931517,6577144.206749386,22326426.0931517,6582751.934635338,22326426.0931517,6592453.54099459,22326426.0931517,6597805.093079556,22326426.0931517
70,9.0,rubber_20,1,7092810.891826294,23317329.05986231,7100179.831390811,23317329.05986231,7106392.245341717,23317329.05986231,7113615.603371565,23317329.05986231,7118949.3590777265,23317329.05986231
71,9.2,rubber_20,1,7644969.439711814,24345264.187002625,7653390.949059449,24345264.187002625,7662019.555834161,24345264.187002625,7669863.524215054,24345264.187002625,7675352.116613826,24345264.187002625
72,9.4,rubber_20,1,8231525.5464041475,25411335.856781974,8241315.789630461,25411335.856781974,8250401.060962409,25411335.856781974,8257336.017411524,25411335.856781974,8267013.829559663,25411335.856781974
73,9.6,rubber_20,1,8858547.210930223,26516671.975151405,8866036.969054664,26516671.975151405,8875287.593020821,26516671.975151405,8884653.351171007,26516671.975151405,8892641.339752851,26516671.975151405
74,9.8,rubber_20,1,9520952.878268708,27662424.219303627,9531222.305508291,27662424.219303627,9539047.308092356,27662424.219303627,9548895.131942103,27662424.219303627,9559300.403544972,27662424.219303627
75,10.0,rubber_20,1,10222808.736746967,28849768.282532547,10233807.080137258,28849768.282532547,10242155.70782835,28849768.282532547,10251985.271046434,28849768.282532547,10264631.294550322,28849768.282532547
76,10.2,rubber_20,1,10967345.006708285,30079904.116366215,10976039.966970708,30079904.116366215,10987933.69767591,30079904.116366215,10998871.598770512,30079904.116366215,11009814.097983921,30079904.116366215
77,10.4,rubber_20,1,11751639.250350596,31354056.169885643,11764771.32712537,31354056.169885643,11777283.696477005,31354056.169885643,11788830.180729548,31354056.169885643,11799186.940240117,31354056.169885643
78,10.6,rubber_20,1,12585650.230031516,32673473.626146495,12597503.152095383,32673473.626146495,12610963.160685485,32673473.626146495,12623373.00135391,32673473.626146495,12635519.893427191,32673473.626146495
79,10.8,rubber_20,1,13464754.733405685,34039430.63561952,13479749.246834742,34039430.63561952,13493427.598543841,34039430.63561952,13505329.402431145,34039430.63561952,13519583.595551955,34039430.63561952
80,11.0,rubber_20,1,14396280.632532086,35453226.5465696,14408478.232752403,35453226.5465696,14423571.849942256,35453226.5465696,14436779.318103114,35453226.5465696,14450637.635045322,35453226.5465696
81,11.2,rubber_20,1,15375155.658333182,36916186.13229277,15391917.804135872,36916186.13229277,15406716.411540303,36916186.13229277,15422673.558251144,36916186.13229277,15436841.722565066,36916186.13229277
82,11.4,rubber_20,1,16411292.508586518,38429659.815133855,16426836.756447228,38429659.815133855,16443470.465080416,38429659.815133855,16460757.49737744,38429659.815133855,16477699.687604142,38429659.815133855
83,11.6,rubber_20,1,17501704.688136816,39995023.8872086,17520284.543300226,39995023.8872086,17537141.23801978,39995023.8872086,17555985.49992126,39995023.8872086,17573165.791292317,39995023.8872086
84,11.8,rubber_20,1,18654110.254565097,41613680.72775508,18671814.261870217,41613680.72775508,18690372.94887209,41613680.72775508,18707614.264968496,41613680.72775508,18726133.64612904,41613680.72775508
85,12.0,rubber_20,1,19861644.94095021,43287059.01704173,19883514.790251993,43287059.01704173,19902698.41733654,43287059.01704173,19922757.352026522,43287059.01704173,19941885.0136319,43287059.01704173
86,12.2,rubber_20,1,21138890.007058058,45016613.94676185,21158146.388130356,45016613.94676185,21179083.2332854,45016613.94676185,21203400.90746887,45016613.94676185,21222628.263750266,45016613.94676185
87,12.4,rubber_20,1,22478908.20848694,46803827.42684402,22500372.93077671,46803827.42684402,22525386.21541314,46803827.42684402,22545037.271558516,46803827.42684402,22568455.734990705,46803827.42684402
88,12.6,rubber_20,1,23888243.519793645,48650208.2886116,23915125.060292818,48650208.2886116,23936268.88427157,48650208.2886116,23960087.723386597,48650208.2886116,23983292.80775417,48650208.2886116
89,12.8,rubber_20,1,25371500.73478244,50557292.48422622,25397453.711117454,50557292.48422622,25421538.193191614,50557292.48422622,25448237.029610887,50557292.48422622,25473831.058254577,50557292.48422622
90,13.0,rubber_20,1,26926405.06058848,52526643.282349914,26955141.924791936,52526643.282349914,26983350.604497306,52526643.282349914,27008663.037318554,52526643.282349914,27035938.61835204,52526643.282349914
91,13.2,rubber_20,1,28561506.331982743,54559851.45996584,28589246.54767584,54559851.45996584,28619583.98463986,54559851.45996584,28648060.425400715,54559851.45996584,28675803.351209536,54559851.45996584
92,13.4,rubber_20,1,30278367.049505256,56658535.49029584,30305563.09017673,56658535.49029584,30336276.213757776,56658535.49029584,30366592.420514245,56658535.49029584,30397208.10959746,56658535.49029584
93,13.6,rubber_20,1,32072616.624209385,58824341.72675817,32107422.04200646,58824341.72675817,32139197.343925633,58824341.72675817,32170633.484166067,58824341.72675817,32203343.436372515,58824341.72675817
94,13.8,rubber_20,1,33959870.165076844,61058944.58290744,33993591.61591115,61058944.58290744,34029012.843564086,61058944.58290744,34063390.90848504,61058944.58290744,34095997.05261586,61058944.58290744
95,14.0,rubber_20,1,35934904.27801037,63364046.7083041,35970125.43069764,63364046.7083041,36007257.1732889,63364046.7083041,36042825.41235886,63364046.7083041,36078760.68991393,63364046.7083041
96,14.2,rubber_20,1,38004444.521204114,65741379.16025905,38042221.66466423,65741379.16025905,38080529.174278446,65741379.16025905,38118095.23774877,65741379.16025905,38155598.05202338,65741379.16025905
97,14.4,rubber_20,1,40171003.31001234,68192701.57140465,40211368.7891902,68192701.57140465,40250558.2544561,68192701.57140465,40290544.06698555,68192701.57140465,40328384.787398115,68192701.57140465
98,14.6,rubber_20,1,42436527.06300813,70719802.31304218,42479695.34978827,70719802.31304218,42522232.486174285,70719802.31304218,42565915.768433325,70719802.31304218,42605653.79139813,70719802.31304218
99,14.8,rubber_20,1,44807141.35057192,73324498.65421945,44853328.86889065,73324498.65421945,44897109.601976156,73324498.65421945,44940435.321447626,73324498.65421945,44987143.39770004,73324498.65421945
100,15.0,rubber_20,1,47547777.05262937,76426016.08508115,47594256.001534164,76426016.08508115,47640269.73160048,76426016.08508115,47688657.369135305,76426016.08508115,47735765.06560999,76426016.08508115
101,15.2,rubber_20,1,49523254.224252,79151174.43860474,49570427.16349139,79151174.43860474,49619947.28801823,79151174.43860474,49669807.46519412,79151174.43860474,49719091.10419172,79151174.43860474
102,15.4,rubber_20,1,51560278.41509961,81956928.4463222,51610055.53251018,81956928.4463222,51663123.25383112,81956928.4463222,51716177.91763181,81956928.4463222,51765618.14414775,81956928.4463222
103,15.6,rubber_20,1,53668250.768641904,84845128.34225713,53719055.5008206,84845128.34225713,53773722.38943285,84845128.34225713,53826563.8217779,84845128.34225713,53881370.13643734,84845128.34225713
104,15.8,rubber_20,1,55838930.2137634,87817652.71103157,55893798.54132778,87817652.71103157,55951466.22373421,87817652.71103157,56006473.77914106,87817652.71103157,56062584.14294568,87817652.71103157
105,16.0,rubber_20,1,58082485.13206474,90876408.62969814,58137730.47429976,90876408.62969814,58196833.86702789,90876408.62969814,58255344.28694706,90876408.62969814,58312179.702539176,90876408.62969814
106,16.2,rubber_20,1,60392957.81042395,94023331.80565824,60453670.53744981,94023331.80565824,60513480.30442251,94023331.80565824,60574598.87919133,94023331.80565824,60634523.92765593,94023331.80565824
107,16.4,rubber_20,1,62776872.013277456,97260386.7106339,62840219.773315124,97260386.7106339,62903068.044568606,97260386.7106339,62965337.81333421,97260386.7106339,63030268.13468551,97260386.7106339
108,16.6,rubber_20,1,65235653.14967239,100589566.71065705,65302470.103453726,100589566.71065705,65365989.55181792,100589566.71065705,65432784.12274605,100589566.71065705,65497181.61737568,100589566.71065705
109,16.8,rubber_20,1,67769542.83148396,104012894.1920493,67837316.85381708,104012894.1920493,67904381.45323606,104012894.1920493,67973350.6856281,104012894.1920493,68041702.7127651,104012894.1920493
110,17.0,rubber_20,1,70379562.99209657,107532420.68335971,70450329.874258,107532420.68335971,70520508.38178879,107532420.68335971,70591075.72299151,107532420.68335971,70661789.87338541,107532420.68335971
111,17.2,rubber_20,1,73070469.32643737,111150226.97323646,73143982.91321212,111150226.97323646,73215622.70798147,111150226.97323646,73289442.37825345,111150226.97323646,73361497.38597295,111150226.97323646
112,17.4,rubber_20,1,75841208.34355868,114868423.22420123,75916299.50847663,114868423.22420123,75992515.22548497,114868423.22420123,76069373.43276364,114868423.22420123,76145199.76772082,114868423.22420123
113,17.6,rubber_20,1,78693482.31853001,118689149.08230692,78772351.87120505,118689149.08230692,78851112.24151567,118689149.08230692,78930073.37764739,118689149.08230692,79008899.12928443,118689149.08230692
114,17.8,rubber_20,1,81630146.09031315,122614573.78265113,81711821.20951423,122614573.78265113,81795275.68034627,122614573.78265113,81874644.0959591,122614573.78265113,81957652.96283714,122614573.78265113
115,18.0,rubber_20,1,84655076.05501437,126646896.25072719,84741074.59595792,126646896.25072719,84823164.32625136,126646896.25072719,84908384.50077972,126646896.25072719,84993437.05121948,126646896.25072719
116,18.2,rubber_20,1,87765055.69693725,130788345.19958909,87852917.14998081,130788345.19958909,87940813.43989201,130788345.19958909,88030264.8429293,130788345.19958909,88116363.9824542,130788345.19958909
117,18.4,rubber_20,1,90965997.57915127,135041179.22281656,91057449.19446588,135041179.22281656,91147675.81922814,135041179.22281656,91237967.63618879,135041179.22281656,91331284.17792694,135041179.22281656
118,18.6,rubber_20,1,94257811.44689831,139407686.8832571,94353085.13464959,139407686.8832571,94446327.08302769,139407686.8832571,94539501.33536722,139407686.8832571,94634647.86138885,139407686.8832571
119,18.8,rubber_20,1,97645009.14175436,143890186.79753485,97744044.83910172,143890186.79753485,97841045.91431245,143890186.79753485,97935742.04136479,143890186.79753485,98035532.75740346,143890186.79753485
120,19.0,rubber_20,1,101126634.54143478,148491027.71630824,101226118.00571677,148491027.71630824,101327480.07079445,148491027.71630824,101428024.24146208,148491027.71630824,101530769.18204385,148491027.71630824
121,19.2,rubber_20,1,104705112.18462744,153212588.60026687,104808802.68820152,153212588.60026687,104914440.5565961,153212588.60026687,105018085.26811689,153212588.60026687,105125464.98591411,153212588.60026687
122,19.4,rubber_20,1,108384614.85051994,158057278.69185147,108491861.75674006,158057278.69185147,108600260.70013164,158057278.69185147,108710310.18589485,158057278.69185147,108815698.02020358,158057278.69185147
123,19.6,rubber_20,1,112163576.40109159,163027537.58269507,112274178.12298633,163027537.58269507,112386944.68113582,163027537.58269507,112497849.81086317,163027537.58269507,112611152.6781964,163027537.58269507
124,19.8,rubber_20,1,116048061.56388012,168125835.2767668,116164278.605442,168125835.2767668,116278000.30075009,168125835.2767668,116393298.74694104,168125835.2767668,116509497.4876318,168125835.2767668
125,20.0,rubber_20,1,120033747.57952213,173354672.24922222,120156051.28690827,173354672.24922222,120275094.64508083,173354672.24922222,120394035.66849482,173354672.24922222,120514554.76742236,173354672.24922222
