temperature,time,mix_type,replicate,vapor_pressure_10mm,saturation_pressure_10mm,vapor_pressure_20mm,saturation_pressure_20mm,vapor_pressure_30mm,saturation_pressure_30mm,vapor_pressure_40mm,saturation_pressure_40mm,vapor_pressure_50mm,saturation_pressure_50mm
25,0.0,rubber_30,3,775.3110159297044,2368641.355309522,1433.6061852096773,2368641.355309522,0.0,2368641.355309522,564.4315528238573,2368641.355309522,0.0,2368641.355309522
26,0.2,rubber_30,3,2179.747784503954,2513698.9344580737,2504.2590041839367,2513698.9344580737,3098.12953171813,2513698.9344580737,6003.334929405533,2513698.9344580737,4292.686748245614,2513698.9344580737
27,0.4,rubber_30,3,10581.423574355054,2666422.5312688407,9181.67471705208,2666422.5312688407,9332.851543056338,2666422.5312688407,8364.32375396133,2666422.5312688407,8718.637302955947,2666422.5312688407
28,0.6,rubber_30,3,16276.053652908031,2827149.0841762293,15814.573567397616,2827149.0841762293,15524.996821377574,2827149.0841762293,16839.35577691112,2827149.0841762293,14243.821300888027,2827149.0841762293
29,0.8,rubber_30,3,23867.651448730743,2996227.0619178903,22821.558925997353,2996227.0619178903,22868.800317348858,2996227.0619178903,23226.91928408051,2996227.0619178903,23045.167915652437,2996227.0619178903
30,1.0,rubber_30,3,32275.92519531279,3174016.727118481,36162.82691733111,3174016.727118481,33144.74499112053,3174016.727118481,34676.862102456165,3174016.727118481,33476.9662429709,3174016.727118481
31,1.2,rubber_30,3,46538.18630950165,3360890.401727248,45291.26752082998,3360890.401727248,44748.216578008105,3360890.401727248,43519.58038771938,3360890.401727248,47304.93785329969,3360890.401727248
32,1.4,rubber_30,3,58640.44497161883,3557232.734215598,58984.25799220477,3557232.734215598,62163.44004454003,3557232.734215598,59865.27425533948,3557232.734215598,61013.9776046129,3557232.734215598
33,1.6,rubber_30,3,76684.58819898358,3763440.968439287,77647.63846328572,3763440.968439287,76706.3772158457,3763440.968439287,77364.041643519,3763440.968439287,77289.42037567742,3763440.968439287
34,1.8,rubber_30,3,94940.65421792226,3979925.2140683583,92974.80871224125,3979925.2140683583,96931.38300989798,3979925.2140683583,97950.98583357656,3979925.2140683583,95457.55566662045,3979925.2140683583
35,2.0,rubber_30,3,118150.52369339342,4207108.718486802,117590.53109946765,4207108.718486802,118459.49438789608,4207108.718486802,118727.77127194432,4207108.718486802,118053.72480044894,4207108.718486802
36,2.2,rubber_30,3,143178.57608549192,4445428.140062439,141887.19266589097,4445428.140062439,141965.73247326692,4445428.140062439,143328.49676455432,4445428.140062439,142095.98261508386,4445428.140062439
37,2.4,rubber_30,3,174342.1428988117,4695333.822686567,171854.88879476898,4695333.822686567,171602.10884118208,4695333.822686567,171507.5535327788,4695333.822686567,170205.79952408752,4695333.822686567
38,2.6,rubber_30,3,203341.75685176585,4957290.071481643,203682.06253488426,4957290.071481643,205198.27864992263,4957290.071481643,205750.35906067374,4957290.071481643,205421.56682971626,4957290.071481643
