temperature,time,mix_type,replicate,vapor_pressure_10mm,saturation_pressure_10mm,vapor_pressure_20mm,saturation_pressure_20mm,vapor_pressure_30mm,saturation_pressure_30mm,vapor_pressure_40mm,saturation_pressure_40mm,vapor_pressure_50mm,saturation_pressure_50mm
25,0.0,rubber_30,1,0.0,2368641.355309522,0.0,2368641.355309522,0.0,2368641.355309522,470.7693499470231,2368641.355309522,0.0,2368641.355309522
26,0.2,rubber_30,1,3546.539189711903,2513698.9344580737,4196.5431954190535,2513698.9344580737,3252.154587958191,2513698.9344580737,3474.7569713456896,2513698.9344580737,3940.385258570717,2513698.9344580737
27,0.4,rubber_30,1,7397.500753095607,2666422.5312688407,7323.823315039859,2666422.5312688407,8737.565971907865,2666422.5312688407,8427.969926031454,2666422.5312688407,9285.783815012943,2666422.5312688407
28,0.6,rubber_30,1,17028.756660528135,2827149.0841762293,15959.05738585363,2827149.0841762293,15272.637780535719,2827149.0841762293,12704.583592755582,2827149.0841762293,14810.142837021756,2827149.0841762293
29,0.8,rubber_30,1,23874.3055897402,2996227.0619178903,25847.821173889635,2996227.0619178903,25680.183837439465,2996227.0619178903,24558.04377670975,2996227.0619178903,23633.958316108274,2996227.0619178903
30,1.0,rubber_30,1,34785.65893960062,3174016.727118481,34138.5423722717,3174016.727118481,32587.526375371563,3174016.727118481,32615.35182365409,3174016.727118481,33843.7244695032,3174016.727118481
31,1.2,rubber_30,1,47535.8728194538,3360890.401727248,46296.87786496013,3360890.401727248,47958.74875139512,3360890.401727248,45573.4923355142,3360890.401727248,48295.33740191073,3360890.401727248
32,1.4,rubber_30,1,59749.82972052427,3557232.734215598,59486.305992509624,3557232.734215598,59185.28805083113,3557232.734215598,61019.27804231925,3557232.734215598,62157.65523831599,3557232.734215598
33,1.6,rubber_30,1,78369.84611948318,3763440.968439287,77272.81893731654,3763440.968439287,75252.0881759025,3763440.968439287,75276.1632016656,3763440.968439287,76986.58944741428,3763440.968439287
34,1.8,rubber_30,1,97329.72676551052,3979925.2140683583,95045.14761355946,3979925.2140683583,96592.98383483363,3979925.2140683583,96064.83698236373,3979925.2140683583,94475.6222543078,3979925.2140683583
