x_position_mm,y_position_mm,z_position_um,location,layer,temperature_C,z_gradient_C_per_um
50,50,0.0,center,anode,795.9265107152029,0.0
50,50,10.204081632653061,center,anode,796.3173732688007,-0.007673469387755102
50,50,20.408163265306122,center,anode,796.2269969635578,-0.007346938775510205
50,50,30.612244897959183,center,anode,796.5382934977813,-0.007020408163265306
50,50,40.816326530612244,center,anode,796.5907022781049,-0.006693877551020408
50,50,51.0204081632653,center,anode,796.8792562460094,-0.00636734693877551
50,50,61.224489795918366,center,anode,797.1332874252855,-0.006040816326530612
50,50,71.42857142857143,center,anode,797.0376941531985,-0.005714285714285714
50,50,81.63265306122449,center,anode,797.5599627084216,-0.005387755102040817
50,50,91.83673469387755,center,anode,797.4032266873467,-0.005061224489795919
50,50,102.0408163265306,center,anode,797.7266631987189,-0.0047346938775510205
50,50,112.24489795918367,center,anode,797.6060514327554,-0.004408163265306122
50,50,122.44897959183673,center,anode,798.243346284767,-0.004081632653061225
50,50,132.6530612244898,center,anode,798.2115665446228,-0.003755102040816327
50,50,142.85714285714286,center,anode,798.6108854124421,-0.003428571428571429
50,50,153.0612244897959,center,anode,798.2926696666743,-0.0031020408163265315
50,50,163.26530612244898,center,anode,798.4422074357426,-0.0027755102040816332
50,50,173.46938775510205,center,anode,798.7396061006436,-0.0024489795918367346
50,50,183.6734693877551,center,anode,798.9048245999126,-0.002122448979591837
50,50,193.87755102040816,center,anode,798.9105804482923,-0.001795918367346939
50,50,204.0816326530612,center,anode,799.1766464086318,-0.0014693877551020416
50,50,214.28571428571428,center,anode,798.9211821412094,-0.0011428571428571432
50,50,224.48979591836735,center,anode,799.6186828846902,-0.0008163265306122449
50,50,234.6938775510204,center,anode,799.6735497016316,-0.0004897959183673475
50,50,244.89795918367346,center,anode,799.8431606539718,-0.00016326530612244917
50,50,255.10204081632654,center,anode,800.2682110036345,0.00016326530612244917
50,50,265.3061224489796,center,anode,800.2001362911831,0.0004897959183673457
50,50,275.51020408163265,center,anode,799.9864534063081,0.0008163265306122441
50,50,285.7142857142857,center,anode,801.0426245882483,0.0011428571428571423
50,50,295.9183673469388,center,anode,800.9475665842201,0.0014693877551020407
50,50,306.1224489795918,center,electrolyte,801.599719671264,0.0017959183673469372
50,50,316.3265306122449,center,electrolyte,802.818104285945,0.0021224489795918355
50,50,326.53061224489795,center,electrolyte,804.2311927736388,0.0024489795918367337
50,50,336.734693877551,center,electrolyte,805.1923572040528,0.0027755102040816324
50,50,346.9387755102041,center,electrolyte,805.8530847475278,0.0031020408163265306
50,50,357.1428571428571,center,electrolyte,806.7331336075604,0.003428571428571427
50,50,367.3469387755102,center,electrolyte,807.0869662984117,0.0037551020408163253
50,50,377.55102040816325,center,electrolyte,807.1049772662428,0.004081632653061224
50,50,387.7551020408163,center,electrolyte,807.0457053042757,0.004408163265306122
50,50,397.9591836734694,center,electrolyte,806.5387466029681,0.0047346938775510205
50,50,408.1632653061224,center,electrolyte,806.6212792706687,0.005061224489795917
50,50,418.3673469387755,center,electrolyte,806.0749482493893,0.005387755102040815
50,50,428.57142857142856,center,electrolyte,805.2409667387211,0.005714285714285713
50,50,438.7755102040816,center,electrolyte,804.3753083396022,0.006040816326530612
50,50,448.9795918367347,center,electrolyte,803.6105921169653,0.00636734693877551
50,50,459.18367346938777,center,cathode,803.0907876603028,0.006693877551020408
50,50,469.3877551020408,center,cathode,803.4484060213921,0.007020408163265305
50,50,479.59183673469386,center,cathode,803.5771800089454,0.007346938775510204
50,50,489.7959183673469,center,cathode,804.0230484282666,0.007673469387755102
50,50,500.0,center,cathode,803.9590452292376,0.008
10,10,0.0,corner,anode,780.209803172688,0.0
10,10,10.204081632653061,corner,anode,780.2007845512591,-0.007673469387755102
10,10,20.408163265306122,corner,anode,780.6162061087614,-0.007346938775510205
10,10,30.612244897959183,corner,anode,780.6715536688245,-0.007020408163265306
10,10,40.816326530612244,corner,anode,780.7102391685345,-0.006693877551020408
