time_min,x_position_mm,y_position_mm,temperature_C,current_density_A_per_cm2,event_phase
0.0,0.0,0.0,785.0679458433405,0.3,pre-transition
0.0,0.0,5.0,785.1913288844626,0.3,pre-transition
0.0,0.0,10.0,784.9097851154396,0.3,pre-transition
0.0,0.0,15.0,785.0262505410655,0.3,pre-transition
0.0,0.0,20.0,784.9532524898381,0.3,pre-transition
0.0,0.0,25.0,785.0656775187958,0.3,pre-transition
0.0,0.0,30.0,785.1646854602769,0.3,pre-transition
0.0,0.0,35.0,785.0648090368663,0.3,pre-transition
0.0,0.0,40.0,784.9933384473827,0.3,pre-transition
0.0,0.0,45.0,785.2099202277235,0.3,pre-transition
0.0,0.0,50.0,785.2487251526503,0.3,pre-transition
0.0,0.0,55.0,785.2994827444883,0.3,pre-transition
0.0,0.0,60.0,785.26972502397,0.3,pre-transition
0.0,0.0,65.0,784.8968789287459,0.3,pre-transition
0.0,0.0,70.0,784.9844580339696,0.3,pre-transition
0.0,0.0,75.0,784.9434889082812,0.3,pre-transition
0.0,0.0,80.0,784.9438927804237,0.3,pre-transition
0.0,0.0,85.0,785.2728747191076,0.3,pre-transition
0.0,0.0,90.0,784.9496571911185,0.3,pre-transition
0.0,0.0,95.0,785.0765364482381,0.3,pre-transition
0.0,0.0,100.0,785.0941802247478,0.3,pre-transition
0.0,5.0,0.0,785.8795830832524,0.3,pre-transition
0.0,5.0,5.0,795.8277778888202,0.3,pre-transition
0.0,5.0,10.0,795.6043484851521,0.3,pre-transition
0.0,5.0,15.0,795.8371684388749,0.3,pre-transition
0.0,5.0,20.0,795.5532305708788,0.3,pre-transition
0.0,5.0,25.0,795.8353053698077,0.3,pre-transition
0.0,5.0,30.0,795.7814048251942,0.3,pre-transition
0.0,5.0,35.0,795.7182978776535,0.3,pre-transition
0.0,5.0,40.0,795.9322080268003,0.3,pre-transition
0.0,5.0,45.0,796.0493191973592,0.3,pre-transition
0.0,5.0,50.0,796.1553945350418,0.3,pre-transition
0.0,5.0,55.0,795.8690660908894,0.3,pre-transition
0.0,5.0,60.0,795.9705025057148,0.3,pre-transition
0.0,5.0,65.0,795.6455532202365,0.3,pre-transition
0.0,5.0,70.0,795.9045678290589,0.3,pre-transition
0.0,5.0,75.0,795.7191032475296,0.3,pre-transition
0.0,5.0,80.0,795.8499684818842,0.3,pre-transition
0.0,5.0,85.0,795.8613380383342,0.3,pre-transition
0.0,5.0,90.0,795.9482949051069,0.3,pre-transition
0.0,5.0,95.0,795.7823340030698,0.3,pre-transition
0.0,5.0,100.0,785.9305833637219,0.3,pre-transition
0.0,10.0,0.0,786.6572409047677,0.3,pre-transition
0.0,10.0,5.0,796.4520930135672,0.3,pre-transition
0.0,10.0,10.0,796.6051895418474,0.3,pre-transition
0.0,10.0,15.0,796.5513814542032,0.3,pre-transition
0.0,10.0,20.0,796.3936697407319,0.3,pre-transition
0.0,10.0,25.0,796.2023175475929,0.3,pre-transition
0.0,10.0,30.0,796.7278768758646,0.3,pre-transition
0.0,10.0,35.0,797.0206037859491,0.3,pre-transition
0.0,10.0,40.0,796.680301738861,0.3,pre-transition
0.0,10.0,45.0,796.6580784052863,0.3,pre-transition
0.0,10.0,50.0,796.8887163686834,0.3,pre-transition
0.0,10.0,55.0,797.0719032159441,0.3,pre-transition
0.0,10.0,60.0,796.8537807953958,0.3,pre-transition
0.0,10.0,65.0,796.7682005403187,0.3,pre-transition
0.0,10.0,70.0,796.4743727848519,0.3,pre-transition
0.0,10.0,75.0,796.5393169260778,0.3,pre-transition
0.0,10.0,80.0,796.3668986966796,0.3,pre-transition
0.0,10.0,85.0,796.6879324681333,0.3,pre-transition
0.0,10.0,90.0,796.6955455529268,0.3,pre-transition
