Sample_ID,Location,Depth_m,Gravel_percent,Coarse_Sand_percent,Medium_Sand_percent,Fine_Sand_percent,Silt_percent,Clay_percent,D5_mm,D10_mm,D15_mm,D30_mm,D50_mm,D60_mm,D85_mm,D95_mm,Cu,Cc,USCS_Classification,Soil_Description
GSD001,Heihe_Basin,2.5,2.5,18.5,52.3,21.5,3.8,1.4,0.08,0.15,0.20,0.28,0.42,0.52,0.75,0.92,3.47,1.03,SW,Well-graded sand
GSD002,Shanghai_Coast,4.5,0.8,8.2,32.5,42.8,12.1,3.6,0.04,0.08,0.12,0.18,0.30,0.42,0.65,0.85,5.25,0.97,SM,Silty sand poorly graded
GSD003,Beijing_Suburban,3.0,3.2,22.8,48.5,19.3,4.8,1.4,0.09,0.16,0.22,0.30,0.45,0.55,0.82,0.98,3.44,1.02,SW,Well-graded sand
GSD004,Tianjin_Harbor,5.0,1.2,12.5,38.2,33.6,10.8,3.7,0.05,0.10,0.14,0.22,0.35,0.45,0.68,0.88,4.50,1.07,SM,Silty sand
GSD005,Ningxia_Desert,1.5,5.8,28.5,55.2,8.0,2.0,0.5,0.12,0.20,0.26,0.35,0.52,0.62,0.88,1.05,3.10,1.01,SP-SW,Coarse to medium sand
GSD006,Yangtze_Delta,3.8,0.5,5.8,28.5,52.6,9.8,2.8,0.03,0.07,0.10,0.17,0.29,0.40,0.62,0.80,5.71,0.91,SP-SM,Fine sand with silt
GSD007,Inner_Mongolia,2.2,4.5,25.8,52.8,13.7,2.5,0.7,0.10,0.17,0.23,0.31,0.47,0.57,0.85,1.02,3.35,1.02,SW,Well-graded medium sand
GSD008,Pearl_River_Delta,4.8,1.0,10.5,35.8,37.4,11.5,3.8,0.05,0.09,0.13,0.21,0.34,0.44,0.67,0.87,4.89,1.03,SM,Silty sand
GSD009,Gansu_Corridor,3.5,3.8,20.5,50.8,19.0,4.5,1.4,0.09,0.15,0.21,0.29,0.44,0.54,0.78,0.95,3.60,1.04,SW,Well-graded sand
GSD010,Qinghai_Basin,5.5,1.5,13.8,42.6,30.3,9.2,2.6,0.06,0.12,0.16,0.24,0.37,0.47,0.70,0.90,3.92,1.03,SW-SM,Sand with silt
GSD011,Xinjiang_Tarim,1.8,7.2,32.5,54.0,4.0,1.8,0.5,0.14,0.22,0.28,0.38,0.55,0.65,0.92,1.10,2.95,1.02,SP-SW,Coarse sand
