Sample_ID,Location,Depth_m,Sand_Content_percent,Silt_Content_percent,Clay_Content_percent,D10_mm,D30_mm,D50_mm,D60_mm,Uniformity_Coefficient,Curvature_Coefficient,Relative_Density_percent,Dry_Unit_Weight_kN_m3,Specific_Gravity,Friction_Angle_degrees,Cohesion_kPa,Permeability_m_s,Porosity_percent,Void_Ratio,SPT_N_Value,Remarks
SS001,Heihe_River_Basin_Site_A,2.5,92.3,5.2,2.5,0.15,0.28,0.42,0.52,3.47,1.03,68.5,16.8,2.65,34.2,0.5,4.2e-4,38.2,0.62,18,Well-graded medium sand
SS002,Heihe_River_Basin_Site_A,5.0,88.7,7.8,3.5,0.12,0.25,0.38,0.48,4.00,1.09,62.3,16.2,2.66,33.5,0.8,3.8e-4,40.1,0.67,15,Medium dense sand with silt
SS003,Heihe_River_Basin_Site_B,3.2,95.1,3.4,1.5,0.18,0.32,0.48,0.58,3.22,1.01,75.2,17.4,2.65,36.8,0.2,5.1e-4,36.5,0.58,24,Dense well-graded sand
SS004,Yangtze_Delta_Region,4.0,85.2,10.5,4.3,0.08,0.18,0.32,0.42,5.25,0.97,55.8,15.6,2.67,31.8,1.2,2.9e-4,42.3,0.73,12,Loose silty sand
SS005,Yangtze_Delta_Region,7.5,89.5,7.2,3.3,0.14,0.26,0.40,0.50,3.57,1.06,64.1,16.5,2.66,33.9,0.7,3.5e-4,39.5,0.65,16,Medium dense sand
SS006,Beijing_Suburban_Area,2.8,93.8,4.5,1.7,0.16,0.30,0.45,0.55,3.44,1.02,71.3,17.0,2.65,35.5,0.3,4.5e-4,37.4,0.60,21,Dense fine to medium sand
SS007,Beijing_Suburban_Area,6.0,87.3,9.2,3.5,0.10,0.22,0.35,0.45,4.50,1.07,58.9,15.9,2.66,32.5,0.9,3.2e-4,41.2,0.70,14,Medium dense silty sand
SS008,Shanghai_Coastal_Zone,3.5,82.5,12.8,4.7,0.07,0.15,0.28,0.38,5.43,0.85,48.2,15.0,2.68,29.5,1.8,2.3e-4,44.8,0.81,9,Loose fine sand with silt
SS009,Shanghai_Coastal_Zone,8.0,86.8,9.5,3.7,0.11,0.23,0.36,0.46,4.18,1.05,60.5,16.1,2.67,32.9,1.0,3.1e-4,40.8,0.69,15,Medium dense silty sand
SS010,Ningxia_Desert_Region,1.5,96.5,2.8,0.7,0.20,0.35,0.52,0.62,3.10,1.01,78.8,17.8,2.65,37.5,0.1,5.8e-4,35.2,0.54,28,Very dense coarse sand
SS011,Ningxia_Desert_Region,4.5,94.2,4.5,1.3,0.17,0.31,0.47,0.57,3.35,1.02,73.6,17.2,2.65,36.2,0.2,4.9e-4,36.8,0.59,23,Dense medium sand
SS012,Inner_Mongolia_Plateau,2.0,91.5,6.3,2.2,0.13,0.27,0.41,0.51,3.92,1.09,66.8,16.7,2.66,34.5,0.6,4.0e-4,38.8,0.63,17,Medium dense sand
SS013,Gansu_Corridor,3.8,93.1,5.1,1.8,0.15,0.29,0.44,0.54,3.60,1.04,70.2,16.9,2.65,35.2,0.4,4.3e-4,37.8,0.61,20,Dense sand
SS014,Qinghai_Basin,5.5,88.9,8.2,2.9,0.12,0.24,0.37,0.47,3.92,1.03,61.7,16.3,2.66,33.2,0.8,3.6e-4,40.3,0.67,15,Medium dense silty sand
SS015,Xinjiang_Tarim_Basin,1.8,97.2,2.3,0.5,0.22,0.38,0.55,0.65,2.95,1.02,82.1,18.1,2.65,38.2,0.0,6.2e-4,34.1,0.52,32,Very dense coarse sand
SS016,Tianjin_Harbor_Area,4.2,84.8,11.2,4.0,0.09,0.20,0.33,0.43,4.78,1.05,53.5,15.5,2.67,31.2,1.1,2.7e-4,42.9,0.75,11,Loose to medium dense silty sand
SS017,Jiangsu_Inland,3.0,90.2,7.5,2.3,0.14,0.27,0.41,0.51,3.64,1.05,65.3,16.4,2.66,33.7,0.7,3.7e-4,39.8,0.66,16,Medium dense sand
SS018,Zhejiang_Coast,6.5,83.7,12.1,4.2,0.08,0.17,0.30,0.40,5.00,0.90,50.8,15.2,2.68,30.3,1.5,2.5e-4,44.2,0.79,10,Loose fine sand with silt
SS019,Anhui_Valley,2.3,92.8,5.5,1.7,0.16,0.30,0.45,0.55,3.44,1.01,69.5,16.8,2.65,34.8,0.5,4.4e-4,38.0,0.61,19,Dense medium sand
SS020,Henan_Plain,5.2,87.6,9.1,3.3,0.11,0.23,0.36,0.46,4.18,1.05,59.8,16.0,2.66,32.7,0.9,3.3e-4,41.0,0.69,14,Medium dense silty sand
SS021,Shandong_Peninsula,3.7,91.8,6.2,2.0,0.15,0.28,0.43,0.53,3.53,1.04,67.9,16.7,2.65,34.3,0.6,4.1e-4,38.5,0.63,18,Medium dense sand
SS022,Liaoning_Coast,4.8,85.5,10.8,3.7,0.09,0.21,0.34,0.44,4.89,1.11,56.2,15.7,2.67,31.6,1.1,3.0e-4,42.5,0.74,13,Medium dense silty sand
SS023,Jilin_Basin,2.5,93.5,5.0,1.5,0.17,0.31,0.46,0.56,3.29,1.02,72.4,17.1,2.65,35.8,0.3,4.7e-4,37.2,0.59,22,Dense sand
SS024,Heilongjiang_Plain,6.2,89.1,8.5,2.4,0.13,0.25,0.39,0.49,3.77,1.04,62.9,16.4,2.66,33.5,0.7,3.7e-4,39.9,0.66,16,Medium dense sand
SS025,Guangdong_Delta,4.5,86.2,10.3,3.5,0.10,0.22,0.35,0.45,4.50,1.07,57.6,15.8,2.67,32.1,1.0,3.1e-4,41.8,0.72,13,Medium dense silty sand
SS026,Fujian_Coast,3.2,90.5,7.2,2.3,0.14,0.27,0.42,0.52,3.71,1.08,66.1,16.5,2.66,34.0,0.7,3.8e-4,39.3,0.65,17,Medium dense sand
SS027,Hainan_Island,5.8,88.3,9.0,2.7,0.12,0.24,0.38,0.48,4.00,1.00,60.8,16.2,2.66,33.0,0.8,3.4e-4,40.5,0.68,15,Medium dense sand
SS028,Yunnan_Valley,2.8,94.5,4.2,1.3,0.18,0.32,0.48,0.58,3.22,1.01,74.5,17.3,2.65,36.5,0.2,5.0e-4,36.7,0.58,24,Dense sand
SS029,Guizhou_Basin,4.0,87.9,9.5,2.6,0.11,0.23,0.37,0.47,4.27,1.06,59.2,16.0,2.66,32.5,0.9,3.2e-4,41.1,0.70,14,Medium dense silty sand
SS030,Sichuan_Plain,6.8,84.2,12.5,3.3,0.08,0.18,0.31,0.41,5.13,0.99,52.3,15.3,2.67,30.8,1.3,2.6e-4,43.5,0.77,11,Loose to medium dense silty sand
SS031,Shaanxi_Loess_Region,3.5,89.7,8.1,2.2,0.13,0.26,0.40,0.50,3.85,1.08,63.4,16.3,2.66,33.5,0.8,3.6e-4,40.0,0.67,16,Medium dense sand
SS032,Shanxi_Plateau,5.0,92.1,6.3,1.6,0.16,0.29,0.44,0.54,3.38,1.01,68.7,16.7,2.65,34.6,0.6,4.2e-4,38.4,0.63,18,Medium dense sand
SS033,Hubei_Valley,2.7,91.3,6.8,1.9,0.15,0.28,0.43,0.53,3.53,1.04,67.2,16.6,2.65,34.2,0.6,4.0e-4,38.7,0.63,17,Medium dense sand
SS034,Hunan_Basin,4.3,86.8,10.1,3.1,0.10,0.21,0.35,0.45,4.50,0.98,58.1,15.9,2.67,32.3,1.0,3.1e-4,41.6,0.71,14,Medium dense silty sand
SS035,Jiangxi_Valley,3.8,90.8,7.0,2.2,0.14,0.27,0.42,0.52,3.71,1.07,66.8,16.6,2.66,34.1,0.7,3.9e-4,39.1,0.64,17,Medium dense sand
SS036,Guangxi_Basin,5.5,85.9,11.0,3.1,0.09,0.20,0.34,0.44,4.89,1.03,55.7,15.7,2.67,31.7,1.1,2.9e-4,42.6,0.74,12,Medium dense silty sand
