FirmID,Year,Revenue_USD_millions,Assets_Verified_USD_millions,Export_Value_USD_millions,ROI_Verified_percent,ROA_Verified_percent
FIRM_001,2024,89.74,27.27,8.14,5.26,5.49
FIRM_002,2024,88.39,26.92,20.87,14.62,10.41
FIRM_003,2024,9.92,1.97,1.84,3.17,4.91
FIRM_004,2024,68.78,27.0,7.91,10.92,8.31
FIRM_005,2024,7.04,2.91,0.81,-0.74,-0.35
FIRM_006,2024,7.43,0.4,0.32,5.03,3.16
FIRM_007,2024,8.66,3.31,0.32,8.62,0.73
FIRM_008,2024,17.35,28.09,1.58,7.0,2.11
FIRM_009,2024,4.47,2.29,0.75,13.21,7.16
FIRM_010,2024,66.02,9.12,0.73,2.12,5.37
FIRM_011,2024,11.96,2.0,1.89,2.52,2.91
FIRM_012,2024,23.6,31.03,4.64,10.87,6.93
FIRM_013,2024,35.1,41.05,6.94,1.7,4.71
FIRM_014,2024,8.23,0.61,0.55,4.36,3.88
FIRM_015,2024,63.66,27.18,3.56,2.31,6.17
FIRM_016,2024,6.2,0.4,0.43,9.05,-0.72
FIRM_017,2024,8.56,1.59,1.93,3.51,0.8
FIRM_018,2024,5.29,2.73,0.0,7.36,7.05
FIRM_019,2024,5.78,3.43,0.15,11.3,3.56
FIRM_020,2024,6.14,5.24,0.89,4.29,6.38
FIRM_021,2024,39.22,29.44,1.26,8.47,5.38
FIRM_022,2024,62.08,17.26,6.15,2.64,7.22
FIRM_023,2024,22.07,20.45,0.88,4.71,1.32
FIRM_024,2024,31.68,29.13,4.09,12.65,7.76
FIRM_025,2024,2.05,17.64,0.14,6.01,4.66
FIRM_026,2024,5.89,23.31,0.99,7.45,3.01
FIRM_027,2024,1.85,6.16,0.3,14.38,8.47
FIRM_028,2024,8.59,4.59,0.57,0.98,2.39
FIRM_029,2024,47.46,17.62,3.55,5.58,2.14
FIRM_030,2024,5.49,1.51,0.27,3.34,0.83
FIRM_031,2024,7.5,5.33,0.0,4.14,4.91
FIRM_032,2024,7.22,2.6,1.46,13.41,6.46
FIRM_033,2024,8.38,1.58,0.42,6.82,3.02
FIRM_034,2024,50.71,29.06,11.64,18.76,7.7
FIRM_035,2024,46.24,27.32,7.24,12.84,3.33
FIRM_036,2024,35.16,23.15,4.48,1.18,1.92
FIRM_037,2024,8.28,2.72,0.47,6.97,5.77
FIRM_038,2024,5.38,5.6,0.35,4.22,2.02
FIRM_039,2024,28.6,26.7,2.06,15.33,7.74
FIRM_040,2024,9.0,2.52,0.69,9.17,5.55
FIRM_041,2024,6.92,0.4,1.06,1.77,-1.9
FIRM_042,2024,11.11,3.4,2.46,9.41,5.54
FIRM_043,2024,9.9,0.4,0.0,6.99,7.96
FIRM_044,2024,6.37,1.52,0.84,13.66,7.89
FIRM_045,2024,63.19,25.03,5.67,6.93,3.65
FIRM_046,2024,0.8,4.5,0.08,6.54,3.26
FIRM_047,2024,37.43,43.78,0.0,1.77,5.91
FIRM_048,2024,2.42,0.4,0.0,5.11,5.59
FIRM_049,2024,81.0,42.86,9.72,3.9,2.77
FIRM_050,2024,7.15,2.93,0.06,3.45,2.66
FIRM_051,2024,8.8,3.69,1.31,15.65,10.3
FIRM_052,2024,10.93,0.4,0.79,2.89,3.66
FIRM_053,2024,30.56,26.72,3.98,9.07,1.4
