condition_id,temperature_c,pressure_atm,fuel_utilization,air_utilization,current_density_acm2,voltage_v,power_density_wcm2,efficiency,asr_ohm_cm2,eta_ohmic_v,eta_activation_v,eta_concentration_v,oxygen_chemical_potential_gradient,e_nernst_v
0,745.7664190214447,1.14864673853154,0.7089386131468908,0.3403207124999576,0.9516780092875488,0.6374003520280287,0.6065998981372172,0.5955413983705291,0.15327680491630938,0.14587016457270927,0.2253056566053827,0.06171105413362521,0.8172565540470335,1.070287227339746
1,686.2246648268365,0.870924501409058,0.8588022210995667,0.22855218378494382,0.1039365840547084,0.9625811408284924,0.10004739565319772,0.8872738139205699,0.19774612008638204,0.02055305623185071,0.003861075846400889,0.09787968421068094,0.3076780553392299,1.084874957117425
2,718.4679549263427,1.039051597278224,0.8397797897879904,0.1766777234186519,0.1994872279750618,0.882527767871939,0.17605301802379192,0.8194502938411865,0.1695811601274764,0.03382927555062534,0.06905800281173191,0.0915603048087498,0.46993788012382565,1.076975351043046
3,880.5231633930829,1.100459347129033,0.7769338802334236,0.3038373579991856,0.4859689251759747,0.7421776942717703,0.3606752963748353,0.7155093548349003,0.12754381068842457,0.06198232859310168,0.15809744959010252,0.07501435251372006,0.5862343488769712,1.0372718249686945
4,839.6139368272816,0.9487211965098143,0.6732283717477807,0.2958026842585937,0.47770506294154147,0.7656340196684939,0.36574724755592325,0.7310588923932494,0.14518067959692305,0.06935354568474389,0.15638233329313997,0.055924686830938236,0.5535426673094713,1.047294585477316
5,895.3442760815487,0.9397940729232404,0.8765182261593198,0.33659250971341587,0.31766765235827155,0.7704472731984234,0.24474617654277503,0.7453724574776827,0.13544577154635265,0.04302674026898462,0.115583553190485,0.10458308570212738,0.5466567471758523,1.0336406523600203
6,849.5552953970033,0.973229802057826,0.8752574181691044,0.24002485452704775,0.7698733456036295,0.6278511641062561,0.4833658762516168,0.6008956161281503,0.14135708907551253,0.1088270550913551,0.2041055829101242,0.10407515051999888,0.7963967939394733,1.044858952627734
7,766.7418522909495,0.8911203022851425,0.6598050386834059,0.2350862388512691,0.7799451913127934,0.6749928709880874,0.5264574438975754,0.6337079119299379,0.1677530803270515,0.13083820832899257,0.20540534636789656,0.05391182050374073,0.7234905824701595,1.0651482461887172
8,801.2678712951918,1.0754517159602173,0.6846979052195827,0.2462870691915211,0.13995573847239431,0.9451590228711716,0.13228042901978146,0.8944530420517651,0.1443566527623568,0.020203541940758647,0.03361560328654622,0.057711203434201414,0.24661235971414647,1.056689371532678
9,854.3831039895301,1.1959568648959498,0.7220637187874013,0.15219273062630867,0.25281337559585265,0.8548855814607843,0.21612650959732416,0.8191100180290181,0.1266715011685419,0.03202424980221307,0.09274813846786582,0.06401816979170205,0.4033789390059597,1.043676139522565
