building_id,wall_area_m2,roof_area_m2,window_area_m2,embodied_carbon_total_kgco2e
BLD-00001,2836.9,143.3,510.6,188287.6
BLD-00002,2436.2,158.2,438.5,160064.4
BLD-00003,3120.2,1418.3,561.6,211537.2
BLD-00004,685.2,103.8,123.3,45338.8
BLD-00005,2986.3,123.4,537.5,198047.2
BLD-00006,10681.2,404.6,1922.6,1101627.4
BLD-00007,7616.5,1731.0,1371.0,802095.4
BLD-00008,8315.4,420.0,1496.8,545694.5
BLD-00009,11369.2,2583.9,2046.5,1197294.3
BLD-00010,5462.9,248.3,983.3,72148.0
BLD-00011,7407.8,1683.6,1333.4,493175.6
BLD-00012,3663.2,333.0,659.4,243987.4
BLD-00013,11875.2,490.7,2137.5,1237855.0
BLD-00014,3846.0,83.2,692.3,396327.5
BLD-00015,11589.3,439.0,2086.1,1195278.3
BLD-00016,6341.1,262.0,1141.4,83594.3
BLD-00017,944.0,42.9,169.9,12467.2
BLD-00018,5260.9,478.3,947.0,70857.8
BLD-00019,2929.0,443.8,527.2,40472.6
BLD-00020,3437.1,111.6,618.7,43409.4
BLD-00021,5955.0,300.8,1071.9,614587.8
BLD-00022,10981.5,1247.9,1976.7,724385.4
BLD-00023,7162.4,651.1,1289.2,96468.2
BLD-00024,4010.3,227.9,721.9,414018.6
BLD-00025,10709.5,695.4,1927.7,1117807.9
