building_id,material,component,mass_kg,embodied_carbon_kgco2e,epd_id
BLD-00001,concrete,wall,1375307.8,165036.9,EPD-2009
BLD-00001,mineral_wool,envelope_insulation,14442.2,14442.2,EPD-9175
BLD-00001,glass,window_glazing,7659.5,8808.4,EPD-3693
BLD-00002,concrete,wall,1172793.4,140735.2,EPD-2009
BLD-00002,xps_insulation,envelope_insulation,3676.5,11764.7,EPD-6227
BLD-00002,glass,window_glazing,6577.8,7564.4,EPD-3693
BLD-00003,concrete,wall,1502050.8,180246.1,EPD-2009
BLD-00003,xps_insulation,envelope_insulation,6750.9,21602.9,EPD-6227
BLD-00003,glass,window_glazing,8424.5,9688.1,EPD-3693
BLD-00004,concrete,wall,329861.1,39583.3,EPD-2009
BLD-00004,xps_insulation,envelope_insulation,1133.7,3627.9,EPD-6227
BLD-00004,glass,window_glazing,1850.1,2127.6,EPD-3693
BLD-00005,concrete,wall,1447748.5,173729.8,EPD-2009
BLD-00005,mineral_wool,envelope_insulation,15044.9,15044.9,EPD-9175
BLD-00005,glass,window_glazing,8063.0,9272.4,EPD-3693
BLD-00006,brick,wall,4629250.3,1018435.1,EPD-3749
BLD-00006,xps_insulation,envelope_insulation,15633.5,50027.0,EPD-6227
BLD-00006,glass,window_glazing,28839.4,33165.3,EPD-3693
BLD-00007,brick,wall,3326891.6,731916.1,EPD-3749
BLD-00007,mineral_wool,envelope_insulation,46530.0,46530.0,EPD-9175
BLD-00007,glass,window_glazing,20564.6,23649.3,EPD-3693
BLD-00008,concrete,wall,4003036.4,480364.4,EPD-2009
BLD-00008,xps_insulation,envelope_insulation,12347.1,39510.8,EPD-6227
BLD-00008,glass,window_glazing,22451.6,25819.3,EPD-3693
BLD-00009,brick,wall,4966077.9,1092537.1,EPD-3749
BLD-00009,mineral_wool,envelope_insulation,69455.7,69455.7,EPD-9175
BLD-00009,glass,window_glazing,30696.9,35301.4,EPD-3693
BLD-00010,timber,wall,550663.3,27533.2,EPD-6653
BLD-00010,mineral_wool,envelope_insulation,27652.4,27652.4,EPD-9175
BLD-00010,glass,window_glazing,14749.9,16962.4,EPD-3693
BLD-00011,concrete,wall,3566134.2,427936.1,EPD-2009
BLD-00011,xps_insulation,envelope_insulation,13199.4,42238.2,EPD-6227
BLD-00011,glass,window_glazing,20001.2,23001.3,EPD-3693
BLD-00012,concrete,wall,1775929.1,213111.5,EPD-2009
BLD-00012,mineral_wool,envelope_insulation,19501.7,19501.7,EPD-9175
BLD-00012,glass,window_glazing,9890.7,11374.3,EPD-3693
BLD-00013,brick,wall,5187069.9,1141155.4,EPD-3749
BLD-00013,mineral_wool,envelope_insulation,59827.3,59827.3,EPD-9175
BLD-00013,glass,window_glazing,32062.9,36872.4,EPD-3693
BLD-00014,brick,wall,1666854.7,366708.0,EPD-3749
BLD-00014,xps_insulation,envelope_insulation,5524.3,17677.6,EPD-6227
BLD-00014,glass,window_glazing,10384.2,11941.8,EPD-3693
BLD-00015,brick,wall,5022789.6,1105013.7,EPD-3749
BLD-00015,xps_insulation,envelope_insulation,16962.5,54279.9,EPD-6227
BLD-00015,glass,window_glazing,31291.0,35984.7,EPD-3693
BLD-00016,timber,wall,639178.8,31958.9,EPD-6653
BLD-00016,mineral_wool,envelope_insulation,31946.4,31946.4,EPD-9175
BLD-00016,glass,window_glazing,17120.9,19689.0,EPD-3693
BLD-00017,timber,wall,95155.0,4757.7,EPD-6653
BLD-00017,mineral_wool,envelope_insulation,4778.4,4778.4,EPD-9175
BLD-00017,glass,window_glazing,2548.8,2931.1,EPD-3693
BLD-00018,timber,wall,530303.6,26515.2,EPD-6653
BLD-00018,mineral_wool,envelope_insulation,28007.4,28007.4,EPD-9175
BLD-00018,glass,window_glazing,14204.6,16335.2,EPD-3693
BLD-00019,timber,wall,295246.8,14762.3,EPD-6653
BLD-00019,mineral_wool,envelope_insulation,16615.6,16615.6,EPD-9175
BLD-00019,glass,window_glazing,7908.4,9094.7,EPD-3693
BLD-00020,timber,wall,334776.1,16738.8,EPD-6653
BLD-00020,xps_insulation,envelope_insulation,4999.5,15998.3,EPD-6227
BLD-00020,glass,window_glazing,9280.2,10672.3,EPD-3693
BLD-00021,brick,wall,2580917.8,567801.9,EPD-3749
BLD-00021,xps_insulation,envelope_insulation,8842.3,28295.5,EPD-6227
BLD-00021,glass,window_glazing,16078.6,18490.4,EPD-3693
BLD-00022,concrete,wall,5286514.3,634381.7,EPD-2009
BLD-00022,xps_insulation,envelope_insulation,17470.6,55906.0,EPD-6227
BLD-00022,glass,window_glazing,29650.2,34097.7,EPD-3693
BLD-00023,timber,wall,721972.9,36098.6,EPD-6653
BLD-00023,mineral_wool,envelope_insulation,38130.2,38130.2,EPD-9175
BLD-00023,glass,window_glazing,19338.6,22239.3,EPD-3693
BLD-00024,brick,wall,1738070.1,382375.4,EPD-3749
BLD-00024,xps_insulation,envelope_insulation,5997.2,19191.2,EPD-6227
BLD-00024,glass,window_glazing,10827.8,12452.0,EPD-3693
BLD-00025,brick,wall,4677924.5,1029143.4,EPD-3749
BLD-00025,mineral_wool,envelope_insulation,55411.4,55411.4,EPD-9175
BLD-00025,glass,window_glazing,28915.7,33253.1,EPD-3693
