scenario_id,building_id,measure_type,added_insulation_r_value,replacement_window_u_value,hvac_efficiency_gain_pct,predicted_savings_pct,embodied_carbon_kgco2e,capex_usd,payback_years
RET-BLD-00001,BLD-00001,envelope+windows+hvac,1.01,2.6,9.7,16.4,9245.2,140467,25.0
RET-BLD-00002,BLD-00002,envelope+windows+hvac,1.58,0.7,5.4,20.0,8007.1,121684,22.0
RET-BLD-00003,BLD-00003,envelope+windows+hvac,1.71,1.61,7.4,23.1,12589.0,192316,23.5
RET-BLD-00004,BLD-00004,envelope+windows+hvac,2.48,0.7,15.2,29.1,2366.0,36004,15.9
RET-BLD-00005,BLD-00005,envelope+windows+hvac,2.38,1.32,12.3,27.6,9679.5,147043,15.7
RET-BLD-00006,BLD-00006,envelope+windows+hvac,2.76,1.64,5.6,27.6,34550.9,524837,15.7
RET-BLD-00007,BLD-00007,envelope+windows+hvac,2.79,2.16,19.8,32.2,27407.0,417523,15.0
RET-BLD-00008,BLD-00008,envelope+windows+hvac,1.18,1.68,5.1,19.1,27099.7,411738,22.8
RET-BLD-00009,BLD-00009,envelope+windows+hvac,1.72,1.56,12.6,22.1,40910.6,623240,21.8
RET-BLD-00010,BLD-00010,envelope+windows+hvac,2.85,0.7,14.6,31.3,17750.6,269670,13.9
RET-BLD-00011,BLD-00011,envelope+windows+hvac,1.33,0.83,9.8,19.4,26656.1,406084,24.8
RET-BLD-00012,BLD-00012,envelope+windows+hvac,1.48,1.22,10.5,21.6,12222.5,185825,20.7
RET-BLD-00013,BLD-00013,envelope+windows+hvac,2.72,2.3,11.2,26.9,38491.4,584728,16.1
RET-BLD-00014,BLD-00014,envelope+windows+hvac,2.38,1.0,9.4,26.3,12320.9,187105,16.3
RET-BLD-00015,BLD-00015,envelope+windows+hvac,2.62,1.77,8.3,27.4,37488.1,569454,15.8
RET-BLD-00016,BLD-00016,envelope+windows+hvac,1.7,1.28,12.7,22.8,20553.5,312231,19.0
RET-BLD-00017,BLD-00017,envelope+windows+hvac,1.1,2.08,16.1,21.0,3067.3,46599,20.7
RET-BLD-00018,BLD-00018,envelope+windows+hvac,2.33,0.7,7.5,25.1,17553.4,266873,17.8
RET-BLD-00019,BLD-00019,envelope+windows+hvac,2.29,1.86,9.9,25.6,10113.7,153907,18.1
RET-BLD-00020,BLD-00020,envelope+windows+hvac,1.65,1.51,6.1,19.9,11082.5,168330,21.7
RET-BLD-00021,BLD-00021,envelope+windows+hvac,2.01,1.68,18.5,26.9,19407.3,294865,16.2
RET-BLD-00022,BLD-00022,envelope+windows+hvac,1.34,0.7,8.4,18.5,37119.6,564551,24.4
RET-BLD-00023,BLD-00023,envelope+windows+hvac,1.03,1.75,11.8,20.0,23897.8,363330,22.3
RET-BLD-00024,BLD-00024,envelope+windows+hvac,2.5,1.74,10.6,28.4,13118.1,199330,15.4
RET-BLD-00025,BLD-00025,envelope+windows+hvac,2.97,2.36,18.8,30.5,35198.8,534920,14.4
