run_id,U_SG_m_per_s,U_SL_m_per_s,alpha,flow_pattern,interface_height_m,wave_amplitude_m,snr_db_at_last_sensor,temperature_c,pressure_bar
run_000,3.1427994140823907,0.3357203966077796,0.9034875706386569,wavy,0.004825621468067154,0.01,18.538695655297417,28.862799789289298,1.6958488090117194
run_001,10.515198577942513,0.3672538982794914,0.95,wavy,0.0025000000000000022,0.01,19.2377389272016,15.172957390287909,1.2250400929348637
run_002,11.221225122510845,0.09638324338535684,0.95,wavy,0.0025000000000000022,0.01,18.428577137739364,22.661634756346523,1.2208809674380026
run_003,9.820241859940866,0.4772836998595248,0.95,wavy,0.0025000000000000022,0.01,18.447336622953504,17.40499172679414,2.55457758479188
run_004,11.028448803357511,0.4339876234717707,0.95,wavy,0.0025000000000000022,0.01,18.759412885247418,27.507997008093916,2.4899141568329046
run_005,10.491250794593192,0.4703448977451611,0.95,wavy,0.0025000000000000022,0.01,18.39198440045134,29.503059221596196,2.84794566519279
run_006,7.988644343780071,0.1695804164421297,0.95,wavy,0.0025000000000000022,0.01,18.93076010467006,18.790910518647273,1.080965941634796
run_007,11.060444404159762,0.08430671874421058,0.95,wavy,0.0025000000000000022,0.01,18.74713444991433,27.63100776764017,2.0943978917152313
run_008,7.167165694357162,0.19717349490311575,0.95,wavy,0.0025000000000000022,0.01,17.938018058823893,20.05535068834078,1.589594890414261
run_009,8.891839832774291,0.2551259865448536,0.95,wavy,0.0025000000000000022,0.01,18.969289073427497,28.373896085311504,2.741461356716641
run_010,9.05860335135073,0.11024593579665926,0.95,wavy,0.0025000000000000022,0.01,18.135892696740715,26.153508156659267,1.019701989200669
run_011,7.490976685140984,0.17717668644585216,0.95,wavy,0.0025000000000000022,0.01,18.462057913234474,17.77323875047333,2.252179052212156
