condition_id,temperature_C,pH2_anode,pH2O_anode,pO2_cathode,pressure_atm,current_density_A_per_cm2,voltage_V,ocv_V,overpotential_ohmic_V,overpotential_activation_anode_V,overpotential_activation_cathode_V,overpotential_concentration_V,total_overpotential_V,R_ohmic_ohm_cm2,R_ct_anode_ohm_cm2,R_ct_cathode_ohm_cm2,R_total_ohm_cm2,f_peak_anode_Hz,f_peak_cathode_Hz,delta_mu_O2_J_per_mol,anode_oxidation_risk_score,anode_ni_oxidation_flag
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.0,1.15941,1.15941,0.0,0.0,0.0,0.0,0.0,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,447464.373,0.289,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.04788,0.813661,1.15941,0.016153,0.032985,0.295009,0.001603,0.345749,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,314025.599,0.303,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.09576,0.651544,1.15941,0.032306,0.064773,0.407518,0.003269,0.507866,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,251457.824,0.317,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.14364,0.536635,1.15941,0.048459,0.094511,0.474801,0.005004,0.622775,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,207109.697,0.33,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.19152,0.443389,1.15941,0.064612,0.121799,0.522796,0.006814,0.716021,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,171122.128,0.342,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.2394,0.36324,1.15941,0.080765,0.146597,0.560103,0.008706,0.796171,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,140189.265,0.353,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.28728,0.292123,1.15941,0.096918,0.169065,0.590617,0.010688,0.867287,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,112742.281,0.363,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.33516,0.227691,1.15941,0.113071,0.189448,0.616433,0.012767,0.931719,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,87875.528,0.373,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.38304,0.2,1.15941,0.129224,0.208006,0.638803,0.014955,0.990988,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.382,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.43092,0.2,1.15941,0.145377,0.224976,0.65854,0.017264,1.046157,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.39,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.4788,0.2,1.15941,0.16153,0.240571,0.676199,0.019707,1.098007,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.397,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.52668,0.2,1.15941,0.177683,0.254971,0.692175,0.022302,1.14713,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.404,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.57456,0.2,1.15941,0.193836,0.268329,0.706762,0.025067,1.193993,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.41,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.62244,0.2,1.15941,0.209989,0.280774,0.720181,0.028028,1.238971,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.417,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.67032,0.2,1.15941,0.226141,0.292413,0.732606,0.031214,1.282375,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.422,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.7182,0.2,1.15941,0.242294,0.303339,0.744174,0.034662,1.32447,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.428,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.76608,0.2,1.15941,0.258447,0.31363,0.754995,0.03842,1.365492,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.433,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.81396,0.2,1.15941,0.2746,0.323351,0.765161,0.042547,1.40566,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.437,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.86184,0.2,1.15941,0.290753,0.332561,0.774745,0.047126,1.445186,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.442,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.90972,0.2,1.15941,0.306906,0.341309,0.783812,0.052267,1.484294,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.446,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,0.9576,0.2,1.15941,0.323059,0.349636,0.792413,0.058127,1.523236,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.45,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,1.00548,0.2,1.15941,0.339212,0.357582,0.800595,0.064941,1.56233,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.454,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,1.05336,0.2,1.15941,0.355365,0.365177,0.808396,0.073082,1.602021,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.458,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,1.10124,0.2,1.15941,0.371518,0.372451,0.815851,0.083194,1.643014,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.462,0
T700_H290_H2O10_O221,700,0.9,0.1,0.21,1.0,1.14912,0.2,1.15941,0.387671,0.379429,0.822988,0.096547,1.686636,0.337363,1.386706,19.735637,21.459707,0.114772,0.016129,77188.266,0.465,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.0,1.192129,1.192129,0.0,0.0,0.0,0.0,0.0,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,460091.917,0.289,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.04788,0.906373,1.192129,0.016153,0.032985,0.235016,0.001603,0.285756,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,349806.751,0.303,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.09576,0.748195,1.192129,0.032306,0.064773,0.343586,0.003269,0.443934,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,288759.492,0.317,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.14364,0.634109,1.192129,0.048459,0.094511,0.410046,0.005004,0.55802,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,244728.862,0.33,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.19152,0.541159,1.192129,0.064612,0.121799,0.457745,0.006814,0.650971,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,208855.49,0.342,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.2394,0.461148,1.192129,0.080765,0.146597,0.494914,0.008706,0.730981,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,177976.042,0.353,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.28728,0.390107,1.192129,0.096918,0.169065,0.525353,0.010688,0.802023,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,150558.225,0.363,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.33516,0.325721,1.192129,0.113071,0.189448,0.551122,0.012767,0.866408,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,125709.11,0.373,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.38304,0.266482,1.192129,0.129224,0.208006,0.573463,0.014955,0.925647,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,102846.317,0.382,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.43092,0.211333,1.192129,0.145377,0.224976,0.59318,0.017264,0.980796,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,81562.063,0.39,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.4788,0.2,1.192129,0.16153,0.240571,0.610824,0.019707,1.032632,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.397,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.52668,0.2,1.192129,0.177683,0.254971,0.626789,0.022302,1.081744,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.404,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.57456,0.2,1.192129,0.193836,0.268329,0.641367,0.025067,1.128599,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.41,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.62244,0.2,1.192129,0.209989,0.280774,0.65478,0.028028,1.17357,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.417,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.67032,0.2,1.192129,0.226141,0.292413,0.6672,0.031214,1.216969,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.422,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.7182,0.2,1.192129,0.242294,0.303339,0.678764,0.034662,1.25906,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.428,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.76608,0.2,1.192129,0.258447,0.31363,0.689582,0.03842,1.300079,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.433,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.81396,0.2,1.192129,0.2746,0.323351,0.699745,0.042547,1.340244,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.437,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.86184,0.2,1.192129,0.290753,0.332561,0.709327,0.047126,1.379768,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.442,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.90972,0.2,1.192129,0.306906,0.341309,0.718392,0.052267,1.418874,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.446,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,0.9576,0.2,1.192129,0.323059,0.349636,0.726991,0.058127,1.457814,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.45,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,1.00548,0.2,1.192129,0.339212,0.357582,0.735172,0.064941,1.496907,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.454,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,1.05336,0.2,1.192129,0.355365,0.365177,0.742972,0.073082,1.536596,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.458,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,1.10124,0.2,1.192129,0.371518,0.372451,0.750425,0.083194,1.577588,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.462,0
T700_H290_H2O10_O2100,700,0.9,0.1,1.0,1.0,1.14912,0.2,1.192129,0.387671,0.379429,0.757561,0.096547,1.621209,0.337363,1.386706,13.359985,15.084055,0.114772,0.023826,77188.266,0.465,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.0,1.102808,1.102808,0.0,0.0,0.0,0.0,0.0,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,425619.267,0.444,0
