mix_id,temp_c,insitu_compressive_strength_mpa,insitu_static_modulus_gpa,insitu_poisson_ratio,transient_strain_at_temp,cte_mean_1_per_c,load_ratio
M01,200,55.959791901608625,0.03628293936184826,0.2052235458671922,0.0016199905789297993,9.8e-06,0.2
M01,400,39.93840371129319,0.030652067192798883,0.1918773200183963,0.0034225179049840616,1.18e-05,0.2
M01,600,23.917043249594304,0.023720189922567327,0.17853111726824672,0.0052245833181698105,1.38e-05,0.2
M02,200,52.20133149625371,0.03667894072227484,0.19065067772245053,0.0016208467432733131,9.8e-06,0.2
M02,400,37.00204967634882,0.030880824375158468,0.17767305596057498,0.0034248829814261337,1.18e-05,0.2
M02,600,18.323975079471712,0.021731306680471935,0.1617251322211174,0.005223269319133256,1.38e-05,0.2
M03,200,39.9457628372637,0.03006739448717982,0.20083036131969867,0.001620652282569643,9.8e-06,0.2
M03,400,29.570281782624402,0.02586950790319822,0.1886246468509374,0.0034213032613225475,1.18e-05,0.2
M03,600,14.768745693168658,0.01828235939955656,0.17121212185517545,0.005221931429692793,1.38e-05,0.2
M04,200,46.85614975934153,0.032531433366346445,0.1969638649591201,0.0016162455377552495,9.8e-06,0.2
M04,400,34.635640980547166,0.027969294654473807,0.18545666852994236,0.0034231896080870045,1.18e-05,0.2
M04,600,17.115447977670392,0.01966138172055982,0.16895913098788445,0.005224584636075877,1.38e-05,0.2
M05,200,51.74757172338994,0.03378838402971061,0.20071250922575903,0.001617745466029678,9.8e-06,0.2
M05,400,40.6145569772558,0.029933899360078023,0.19088358549919143,0.0034262653178176567,1.18e-05,0.2
M05,600,20.14498369066509,0.02108171287437088,0.17281176226558354,0.005226912917483014,1.38e-05,0.2
M06,200,60.153694800505235,0.039267507940682456,0.20694198905630912,0.0016197159639475677,9.8e-06,0.2
M06,400,40.671758971572366,0.03228855903006549,0.1910102704414435,0.003423201445086212,1.18e-05,0.2
M06,600,22.013580043732112,0.02375458922370604,0.17575219449076174,0.005224109510190442,1.38e-05,0.2
M07,200,57.49311221483429,0.0388001420766541,0.190995173953694,0.001619439949278635,9.8e-06,0.2
M07,400,42.50964221762869,0.03336331005416005,0.1796481684313724,0.003421937971564657,1.18e-05,0.2
M07,600,20.82360039665676,0.02335088350418179,0.1632252946681014,0.005224264919269667,1.38e-05,0.2
M08,200,42.1460144906114,0.030619722545178765,0.2018533400039301,0.0016219970026789198,9.8e-06,0.2
M08,400,30.711542753649486,0.026138087750181786,0.18915136842055272,0.0034231337386555066,1.18e-05,0.2
M08,600,15.459868940663831,0.01854495991732146,0.1722090616985671,0.005224823719278157,1.38e-05,0.2
