Sample_ID,Mix_ID,Temperature_C,Replicate,Analysis_Type,Measurement_Scale,C3S_Alite_Percent,C2S_Belite_Percent,C3A_Aluminate_Percent,C4AF_Ferrite_Percent,CSH_Gel_Percent,Portlandite_CH_Percent,Ettringite_Percent,Monosulfate_Percent,Calcium_Silicate_Hydrate_Dehydrated_Percent,Calcium_Oxide_Percent,Silica_Polymorphs_Percent,Spinel_Phases_Percent,Unreacted_Silica_Fume_Percent,Fly_Ash_Remnants_Percent,Total_Crystallinity_Percent,Amorphous_Content_Percent,Crystallite_Size_CSH_nm,Crystallite_Size_CH_nm,CSH_d_spacing_001_A,CH_lattice_parameter_a_A,Thermal_Expansion_Coefficient_1e6_K,CSH_Peak_Intensity_Counts,CH_Peak_Intensity_Counts,Peak_Broadening_FWHM_deg,Microstrain_Percent,Carbon_Black_Residue_Percent,Zinc_Oxide_From_Rubber_Percent,Sulfur_Compounds_Percent,Rietveld_Refinement_Rwp,Rietveld_Refinement_Rexp,Goodness_of_Fit_Chi2,Background_Fit_Quality,Scan_Range_2Theta_deg,Step_Size_deg,Count_Time_sec,Radiation_Type,Measurement_Uncertainty_Percent
C-0-25-XRD-R0,C-0,25,0,XRD,Bulk,0.574268970717863,0.2090030364204361,0.08292789993976912,0.11345857414354986,0.047151340632138716,0.12399218563283493,0.02,0.01,0.0,0.0,0.0,0.0,0.03,0.02,63.701510270956646,36.298489729043354,8.716123093316988,25.040468288713942,12.56197451893614,3.5844224829712834,10.676196181039204,4606.366740522699,3207.9837790634424,0.15236867292124598,0.03354146280230909,0.0,0.0,0.0,13.673412675492388,11.133819745169871,1.5529342519853224,0.9031479801470123,5-70,0.02,2.0,Cu_Ka,5.904057417259616
C-0-25-XRD-R1,C-0,25,1,XRD,Bulk,0.5058961193986669,0.21022134137357362,0.0737675668168759,0.1299469375744334,0.04776339293296354,0.12181438432481656,0.02,0.01,0.0,0.0,0.0,0.0,0.03,0.02,61.750438734702726,38.249561265297274,8.62184921980875,22.538374047794385,12.483484587697163,3.59168158786909,9.77071179607701,5107.368350345704,3022.3391455016717,0.152387845007884,0.01642364066202954,0.0,0.0,0.0,9.666833009444534,6.401421774074743,1.2861686437162885,0.8517908521738154,5-70,0.02,2.0,Cu_Ka,3.881897301932335
C-0-25-XRD-R2,C-0,25,2,XRD,Bulk,0.5697627350136762,0.19264861552569426,0.07748374831787803,0.11116572943813068,0.050754706676564204,0.11621144739712169,0.02,0.01,0.0,0.0,0.0,0.0,0.03,0.02,65.05595069569216,34.94404930430784,7.603089287491685,27.014564176769596,12.495835758179881,3.591930224283947,10.525787295476333,4828.5354769569485,2757.2803804764285,0.16026864822998657,0.05437456448134136,0.0,0.0,0.0,14.022916281069419,11.200312368938693,1.9859371866875728,0.9011469872204476,5-70,0.02,2.0,Cu_Ka,5.601185232362719
C-0-25-XRD-R3,C-0,25,3,XRD,Bulk,0.5788354390014944,0.19646499137576506,0.0796200667074388,0.12433479137707064,0.05376652606102747,0.1269842490754146,0.02,0.01,0.0,0.0,0.0,0.0,0.03,0.02,64.27724409046661,35.72275590953339,8.134844675772266,27.029224912143235,12.503505841787112,3.5842548385879986,10.839969936417372,4601.098432347057,3236.3630756727416,0.13285047306914022,0.014914880357871453,0.0,0.0,0.0,12.636440480780156,9.661459645514093,2.209969552643458,0.9217050753065992,5-70,0.02,2.0,Cu_Ka,3.2382663015029287
C-0-25-XRD-R4,C-0,25,4,XRD,Bulk,0.5726430879448565,0.19532618235341073,0.07712456001950577,0.13180016518880966,0.05090399765959728,0.12505725775846588,0.02,0.01,0.0,0.0,0.0,0.0,0.03,0.02,68.23532989938454,31.76467010061546,7.9356696545330205,26.030961741490778,12.4491090195285,3.5901122804780203,10.742916573462951,4532.2910171266085,2901.1773923765486,0.14911307575693827,0.048621296233867,0.0,0.0,0.0,8.010254951484331,11.39476260603967,1.5721177202758063,0.8835016281742277,5-70,0.02,2.0,Cu_Ka,6.281304781414967
C-0-200-XRD-R0,C-0,200,0,XRD,Bulk,0.5255781551352723,0.2063049037560809,0.08514405030243136,0.12701944434504894,0.05281950737425929,0.11012730167676563,0.0184,0.0095,0.0,0.0,0.0,0.0,0.029099999999999997,0.0192,61.84238791418886,38.15761208581114,7.78781990531645,23.034184985614516,12.32068918526803,3.5850978073232462,10.973884888009792,4966.498465439218,2931.077431012363,0.13764484103367375,0.11747517831537249,0.0,0.0,0.0,12.931233330575408,10.124988520185072,1.2736783649374142,0.8642713013895623,5-70,0.02,2.0,Cu_Ka,6.250250841563494
C-0-200-XRD-R1,C-0,200,1,XRD,Bulk,0.5206246387785995,0.19422260240868333,0.07432475765881404,0.11268364724579806,0.05275417235370207,0.11428463086837291,0.0184,0.0095,0.0,0.0,0.0,0.0,0.029099999999999997,0.0192,61.63557698686696,38.36442301313304,8.138509835029037,22.75155192922621,12.639922834539034,3.5905864924830464,10.575421034216959,4437.947708718834,2568.3318696718707,0.15145608534509997,0.06341145118559743,0.0,0.0,0.0,10.897935227054006,11.422345354508277,1.4543005029500273,0.976328666869758,5-70,0.02,2.0,Cu_Ka,6.240612839584687
C-0-200-XRD-R2,C-0,200,2,XRD,Bulk,0.5919618528882786,0.21717775958960975,0.08405185915425793,0.12693071595880945,0.0493781829660562,0.12025080563222987,0.0184,0.0095,0.0,0.0,0.0,0.0,0.029099999999999997,0.0192,62.957234448234495,37.042765551765505,8.1849089820087,21.962646079732618,12.392695245533496,3.5892988737932088,11.263361818389317,4446.455613466612,2715.5314634750916,0.13026563060189536,0.050426360210287374,0.0,0.0,0.0,13.987123250829443,6.26979904770783,1.6627190446950775,0.9320786303959842,5-70,0.02,2.0,Cu_Ka,6.652352712207756
C-0-200-XRD-R3,C-0,200,3,XRD,Bulk,0.5904792764963285,0.21580767998068656,0.07300565269892773,0.12818215827512303,0.052799125785441194,0.12965835958261487,0.0184,0.0095,0.0,0.0,0.0,0.0,0.029099999999999997,0.0192,62.026118695043735,37.973881304956265,7.588578582994104,24.223857690215528,12.647242491996751,3.583114899735103,11.41625490991127,4541.793408212893,3008.266408664766,0.18017739005534283,0.09601760977729654,0.0,0.0,0.0,9.380371051712741,10.502941460826204,1.4258283341699094,0.8582400365189361,5-70,0.02,2.0,Cu_Ka,5.110213584583337
C-0-200-XRD-R4,C-0,200,4,XRD,Bulk,0.5558876349578583,0.18755862298926396,0.07757406310867455,0.13069846309628874,0.047850032320874904,0.11173363345836884,0.0184,0.0095,0.0,0.0,0.0,0.0,0.029099999999999997,0.0192,62.81325748116494,37.18674251883506,7.524874259378809,26.215580453564105,12.723667976228576,3.5782699872789014,11.385304190745051,4680.046155797036,2695.613913110136,0.12592337329667563,0.04588575359851116,0.0,0.0,0.0,12.00936520899506,9.280295675668349,1.4461625250999197,0.9204249558134123,5-70,0.02,2.0,Cu_Ka,6.892407530524345
