Sample_ID,Mix_ID,Temperature_C,Replicate,Analysis_Type,Measurement_Scale,Total_Porosity_3D_Percent,Connected_Porosity_Percent,Isolated_Porosity_Percent,Pore_Volume_Distribution_mm3,Largest_Pore_Volume_mm3,Pore_Surface_Area_mm2_mm3,Mean_Pore_Sphericity,Pore_Elongation_Index,Pore_Flatness_Index,Pore_Anisotropy_Ratio,Percolation_Threshold_Percent,Coordination_Number,Tortuosity_Factor,Effective_Diffusivity_Ratio,Pore_Network_Density_mm3,Crack_Volume_Fraction_Percent,Crack_Surface_Area_mm2,Mean_Crack_Opening_um,Crack_Network_Connectivity,Damage_Parameter_D,Cement_Matrix_Volume_Fraction,Rubber_Particle_Volume_Fraction,Aggregate_Volume_Fraction,ITZ_Volume_Fraction,Rubber_Particle_Count_per_mm3,Mean_Rubber_Particle_Diameter_um,Rubber_Particle_Size_Distribution_D50_um,Rubber_Particle_Sphericity,Rubber_Clustering_Index,Thermal_Crack_Density_mm_mm3,Rubber_Void_Formation_Percent,Microstructural_Coarsening_Index,Phase_Separation_Index,Strain_Localization_Index,Displacement_Field_Heterogeneity,Shear_Band_Density_mm2_mm3,Volumetric_Strain_Percent,Voxel_Size_um,Image_Resolution_pixels,Scan_Voltage_kV,Scan_Current_uA,Exposure_Time_ms,Number_of_Projections,Reconstruction_Algorithm,Image_Quality_SNR_dB,Segmentation_Accuracy_Percent,Measurement_Uncertainty_Percent
C-0-25-MicroCT-R0,C-0,25,0,MicroCT,Meso,12.354044159235475,8.567865524614353,3.7861786346211215,0.008442318077703393,0.049392923208401156,2.358508204228653,0.6539407023315296,1.5731765269677505,1.3194711719264394,1.1771046961115248,14.377234395329207,4.3995814620710645,2.5002811067589525,0.2804014523432619,47.87030125297776,0.0,0.0,0.0,0.0,0.0,0.5995270053714798,0.0,0.2434854110456449,0.07805064927516303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2048x2048x2048,90,88,500,1600,Filtered_Back_Projection,28.416740138910473,94.38414526871347,4.864794709789094
C-0-25-MicroCT-R1,C-0,25,1,MicroCT,Meso,11.893373343420606,8.675082073167815,3.2182912702527915,0.0032102211957916174,0.011671803618860952,2.494840275690636,0.692760774188681,1.368019496953029,1.2047883643903676,1.2023810147243745,14.842691308173181,4.93754679954743,2.5669362631532384,0.2912417832757155,40.33736022935717,0.0,0.0,0.0,0.0,0.0,0.5840850456011747,0.0,0.24183231216148737,0.07232196210957627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2048x2048x2048,90,88,500,1600,Filtered_Back_Projection,31.565391118773697,96.95348783086875,4.604627508716734
C-0-25-MicroCT-R2,C-0,25,2,MicroCT,Meso,12.358624267867803,8.958585609196385,3.400038658671418,0.004138072943568399,0.08887572439699953,2.5046145330177154,0.7207545551564516,1.4986894025710442,1.2877071897275998,1.2835146521373255,14.599681423708839,4.21690602483469,2.5877668215242355,0.2747256542181383,48.47509511077617,0.0,0.0,0.0,0.0,0.0,0.5876822649023175,0.0,0.25949456608862403,0.08520038324881894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2048x2048x2048,90,88,500,1600,Filtered_Back_Projection,32.12711932125276,94.667226838955,4.717032228739759
C-0-25-MicroCT-R3,C-0,25,3,MicroCT,Meso,12.410770277604431,9.182012175195105,3.2287581024093264,0.009849484796659518,0.04347377248050569,2.7034163024285496,0.6422362640250132,1.4734398198752556,1.2909972708746515,1.18580983588883,16.212628644039793,4.052368479619337,2.5649940567964986,0.29474747081129,50.10198123498915,0.0,0.0,0.0,0.0,0.0,0.6075058913058674,0.0,0.2591613042931563,0.08082822429663424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2048x2048x2048,90,88,500,1600,Filtered_Back_Projection,33.89230466035449,94.64113878267014,4.712601121544422
C-0-25-MicroCT-R4,C-0,25,4,MicroCT,Meso,11.522784453013543,7.802734362544011,3.720050090469532,0.0016163619799996695,0.08225381848073093,2.653503073922918,0.6884132720212689,1.4278923701629473,1.2006852196175908,1.2842969198452432,14.175379881430736,4.069087245568274,2.5385797087930313,0.2789964925911334,40.24742365733864,0.0,0.0,0.0,0.0,0.0,0.6226497167031243,0.0,0.2530440137116941,0.07613845863664623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2048x2048x2048,90,88,500,1600,Filtered_Back_Projection,33.75268203865616,92.62915408627615,5.278083154210796
C-0-200-MicroCT-R0,C-0,200,0,MicroCT,Meso,13.134494078523154,9.875235636986762,3.2592584415363923,0.009732140422533016,0.09172058842597851,2.4036974283780337,0.6550657184716158,1.4310311821823656,1.2349254150052282,1.1448788260411034,16.341367936713862,4.038020821913642,2.5151799325342994,0.2870889868936451,61.72181165261992,0.21540047054821126,1.7113586561123513,0.7179485187685796,0.056807216365067664,0.07872736129335343,0.5768032888092631,0.0,0.2475113378308722,0.07847889751146074,0.0,0.0,0.0,0.0,0.0,2.3227018707389355,0.0,0.146659431694746,0.06663208616323403,0.23235798941686198,0.1731006266450456,0.8952746842250345,0.3286117478499655,2.0,2048x2048x2048,90,88,500,1600,Filtered_Back_Projection,29.35219986877472,93.41566114040799,6.761648096936271
C-0-200-MicroCT-R1,C-0,200,1,MicroCT,Meso,13.82022438942544,8.999765394320317,4.820458995105124,0.0015417463627116264,0.10231526901974902,2.856078229036061,0.6808278582178802,1.5779009357324345,1.4449793754323919,1.1596125367212198,15.78744920414421,4.399353547237535,2.8840580979781603,0.2899028326630816,69.1238486014953,0.2887273321642559,1.4448984005398309,0.6259683842008703,0.06312680773973252,0.08597993757453619,0.5990682481594115,0.0,0.2560832757328906,0.07248164466099186,0.0,0.0,0.0,0.0,0.0,2.074953344194761,0.0,0.13844998579979476,0.06337794388457282,0.2143708283152667,0.18654658602739796,0.8483158615982538,0.4002911925462516,2.0,2048x2048x2048,90,88,500,1600,Filtered_Back_Projection,25.808764397934784,92.63156157019256,7.322677189897236
C-0-200-MicroCT-R2,C-0,200,2,MicroCT,Meso,13.504423571846454,9.281855068033394,4.22256850381306,0.007643412801867587,0.09954596853783582,2.7504897416875704,0.719702833148269,1.511269127901681,1.3025468977596677,1.3410309700886582,14.627502151877442,4.4847685751407305,2.452758218901595,0.269006730888233,64.17532348142674,0.21493490654899017,1.3333194183854995,0.9819647793720269,0.0641837063863586,0.0799826993641068,0.5967769080706576,0.0,0.2506040453865553,0.082973767543556,0.0,0.0,0.0,0.0,0.0,2.2108933921274523,0.0,0.15222991494862081,0.06517437631466536,0.19853952639185513,0.17672307818896885,0.7888099238852568,0.29477851497924196,2.0,2048x2048x2048,90,88,500,1600,Filtered_Back_Projection,26.064970870450285,97.78466571647793,7.896838668623843
C-0-200-MicroCT-R3,C-0,200,3,MicroCT,Meso,13.400322288180954,10.205891086988887,3.1944312011920672,0.0069021228423076925,0.022574768607220512,2.54223968838739,0.6546565915756548,1.6102647214155148,1.381753665749536,1.3558771734256891,14.981931909277035,4.102061285061015,2.7387543625313655,0.29061582572138583,57.27763125511598,0.284833864996451,1.7763399556907902,0.833309948545929,0.05895820949318924,0.08548619387108031,0.6071121425246001,0.0,0.25978071534027525,0.0848204267608797,0.0,0.0,0.0,0.0,0.0,2.0242695469893865,0.0,0.1603697297701881,0.07324840019907189,0.19329093585634607,0.19399866687807865,0.7286999780697858,0.36873835010136846,2.0,2048x2048x2048,90,88,500,1600,Filtered_Back_Projection,31.34334470325916,93.10599135568542,4.42425868082029
C-0-200-MicroCT-R4,C-0,200,4,MicroCT,Meso,14.061609345639717,9.483314411175751,4.578294934463965,0.002562171596628621,0.05848193189965354,2.4338646051660557,0.7336691617018748,1.4536471277067409,1.3917036337006963,1.2099454641113296,14.155316064243145,4.417674083810689,2.964366888233785,0.2906933480199289,65.75447115941262,0.2032091144579486,1.2128178978581774,0.5773328537514526,0.07180137365222956,0.08767231617185364,0.607952100242791,0.0,0.24720765352698595,0.08774196775271698,0.0,0.0,0.0,0.0,0.0,2.3345089257642617,0.0,0.13937876236553534,0.06760796418830661,0.18961199444378163,0.18893818140332522,0.9758209054014728,0.3845429167637944,2.0,2048x2048x2048,90,88,500,1600,Filtered_Back_Projection,31.464751010955723,96.59540046853279,6.692487395759026
