time_hours,normalized_time,current_A,voltage_V,internal_resistance_Ohm,delamination_area_mm2
0.000,0.000000,2.000000,0.797104,0.080024,0.001625
8.333,0.013889,2.000000,0.801631,0.080031,0.002096
16.667,0.027778,2.000000,0.796515,0.080038,0.002567
25.000,0.041667,2.000000,0.796891,0.080046,0.003037
33.333,0.055556,2.000000,0.796411,0.080053,0.003508
41.667,0.069444,2.000000,0.794232,0.080060,0.003979
50.000,0.083333,2.000000,0.792131,0.080067,0.004450
58.333,0.097222,2.000000,0.795309,0.080077,0.005167
66.667,0.111111,2.000000,0.793879,0.080088,0.005883
75.000,0.125000,2.000000,0.788396,0.080099,0.006600
83.333,0.138889,2.000000,0.796142,0.080110,0.007317
91.667,0.152778,2.000000,0.792529,0.080120,0.008033
100.000,0.166667,2.000000,0.788219,0.080131,0.008750
108.333,0.180556,2.000000,0.790680,0.080146,0.009708
116.667,0.194444,2.000000,0.787079,0.080160,0.010667
125.000,0.208333,2.000000,0.787030,0.080174,0.011625
133.333,0.222222,2.000000,0.787867,0.080189,0.012583
141.667,0.236111,2.000000,0.782914,0.080203,0.013542
150.000,0.250000,2.000000,0.785717,0.080217,0.014500
158.333,0.263889,2.000000,0.786494,0.080235,0.015683
166.667,0.277778,2.000000,0.785472,0.080253,0.016867
175.000,0.291667,2.000000,0.781359,0.080271,0.018050
183.333,0.305556,2.000000,0.782896,0.080288,0.019233
191.667,0.319444,2.000000,0.776978,0.080306,0.020417
200.000,0.333333,2.000000,0.779036,0.080324,0.021600
208.333,0.347222,2.000000,0.779373,0.080346,0.023075
216.667,0.361111,2.000000,0.774910,0.080368,0.024550
225.000,0.375000,2.000000,0.776556,0.080390,0.026025
233.333,0.388889,2.000000,0.779291,0.080412,0.027500
241.667,0.402778,2.000000,0.780200,0.080435,0.028975
250.000,0.416667,2.000000,0.775641,0.080457,0.030450
258.333,0.430556,2.000000,0.774863,0.080480,0.032029
266.667,0.444444,2.000000,0.770407,0.080504,0.033608
275.000,0.458333,2.000000,0.769026,0.080528,0.035188
283.333,0.472222,2.000000,0.767739,0.080551,0.036767
291.667,0.486111,2.000000,0.770766,0.080575,0.038346
300.000,0.500000,2.000000,0.770306,0.080599,0.039925
308.333,0.513889,2.000000,0.766600,0.080624,0.041633
316.667,0.527778,2.000000,0.764576,0.080650,0.043342
325.000,0.541667,2.000000,0.766664,0.080676,0.045050
333.333,0.555556,2.000000,0.765890,0.080701,0.046758
341.667,0.569444,2.000000,0.764118,0.080727,0.048467
350.000,0.583333,2.000000,0.766035,0.080753,0.050175
358.333,0.597222,2.000000,0.762424,0.080778,0.051900
366.667,0.611111,2.000000,0.761592,0.080804,0.053625
375.000,0.625000,2.000000,0.758623,0.080830,0.055350
383.333,0.638889,2.000000,0.760226,0.080856,0.057075
391.667,0.652778,2.000000,0.761763,0.080882,0.058800
400.000,0.666667,2.000000,0.758306,0.080908,0.060525
408.333,0.680556,2.000000,0.757439,0.080935,0.062329
416.667,0.694444,2.000000,0.757277,0.080962,0.064133
425.000,0.708333,2.000000,0.756077,0.080989,0.065937
433.333,0.722222,2.000000,0.755695,0.081016,0.067742
441.667,0.736111,2.000000,0.754820,0.081043,0.069546
450.000,0.750000,2.000000,0.754096,0.081070,0.071350
458.333,0.763889,2.000000,0.750377,0.081100,0.073325
466.667,0.777778,2.000000,0.751674,0.081129,0.075300
475.000,0.791667,2.000000,0.746976,0.081159,0.077275
483.333,0.805556,2.000000,0.749823,0.081189,0.079250
491.667,0.819444,2.000000,0.745873,0.081218,0.081225
500.000,0.833333,2.000000,0.747361,0.081248,0.083200
508.333,0.847222,2.000000,0.747557,0.081279,0.085271
516.667,0.861111,2.000000,0.744883,0.081310,0.087342
525.000,0.875000,2.000000,0.745013,0.081341,0.089413
533.333,0.888889,2.000000,0.740641,0.081372,0.091483
541.667,0.902778,2.000000,0.741312,0.081403,0.093554
550.000,0.916667,2.000000,0.743508,0.081434,0.095625
558.333,0.930556,2.000000,0.738989,0.081434,0.095625
566.667,0.944444,2.000000,0.741765,0.081434,0.095625
575.000,0.958333,2.000000,0.736855,0.081434,0.095625
583.333,0.972222,2.000000,0.736983,0.081434,0.095625
591.667,0.986111,2.000000,0.735774,0.081434,0.095625
600.000,1.000000,2.000000,0.737146,0.081434,0.095625
