specimen_id,rubber_content_pct,temperature_C,exposure_time_hrs,total_crack_volume_mm3,crack_density_mm_mm3,avg_crack_width_um,max_crack_width_um,avg_crack_length_mm,total_crack_surface_area_mm2,crack_network_connectivity,primary_crack_orientation,crack_tortuosity,crack_branching_index,damage_parameter,notes
MCT-R0-RT-01,0,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,No visible cracks in unheated control
MCT-R0-RT-02,0,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,Healthy concrete specimen
MCT-R0-RT-03,0,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,No thermal damage
MCT-R5-RT-01,5,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,No cracks at room temperature
MCT-R5-RT-02,5,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,Control specimen
MCT-R5-RT-03,5,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,No damage
MCT-R10-RT-01,10,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,Unheated control
MCT-R10-RT-02,10,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,No visible cracks
MCT-R10-RT-03,10,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,Baseline condition
MCT-R15-RT-01,15,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,Room temperature control
MCT-R15-RT-02,15,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,No thermal exposure
MCT-R15-RT-03,15,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,Unheated specimen
MCT-R20-RT-01,20,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,Control condition
MCT-R20-RT-02,20,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,No damage
MCT-R20-RT-03,20,20,0,0.00,0.000,0.0,0.0,0.00,0.00,0.00,none,1.00,0.00,0.00,Baseline specimen
MCT-R0-200-01,0,200,2,2.35,0.024,12.5,42.8,3.85,18.8,0.15,random,1.08,0.12,0.08,Minor thermal microcracking
MCT-R0-200-02,0,200,2,2.68,0.027,13.8,48.5,4.12,21.4,0.18,random,1.09,0.14,0.09,Ettringite decomposition cracks
MCT-R0-200-03,0,200,2,2.05,0.021,11.2,38.6,3.58,16.5,0.13,random,1.07,0.10,0.07,Minimal cracking
MCT-R5-200-01,5,200,2,4.85,0.049,18.5,68.4,5.28,38.8,0.28,ITZ_rubber,1.15,0.22,0.14,Cracks at rubber-paste interface
MCT-R5-200-02,5,200,2,5.32,0.053,20.2,74.6,5.65,42.5,0.32,ITZ_rubber,1.17,0.25,0.16,Rubber thermal stress
MCT-R5-200-03,5,200,2,4.42,0.045,16.8,62.5,4.95,35.6,0.25,ITZ_rubber,1.14,0.20,0.12,Initial ITZ damage
MCT-R10-200-01,10,200,2,8.95,0.090,28.5,112.8,7.85,71.5,0.45,ITZ_rubber,1.24,0.38,0.25,Significant rubber debonding
MCT-R10-200-02,10,200,2,9.68,0.097,31.2,125.4,8.32,78.2,0.49,ITZ_rubber,1.26,0.42,0.28,Multiple crack paths
MCT-R10-200-03,10,200,2,8.28,0.083,26.5,105.6,7.42,66.8,0.42,ITZ_rubber,1.22,0.35,0.23,Moderate cracking
MCT-R15-200-01,15,200,2,14.85,0.149,42.8,185.6,10.85,118.5,0.62,ITZ_rubber,1.35,0.58,0.38,Severe ITZ cracking
MCT-R15-200-02,15,200,2,16.28,0.163,46.5,202.4,11.52,128.4,0.67,ITZ_rubber,1.38,0.63,0.42,Extensive debonding
MCT-R20-200-01,20,200,2,22.85,0.229,58.6,268.4,14.28,178.5,0.78,ITZ_rubber,1.48,0.82,0.55,Catastrophic ITZ failure
MCT-R20-200-02,20,200,2,24.68,0.247,63.2,292.5,15.15,195.6,0.83,ITZ_rubber,1.52,0.88,0.60,Massive crack network
MCT-R0-400-01,0,400,2,8.52,0.085,32.5,142.8,8.95,68.4,0.38,random,1.28,0.35,0.22,Severe thermal cracking
MCT-R0-400-02,0,400,2,9.35,0.094,35.8,158.6,9.52,75.2,0.42,random,1.31,0.39,0.25,Major paste cracking
MCT-R0-400-03,0,400,2,7.82,0.078,29.8,132.5,8.42,62.8,0.35,random,1.25,0.32,0.20,Significant damage
