two_theta,intensity
5.0000,0.148748
5.0138,0.132353
5.0275,0.169165
5.0413,0.180285
5.0550,0.062826
5.0688,0.095320
5.0825,0.097881
5.0963,0.103624
5.1100,0.154444
5.1238,0.066097
5.1375,0.138472
5.1513,0.091600
5.1650,0.159967
5.1788,0.094309
5.1925,0.089842
5.2063,0.112013
5.2201,0.085620
5.2338,0.125378
5.2476,0.067809
5.2613,0.118584
5.2751,0.093743
5.2888,0.122651
5.3026,0.033486
5.3163,0.101270
5.3301,0.080914
5.3438,0.090376
5.3576,0.095866
5.3713,0.137954
5.3851,0.107345
5.3988,0.125331
5.4126,0.051100
5.4264,0.093622
5.4401,0.133366
5.4539,0.112699
5.4676,0.140487
5.4814,0.088035
5.4951,0.174864
5.5089,0.183688
5.5226,0.092685
5.5364,0.130707
5.5501,0.109251
5.5639,0.080551
5.5776,0.131408
5.5914,0.091664
5.6052,0.101154
5.6189,0.100978
5.6327,0.084509
5.6464,0.110610
5.6602,0.089866
5.6739,0.068958
5.6877,0.097162
5.7014,0.148147
5.7152,0.081365
5.7289,0.144513
5.7427,0.050363
5.7564,0.182329
5.7702,0.080426
5.7839,0.022843
5.7977,0.115015
5.8115,0.110734
5.8252,0.071040
5.8390,0.105376
5.8527,0.131912
5.8665,0.073064
5.8802,0.086964
5.8940,0.189993
5.9077,0.121855
5.9215,0.176131
5.9352,0.080177
5.9490,0.116689
5.9627,0.174291
5.9765,0.098852
5.9902,0.139897
6.0040,0.045869
6.0178,0.085773
6.0315,0.097439
6.0453,0.131719
6.0590,0.134749
6.0728,0.118017
6.0865,0.118813
6.1003,0.108126
6.1140,0.137902
6.1278,0.109571
6.1415,0.112012
6.1553,0.105187
6.1690,0.090008
6.1828,0.139246
6.1965,0.116473
6.2103,0.144670
6.2241,0.098658
6.2378,0.125249
6.2516,0.124004
6.2653,0.071327
6.2791,0.125140
6.2928,0.051786
6.3066,0.161538
6.3203,0.124198
6.3341,0.071391
6.3478,0.123557
6.3616,0.075908
6.3753,0.162510
6.3891,0.125497
6.4029,0.186175
6.4166,0.114722
6.4304,0.119991
6.4441,0.078029
6.4579,0.151800
6.4716,0.159012
6.4854,0.091975
6.4991,0.128597
6.5129,0.153021
6.5266,0.118143
6.5404,0.093688
6.5541,0.132585
6.5679,0.124478
6.5816,0.113235
6.5954,0.127143
6.6092,0.153636
6.6229,0.073408
6.6367,0.109966
6.6504,0.127297
6.6642,0.114163
6.6779,0.132638
6.6917,0.110337
6.7054,0.076074
6.7192,0.123534
6.7329,0.165746
6.7467,0.074758
6.7604,0.107734
6.7742,0.137247
6.7879,0.099353
6.8017,0.112153
6.8155,0.135163
6.8292,0.104112
6.8430,0.128472
6.8567,0.076033
6.8705,0.162560
6.8842,0.087026
6.8980,0.069548
6.9117,0.149998
6.9255,0.162986
6.9392,0.139929
6.9530,0.087160
6.9667,0.112312
6.9805,0.127996
6.9942,0.087679
7.0080,0.113274
7.0218,0.099944
7.0355,0.071574
7.0493,0.039984
7.0630,0.112294
7.0768,0.067388
7.0905,0.095760
7.1043,0.070861
7.1180,0.063997
7.1318,0.088518
7.1455,0.108568
7.1593,0.166889
7.1730,0.156875
7.1868,0.142081
7.2006,0.082589
7.2143,0.040064
7.2281,0.035396
7.2418,0.010789
7.2556,0.077815
7.2693,0.079519
7.2831,0.130084
7.2968,0.121481
7.3106,0.097092
7.3243,0.131015
7.3381,0.091241
7.3518,0.160827
7.3656,0.160537
7.3793,0.106806
7.3931,0.122198
7.4069,0.107349
7.4206,0.088628
7.4344,0.073127
7.4481,0.088339
7.4619,0.066086
7.4756,0.126706
7.4894,0.077341
7.5031,0.121683
7.5169,0.109912
7.5306,0.224803
7.5444,0.061776
7.5581,0.096281
7.5719,0.088592
7.5856,0.057043
7.5994,0.089870
7.6132,0.099134
7.6269,0.126342
7.6407,0.119360
7.6544,0.107462
7.6682,0.019592
7.6819,0.040749
7.6957,0.100406
7.7094,0.141948
7.7232,0.039817
7.7369,0.187844
7.7507,0.095578
7.7644,0.140373
7.7782,0.120818
7.7919,0.130992
7.8057,0.148149
7.8195,0.121157
7.8332,0.140352
7.8470,0.007297
7.8607,0.172748
7.8745,0.113507
7.8882,0.122614
7.9020,0.132266
7.9157,0.115498
7.9295,0.073247
7.9432,0.109952
7.9570,0.063269
7.9707,0.140662
7.9845,0.159732
7.9982,0.094336
8.0120,0.045264
8.0258,0.116035
8.0395,0.076167
8.0533,0.116087
8.0670,0.103287
8.0808,0.065562
8.0945,0.102632
8.1083,0.159469
8.1220,0.096125
8.1358,0.095229
8.1495,0.122649
8.1633,0.157354
8.1770,0.136193
8.1908,0.062378
8.2046,0.187306
8.2183,0.053681
8.2321,0.084517
8.2458,0.141007
8.2596,0.173974
8.2733,0.112887
8.2871,0.169408
8.3008,0.083045
8.3146,0.131947
8.3283,0.077408
8.3421,0.092571
8.3558,0.090595
8.3696,0.069825
8.3833,0.124268
8.3971,0.138123
8.4109,0.147615
8.4246,0.066153
8.4384,0.110060
8.4521,0.099299
8.4659,0.177637
8.4796,0.102819
8.4934,0.101672
8.5071,0.137380
8.5209,0.098981
8.5346,0.060880
8.5484,0.129107
8.5621,0.119700
8.5759,0.144496
8.5896,0.120573
8.6034,0.205720
8.6172,0.132399
8.6309,0.092979
8.6447,0.064260
8.6584,0.078650
8.6722,0.084211
8.6859,0.111399
8.6997,0.095899
8.7134,0.116138
8.7272,0.053743
8.7409,0.084638
8.7547,0.112944
8.7684,0.101555
8.7822,0.139367
8.7959,0.104106
8.8097,0.101303
8.8235,0.057765
8.8372,0.133792
8.8510,0.075275
8.8647,0.097872
8.8785,0.093842
8.8922,0.066987
8.9060,0.058982
8.9197,0.097548
8.9335,0.061618
8.9472,0.111899
8.9610,0.146008
8.9747,0.038382
8.9885,0.092777
9.0023,0.125798
9.0160,0.074993
9.0298,0.074724
9.0435,0.135188
9.0573,0.110497
9.0710,0.100525
9.0848,0.109097
9.0985,0.039051
9.1123,0.112426
9.1260,0.144317
9.1398,0.052100
9.1535,0.101298
9.1673,0.081015
9.1810,0.173210
9.1948,0.065972
9.2086,0.119892
9.2223,0.148935
9.2361,0.080800
9.2498,0.157471
9.2636,0.126931
9.2773,0.120564
9.2911,0.136526
9.3048,0.124868
9.3186,0.093692
9.3323,0.000000
9.3461,0.076667
9.3598,0.208811
9.3736,0.083038
9.3873,0.085612
9.4011,0.094001
9.4149,0.149054
9.4286,0.103282
9.4424,0.107433
9.4561,0.093019
9.4699,0.074433
9.4836,0.098495
9.4974,0.093755
9.5111,0.165711
9.5249,0.104306
9.5386,0.146725
9.5524,0.142987
9.5661,0.121373
9.5799,0.104856
9.5936,0.169388
9.6074,0.126874
9.6212,0.074281
9.6349,0.081314
9.6487,0.180120
9.6624,0.047248
9.6762,0.047646
9.6899,0.134891
9.7037,0.082549
9.7174,0.158529
9.7312,0.064155
9.7449,0.107490
9.7587,0.124860
9.7724,0.073168
9.7862,0.111484
9.7999,0.061190
9.8137,0.079766
9.8275,0.105294
9.8412,0.088717
9.8550,0.087606
9.8687,0.097018
9.8825,0.104772
9.8962,0.149746
9.9100,0.189150
9.9237,0.067183
9.9375,0.033289
9.9512,0.168169
9.9650,0.092837
9.9787,0.076206
9.9925,0.093201
10.0063,0.111055
10.0200,0.177920
10.0338,0.147282
10.0475,0.132294
10.0613,0.159208
10.0750,0.125173
10.0888,0.111837
10.1025,0.157565
10.1163,0.145331
10.1300,0.131699
10.1438,0.230322
10.1575,0.127581
10.1713,0.104508
10.1850,0.120608
10.1988,0.096611
10.2126,0.121185
10.2263,0.092468
10.2401,0.171159
10.2538,0.135986
10.2676,0.128421
10.2813,0.091218
10.2951,0.068192
10.3088,0.182016
10.3226,0.109317
10.3363,0.132950
10.3501,0.126236
10.3638,0.066842
10.3776,0.124169
10.3913,0.133110
10.4051,0.190560
10.4189,0.143558
10.4326,0.152783
10.4464,0.060540
10.4601,0.082900
10.4739,0.071084
10.4876,0.079749
10.5014,0.124073
10.5151,0.101182
10.5289,0.106469
10.5426,0.117430
10.5564,0.079687
10.5701,0.124852
10.5839,0.155560
10.5976,0.114535
10.6114,0.076897
10.6252,0.091594
10.6389,0.122817
10.6527,0.087238
10.6664,0.121795
10.6802,0.082024
10.6939,0.086064
10.7077,0.162900
10.7214,0.073291
10.7352,0.143530
10.7489,0.053468
10.7627,0.084765
10.7764,0.066563
10.7902,0.137917
10.8040,0.114431
10.8177,0.135605
10.8315,0.128969
10.8452,0.089272
10.8590,0.090023
10.8727,0.087460
10.8865,0.084460
10.9002,0.208791
10.9140,0.116452
10.9277,0.060193
10.9415,0.155068
10.9552,0.120203
10.9690,0.072607
10.9827,0.089878
10.9965,0.158897
11.0103,0.092937
11.0240,0.112319
11.0378,0.109796
11.0515,0.130718
11.0653,0.139739
11.0790,0.144990
11.0928,0.083167
11.1065,0.130501
11.1203,0.116961
11.1340,0.196250
11.1478,0.107027
11.1615,0.091588
11.1753,0.083669
11.1890,0.054690
11.2028,0.139255
11.2166,0.115552
11.2303,0.100189
11.2441,0.120578
11.2578,0.174683
11.2716,0.098239
11.2853,0.047808
11.2991,0.075214
11.3128,0.048972
11.3266,0.188912
11.3403,0.078214
11.3541,0.102339
11.3678,0.088027
11.3816,0.096814
11.3953,0.124026
11.4091,0.128295
11.4229,0.100342
11.4366,0.090995
11.4504,0.094855
11.4641,0.088210
11.4779,0.153838
11.4916,0.128542
11.5054,0.085505
11.5191,0.126244
11.5329,0.114784
11.5466,0.103103
11.5604,0.120737
11.5741,0.088550
11.5879,0.156645
11.6017,0.120421
11.6154,0.114770
11.6292,0.162961
11.6429,0.099315
11.6567,0.149657
11.6704,0.074097
11.6842,0.074024
11.6979,0.040603
11.7117,0.104022
11.7254,0.121287
11.7392,0.124122
11.7529,0.122744
11.7667,0.098317
11.7804,0.122455
11.7942,0.049119
11.8080,0.144439
11.8217,0.129045
11.8355,0.106642
11.8492,0.115512
11.8630,0.102547
11.8767,0.038889
11.8905,0.159009
11.9042,0.111448
11.9180,0.147827
11.9317,0.064467
11.9455,0.048626
11.9592,0.163622
11.9730,0.206566
11.9867,0.088725
12.0005,0.149669
12.0143,0.118988
12.0280,0.158766
12.0418,0.102125
12.0555,0.104300
12.0693,0.104245
12.0830,0.160083
12.0968,0.190095
12.1105,0.129704
12.1243,0.091869
12.1380,0.111080
12.1518,0.136517
12.1655,0.077080
12.1793,0.095237
12.1930,0.088258
12.2068,0.095521
12.2206,0.116138
12.2343,0.159315
12.2481,0.101545
12.2618,0.050548
12.2756,0.126207
12.2893,0.086514
12.3031,0.133061
12.3168,0.136063
12.3306,0.156330
12.3443,0.134274
12.3581,0.079533
12.3718,0.155033
12.3856,0.114944
12.3993,0.139917
12.4131,0.121260
12.4269,0.053376
12.4406,0.103212
12.4544,0.083434
12.4681,0.184254
12.4819,0.080497
12.4956,0.152533
12.5094,0.083824
12.5231,0.199892
12.5369,0.127744
12.5506,0.184181
12.5644,0.119026
12.5781,0.054846
12.5919,0.083898
12.6057,0.082645
12.6194,0.111898
12.6332,0.039476
12.6469,0.106494
12.6607,0.130721
12.6744,0.115209
12.6882,0.074527
12.7019,0.136019
12.7157,0.091313
12.7294,0.174317
12.7432,0.088230
12.7569,0.116426
12.7707,0.053298
12.7844,0.083009
12.7982,0.122161
12.8120,0.188477
12.8257,0.177128
12.8395,0.145172
12.8532,0.154801
12.8670,0.124195
12.8807,0.124862
12.8945,0.052995
12.9082,0.079600
12.9220,0.107100
12.9357,0.106013
12.9495,0.162299
12.9632,0.149772
12.9770,0.106443
12.9907,0.142895
13.0045,0.140200
13.0183,0.146106
13.0320,0.102466
13.0458,0.127199
13.0595,0.175868
13.0733,0.143595
13.0870,0.083093
13.1008,0.105501
13.1145,0.172921
13.1283,0.093928
13.1420,0.176516
13.1558,0.128452
13.1695,0.123530
13.1833,0.133449
13.1970,0.057935
13.2108,0.170983
13.2246,0.119947
13.2383,0.117803
13.2521,0.107659
13.2658,0.123214
13.2796,0.122263
13.2933,0.158460
13.3071,0.091715
13.3208,0.126218
13.3346,0.102369
13.3483,0.165312
13.3621,0.141950
13.3758,0.144034
13.3896,0.100340
13.4034,0.128834
13.4171,0.100642
13.4309,0.144337
13.4446,0.098279
13.4584,0.204791
13.4721,0.156151
13.4859,0.129407
13.4996,0.110191
13.5134,0.146025
13.5271,0.112849
13.5409,0.045946
13.5546,0.180017
13.5684,0.153202
13.5821,0.112473
13.5959,0.108678
13.6097,0.168301
13.6234,0.132820
13.6372,0.118834
13.6509,0.084343
13.6647,0.139048
13.6784,0.154391
13.6922,0.151342
13.7059,0.134761
13.7197,0.130232
13.7334,0.108568
13.7472,0.122365
13.7609,0.185760
13.7747,0.121990
13.7884,0.113774
13.8022,0.137441
13.8160,0.158311
13.8297,0.126383
13.8435,0.142555
13.8572,0.106501
13.8710,0.139060
13.8847,0.064447
13.8985,0.154777
13.9122,0.166672
13.9260,0.140450
13.9397,0.128260
13.9535,0.168133
13.9672,0.143377
13.9810,0.096025
13.9947,0.126026
14.0085,0.129937
14.0223,0.060524
14.0360,0.069798
14.0498,0.152505
14.0635,0.082601
14.0773,0.189209
14.0910,0.064561
14.1048,0.135064
14.1185,0.099798
14.1323,0.095747
14.1460,0.096268
14.1598,0.134945
14.1735,0.149710
14.1873,0.125238
14.2011,0.116545
14.2148,0.204227
14.2286,0.108691
14.2423,0.126191
14.2561,0.187910
14.2698,0.161297
14.2836,0.122903
14.2973,0.027373
14.3111,0.141935
14.3248,0.163209
14.3386,0.075378
14.3523,0.140534
14.3661,0.112168
14.3798,0.066752
14.3936,0.102455
14.4074,0.086276
14.4211,0.183433
14.4349,0.089153
14.4486,0.164940
14.4624,0.107640
14.4761,0.181585
14.4899,0.134077
14.5036,0.138903
14.5174,0.181419
14.5311,0.147441
14.5449,0.149429
14.5586,0.136288
14.5724,0.161399
14.5861,0.139795
14.5999,0.108981
14.6137,0.118441
14.6274,0.163959
14.6412,0.122596
14.6549,0.156927
14.6687,0.142372
14.6824,0.158044
14.6962,0.137747
14.7099,0.060996
14.7237,0.110929
14.7374,0.144965
14.7512,0.082841
14.7649,0.150992
14.7787,0.171625
14.7924,0.078933
14.8062,0.161685
14.8200,0.168035
14.8337,0.157785
14.8475,0.177770
14.8612,0.191097
14.8750,0.115820
14.8887,0.086584
14.9025,0.244304
14.9162,0.125314
14.9300,0.167387
14.9437,0.105842
14.9575,0.103780
14.9712,0.126838
14.9850,0.132620
14.9987,0.127765
15.0125,0.105646
15.0263,0.090379
15.0400,0.143245
15.0538,0.210419
15.0675,0.131102
15.0813,0.154338
15.0950,0.091435
15.1088,0.122143
15.1225,0.130053
15.1363,0.066677
15.1500,0.193711
15.1638,0.139242
15.1775,0.186480
15.1913,0.169407
15.2051,0.125012
15.2188,0.135267
15.2326,0.193388
15.2463,0.077677
15.2601,0.200516
15.2738,0.193713
15.2876,0.129970
15.3013,0.081678
15.3151,0.150804
15.3288,0.166984
15.3426,0.138279
15.3563,0.222462
15.3701,0.188865
15.3838,0.175068
15.3976,0.154213
15.4114,0.081438
15.4251,0.074078
15.4389,0.150155
15.4526,0.185833
15.4664,0.143105
15.4801,0.207586
15.4939,0.112227
15.5076,0.136932
15.5214,0.176152
15.5351,0.159217
15.5489,0.145517
15.5626,0.169373
15.5764,0.206458
15.5901,0.168539
15.6039,0.168011
15.6177,0.093090
15.6314,0.125072
15.6452,0.163496
15.6589,0.179320
15.6727,0.088118
15.6864,0.176001
15.7002,0.146524
15.7139,0.177703
15.7277,0.195576
15.7414,0.190612
15.7552,0.129278
15.7689,0.170249
15.7827,0.129240
15.7964,0.194564
15.8102,0.129162
15.8240,0.150547
15.8377,0.192537
15.8515,0.193582
15.8652,0.137571
15.8790,0.114235
15.8927,0.153703
15.9065,0.174238
15.9202,0.203576
15.9340,0.126471
15.9477,0.124455
15.9615,0.155538
15.9752,0.147366
15.9890,0.151039
16.0028,0.135435
16.0165,0.199538
16.0303,0.140489
16.0440,0.149301
16.0578,0.119094
16.0715,0.160722
16.0853,0.111763
16.0990,0.109558
16.1128,0.190683
16.1265,0.185690
16.1403,0.148057
16.1540,0.154846
16.1678,0.136159
16.1815,0.148353
16.1953,0.147805
16.2091,0.154984
16.2228,0.137899
16.2366,0.167855
16.2503,0.153241
16.2641,0.180142
16.2778,0.154169
16.2916,0.192704
16.3053,0.205172
16.3191,0.103209
16.3328,0.154218
16.3466,0.140484
16.3603,0.164430
16.3741,0.203453
16.3878,0.152786
16.4016,0.165708
16.4154,0.183909
16.4291,0.093370
16.4429,0.241195
16.4566,0.174504
16.4704,0.171874
16.4841,0.176610
16.4979,0.152265
16.5116,0.108610
16.5254,0.107477
16.5391,0.141214
16.5529,0.226188
16.5666,0.224043
16.5804,0.117721
16.5941,0.245225
16.6079,0.182664
16.6217,0.121805
16.6354,0.235269
16.6492,0.180059
16.6629,0.237058
16.6767,0.225519
16.6904,0.148364
16.7042,0.167356
16.7179,0.219392
16.7317,0.181391
16.7454,0.170175
16.7592,0.090254
16.7729,0.200127
16.7867,0.172426
16.8005,0.135738
16.8142,0.088251
16.8280,0.123410
16.8417,0.185599
16.8555,0.114956
16.8692,0.180942
16.8830,0.165325
16.8967,0.260228
16.9105,0.162028
16.9242,0.180178
16.9380,0.171663
16.9517,0.152148
16.9655,0.228177
16.9792,0.156912
16.9930,0.099039
17.0068,0.205810
17.0205,0.211718
17.0343,0.175324
17.0480,0.161681
17.0618,0.158840
17.0755,0.213333
17.0893,0.203833
17.1030,0.205489
17.1168,0.123098
17.1305,0.184424
17.1443,0.174222
17.1580,0.194053
17.1718,0.186903
17.1855,0.213585
17.1993,0.169441
17.2131,0.199473
17.2268,0.172737
17.2406,0.226145
17.2543,0.168655
17.2681,0.235117
17.2818,0.218943
17.2956,0.176789
17.3093,0.103210
17.3231,0.209797
17.3368,0.180659
17.3506,0.183914
17.3643,0.161157
17.3781,0.220449
17.3918,0.151267
17.4056,0.125369
17.4194,0.228210
17.4331,0.172718
17.4469,0.190366
17.4606,0.157701
17.4744,0.136447
17.4881,0.193337
17.5019,0.278311
17.5156,0.210491
17.5294,0.223379
17.5431,0.219572
17.5569,0.216439
17.5706,0.221323
17.5844,0.179780
17.5981,0.207117
17.6119,0.238551
17.6257,0.246910
17.6394,0.213508
17.6532,0.151445
17.6669,0.212627
17.6807,0.263327
17.6944,0.198911
17.7082,0.199228
17.7219,0.208912
17.7357,0.206415
17.7494,0.262622
17.7632,0.253774
17.7769,0.247369
17.7907,0.237900
17.8045,0.256321
17.8182,0.224811
17.8320,0.228464
17.8457,0.272548
17.8595,0.240056
17.8732,0.227361
17.8870,0.263361
17.9007,0.293956
17.9145,0.275672
17.9282,0.244816
17.9420,0.265151
17.9557,0.300179
17.9695,0.326526
17.9832,0.318866
17.9970,0.282037
18.0108,0.264197
18.0245,0.352213
18.0383,0.253582
18.0520,0.277546
18.0658,0.289893
18.0795,0.263866
18.0933,0.275313
18.1070,0.240661
18.1208,0.283740
18.1345,0.255031
18.1483,0.249849
18.1620,0.241168
18.1758,0.251279
18.1895,0.233414
18.2033,0.220552
18.2171,0.266539
18.2308,0.213455
18.2446,0.162535
18.2583,0.174164
18.2721,0.211798
18.2858,0.268293
18.2996,0.142504
18.3133,0.221535
18.3271,0.186767
18.3408,0.329714
18.3546,0.262924
18.3683,0.249066
18.3821,0.269171
18.3958,0.201014
18.4096,0.297329
18.4234,0.178381
18.4371,0.203227
18.4509,0.204493
18.4646,0.201737
18.4784,0.229039
18.4921,0.205212
18.5059,0.271466
18.5196,0.222876
18.5334,0.177760
18.5471,0.221596
18.5609,0.247601
18.5746,0.231713
18.5884,0.216019
18.6022,0.247469
18.6159,0.217776
18.6297,0.202050
18.6434,0.234023
18.6572,0.226641
18.6709,0.266195
