two_theta,intensity
5.0000,0.153043
5.0138,0.137374
5.0275,0.169243
5.0413,0.134621
5.0550,0.187542
5.0688,0.146539
5.0825,0.108953
5.0963,0.146266
5.1100,0.144228
5.1238,0.171386
5.1375,0.044511
5.1513,0.117885
5.1650,0.101829
5.1788,0.161182
5.1925,0.142770
5.2063,0.075258
5.2201,0.063519
5.2338,0.129779
5.2476,0.135513
5.2613,0.191518
5.2751,0.088586
5.2888,0.112504
5.3026,0.109701
5.3163,0.156469
5.3301,0.164485
5.3438,0.184683
5.3576,0.045027
5.3713,0.207629
5.3851,0.091008
5.3988,0.161940
5.4126,0.124202
5.4264,0.129517
5.4401,0.120398
5.4539,0.158282
5.4676,0.206511
5.4814,0.184905
5.4951,0.136974
5.5089,0.176134
5.5226,0.187673
5.5364,0.135915
5.5501,0.177399
5.5639,0.156461
5.5776,0.187782
5.5914,0.058476
5.6052,0.165907
5.6189,0.165818
5.6327,0.184478
5.6464,0.124270
5.6602,0.193568
5.6739,0.080400
5.6877,0.122840
5.7014,0.164995
5.7152,0.193167
5.7289,0.184665
5.7427,0.151388
5.7564,0.106891
5.7702,0.116826
5.7839,0.172851
5.7977,0.162062
5.8115,0.175168
5.8252,0.196623
5.8390,0.106326
5.8527,0.120613
5.8665,0.122981
5.8802,0.121430
5.8940,0.182904
5.9077,0.153256
5.9215,0.155258
5.9352,0.144082
5.9490,0.129452
5.9627,0.121543
5.9765,0.128810
5.9902,0.093470
6.0040,0.123980
6.0178,0.078508
6.0315,0.167480
6.0453,0.138481
6.0590,0.191828
6.0728,0.132622
6.0865,0.139398
6.1003,0.123247
6.1140,0.169279
6.1278,0.128268
6.1415,0.128103
6.1553,0.081053
6.1690,0.159350
6.1828,0.106475
6.1965,0.107302
6.2103,0.222674
6.2241,0.192869
6.2378,0.143516
6.2516,0.148004
6.2653,0.187343
6.2791,0.123073
6.2928,0.072323
6.3066,0.168322
6.3203,0.094863
6.3341,0.177414
6.3478,0.102325
6.3616,0.177389
6.3753,0.166357
6.3891,0.177854
6.4029,0.112956
6.4166,0.078181
6.4304,0.190598
6.4441,0.143857
6.4579,0.117506
6.4716,0.143584
6.4854,0.179267
6.4991,0.076864
6.5129,0.182726
6.5266,0.116913
6.5404,0.171811
6.5541,0.112603
6.5679,0.118252
6.5816,0.129429
6.5954,0.208434
6.6092,0.111098
6.6229,0.168571
6.6367,0.138984
6.6504,0.103870
6.6642,0.163325
6.6779,0.163761
6.6917,0.142399
6.7054,0.164640
6.7192,0.174744
6.7329,0.084030
6.7467,0.142095
6.7604,0.159846
6.7742,0.182954
6.7879,0.191162
6.8017,0.165691
6.8155,0.120496
6.8292,0.140706
6.8430,0.125928
6.8567,0.123025
6.8705,0.102246
6.8842,0.151503
6.8980,0.246260
6.9117,0.199882
6.9255,0.148824
6.9392,0.141844
6.9530,0.137220
6.9667,0.141151
6.9805,0.179689
6.9942,0.141287
7.0080,0.082583
7.0218,0.163518
7.0355,0.105872
7.0493,0.148497
7.0630,0.092187
7.0768,0.156277
7.0905,0.186057
7.1043,0.074708
7.1180,0.171475
7.1318,0.080719
7.1455,0.178100
7.1593,0.155029
7.1730,0.138573
7.1868,0.104903
7.2006,0.159843
7.2143,0.191229
7.2281,0.100789
7.2418,0.112621
7.2556,0.158983
7.2693,0.166974
7.2831,0.182771
7.2968,0.158382
7.3106,0.156211
7.3243,0.189431
7.3381,0.041058
7.3518,0.109120
7.3656,0.086756
7.3793,0.206324
7.3931,0.182390
7.4069,0.201001
7.4206,0.160021
7.4344,0.146965
7.4481,0.118093
7.4619,0.168552
7.4756,0.122227
7.4894,0.117842
7.5031,0.121072
7.5169,0.167194
7.5306,0.157165
7.5444,0.155961
7.5581,0.127121
7.5719,0.108093
7.5856,0.131660
