temperature_C,exposure_condition,surface_RH_%,depth_mm,saturation_degree,moisture_content_kg_m3,moisture_loss_rate_kg_m2h,test_duration_hours,rubber_content_%
20,sealed,100,0,0.7230623587328511,144.6124717465702,0.0,24,30
20,sealed,100,10,0.46171431401431584,92.34286280286317,0.0,24,30
20,sealed,100,20,0.2716691570317026,54.333831406340515,0.0,24,30
20,sealed,100,30,0.1745985661554334,34.91971323108668,0.0,24,30
20,sealed,100,40,0.10216834194892525,20.43366838978505,0.0,24,30
20,sealed,100,50,0.05898290117074649,11.796580234149298,0.0,24,30
50,sealed,100,0,0.7757774084473549,155.15548168947097,0.0,24,30
50,sealed,100,10,0.44131797510021975,88.26359502004395,0.0,24,30
50,sealed,100,20,0.2655593406946676,53.11186813893352,0.0,24,30
50,sealed,100,30,0.15938765127801846,31.87753025560369,0.0,24,30
50,sealed,100,40,0.09621550012078699,19.243100024157396,0.0,24,30
50,sealed,100,50,0.06177390726668506,12.354781453337011,0.0,24,30
80,sealed,100,0,0.7091396063694106,141.82792127388214,0.0,24,30
80,sealed,100,10,0.43699318499814616,87.39863699962923,0.0,24,30
80,sealed,100,20,0.28672263236605344,57.34452647321069,0.0,24,30
80,sealed,100,30,0.16477682093305981,32.955364186611966,0.0,24,30
80,sealed,100,40,0.10160863032716515,20.32172606543303,0.0,24,30
80,sealed,100,50,0.06198723977528755,12.39744795505751,0.0,24,30
105,sealed,100,0,0.7509761598750747,150.19523197501493,0.0,24,30
105,sealed,100,10,0.46221963751936507,92.44392750387301,0.0,24,30
105,sealed,100,20,0.2568817212779188,51.37634425558376,0.0,24,30
105,sealed,100,30,0.16354860822811082,32.70972164562217,0.0,24,30
105,sealed,100,40,0.09980924585809349,19.9618491716187,0.0,24,30
105,sealed,100,50,0.06045889815169911,12.091779630339822,0.0,24,30
150,sealed,100,0,0.6571492670995788,131.42985341991576,0.0,24,30
150,sealed,100,10,0.4375027094435075,87.5005418887015,0.0,24,30
150,sealed,100,20,0.2686713598364281,53.73427196728562,0.0,24,30
150,sealed,100,30,0.15591546729066494,31.183093458132987,0.0,24,30
150,sealed,100,40,0.09713969692007393,19.427939384014785,0.0,24,30
150,sealed,100,50,0.058895821506116476,11.779164301223295,0.0,24,30
200,sealed,100,0,0.6498828608063301,129.976572161266,0.0,24,30
200,sealed,100,10,0.419924257030999,83.9848514061998,0.0,24,30
200,sealed,100,20,0.25200013441356955,50.40002688271391,0.0,24,30
200,sealed,100,30,0.14796244439492748,29.592488878985495,0.0,24,30
200,sealed,100,40,0.09455348969068562,18.910697938137126,0.0,24,30
200,sealed,100,50,0.055333821568138444,11.066764313627688,0.0,24,30
20,RH50,50,0,0.7107141796388581,142.1428359277716,0.00122140275816017,24,30
20,RH50,50,10,0.4475834849745595,89.51669699491191,0.001099262482344153,24,30
20,RH50,50,20,0.27815058885253774,55.630117770507546,0.000977122206528136,24,30
20,RH50,50,30,0.16104298126826946,32.208596253653894,0.0008549819307121189,24,30
20,RH50,50,40,0.1033673221545551,20.67346443091102,0.000732841654896102,24,30
20,RH50,50,50,0.0599244782870094,11.98489565740188,0.000610701379080085,24,30
50,RH50,50,0,0.7766301449749436,155.32602899498872,0.0016487212707001282,24,30
50,RH50,50,10,0.4655891713451851,93.11783426903702,0.0014838491436301154,24,30
50,RH50,50,20,0.279800504299082,55.9601008598164,0.0013189770165601027,24,30
50,RH50,50,30,0.1696575548543,33.93151097086,0.0011541048894900896,24,30
50,RH50,50,40,0.1039485007469933,20.78970014939866,0.000989232762420077,24,30
50,RH50,50,50,0.05987994161659183,11.975988323318367,0.0008243606353500641,24,30
