temperature_C,porosity,permeability_m2,saturation_degree,pore_pressure_MPa,moisture_diffusivity_m2_s,damage_parameter,rubber_content_%
20,0.25017977847567247,4.1174973794495616e-17,0.7356029443902613,0.3676384757205125,5.314345408366248e-10,0.3,10
40,0.24908629940336027,3.932346152188162e-17,0.7539872010564753,1.316887344441775,1.000376779180257e-09,0.3,10
60,0.254284541578562,4.8557762972563214e-17,0.75312787627148,3.9611269837932923,1.8131810548194794e-09,0.3,10
80,0.25463516500188127,4.473441741102757e-17,0.7653155546062651,10.33381126140562,3.323748583043294e-09,0.3,10
100,0.2645820136002027,5.927312754784335e-17,0.7699832742952906,20.555214876522935,4.852601378213745e-09,0.3,10
120,0.2577899221620664,1.3381015029611033e-16,0.7437110425185391,0.5339044239066701,6.542553857091199e-09,0.3,10
140,0.2632817979556584,2.077904981692715e-16,0.7356730855125861,0.7908713650784697,9.316706756538636e-09,0.3,10
160,0.26485864808684484,4.002382720231449e-16,0.7157873375876477,0.8962448722492543,1.1658660100691891e-08,0.3,10
180,0.2794847606192987,5.814479860020521e-16,0.7091847842518403,1.9127550850064903,1.613218133743587e-08,0.3,10
200,0.2786296151948537,7.389512158620714e-16,0.6972367010916395,2.691384531785107,2.2090823154408563e-08,0.3,10
220,0.28143641503376077,1.144454265416155e-15,0.7167435835273179,4.001847343989405,2.5140778656095924e-08,0.3,10
240,0.29629101906804756,2.0657289852401485e-15,0.6864831288342714,2.1431352524960277,3.2327603984556144e-08,0.3,10
260,0.2951567907089752,3.3104097984078406e-15,0.7193988191967202,3.2918568941223123,4.8365337062085095e-08,0.3,10
280,0.29049869423487606,3.562453183952136e-15,0.7117583171466509,5.138649761871763,5.035486952804694e-08,0.3,10
300,0.2980137476858567,5.2310017974329745e-15,0.6409243040202316,7.051549257405851,5.713927016226327e-08,0.3,10
320,0.30051598556056003,6.577941830776127e-15,0.6568969456008736,12.88206612206604,7.303675687811044e-08,0.3,10
340,0.3116860577384546,1.1767106015740151e-14,0.6284310631437753,13.762403660296116,6.433945033620995e-08,0.3,10
360,0.3215968790838576,1.260793893361851e-14,0.6412738560027669,20.204173842431686,8.698886247396835e-08,0.3,10
380,0.3084065065639035,1.2868845218366581e-14,0.5900961133949829,37.591460016670986,8.03848890863968e-08,0.3,10
400,0.3124262341496353,1.4083252770946986e-14,0.6282818541295462,48.75625148000076,1.0782917080248288e-07,0.3,10
420,0.3263031813981452,3.0421127977379076e-14,0.6391717381104637,85.98107768453468,1.250677186794349e-07,0.3,10
440,0.34242279684292726,6.229238556856174e-14,0.610884181304844,114.19198179694719,1.2351927998035142e-07,0.3,10
460,0.3325870211417329,9.067394122541244e-14,0.6002081998306061,144.1933769038577,1.4379794042083783e-07,0.3,10
480,0.351371360197202,1.1565482317667179e-13,0.6638508336686746,264.04184545889143,1.8853271786539923e-07,0.3,10
500,0.35050927234073265,1.4828065028661982e-13,0.6099178439974395,387.25366058128594,1.8543922527449028e-07,0.3,10
520,0.35103141025428575,1.7177894788812588e-13,0.5807502815884602,614.8668598586447,1.9259093353121672e-07,0.3,10
540,0.36488425564670973,2.9138307320620414e-13,0.6209856504153456,809.0199621325452,2.45523384231269e-07,0.3,10
560,0.3674492736607784,2.835002819123474e-13,0.6132874866307523,1222.2048800110965,2.739734941539772e-07,0.3,10
580,0.37230737225230587,3.8951468589086184e-13,0.6192017194387828,825.1142317852987,2.962847963505107e-07,0.3,10
600,0.367087715286294,3.9100526178557607e-13,0.5924282093519544,1105.8618793127882,2.827302987144725e-07,0.3,10
620,0.37929805208423706,6.206412464333433e-13,0.5951200601562896,1988.9313942973176,3.347965425708936e-07,0.3,10
640,0.38664185253952793,7.017755338401544e-13,0.5627827961932125,2400.142918177935,3.287523997503929e-07,0.3,10
660,0.38393263102895125,1.0224492172707047e-12,0.6178222855696601,4629.548289156836,4.2093292698861003e-07,0.3,10
680,0.3990155091573935,1.5481290088094762e-12,0.6224094680027872,7025.700053584629,4.197043331329527e-07,0.3,10
700,0.3934288998269577,1.3853774262623726e-12,0.6066549606480338,9861.546646527875,4.4160436057966294e-07,0.3,10
720,0.40227871893850564,2.0014389351361906e-12,0.6171583728508812,13780.9644821217,5.182861584731497e-07,0.3,10
740,0.4031479419567129,1.7342385376328853e-12,0.6294272386559636,21149.211277237406,6.067409772469611e-07,0.3,10
760,0.4093159103465868,2.7144096727498387e-12,0.6182150155557389,35734.905741680566,5.472627697249483e-07,0.3,10
780,0.4075707476731075,3.0944905777110267e-12,0.5991648605998082,41602.72427930297,5.41559580728751e-07,0.3,10
800,0.4091826581159484,3.4949161189488596e-12,0.5953389987719233,63451.32447885318,5.969478452674518e-07,0.3,10
