temperature_C,porosity,permeability_m2,saturation_degree,pore_pressure_MPa,moisture_diffusivity_m2_s,damage_parameter,rubber_content_%
20,0.28348441288774284,6.919046884724068e-17,0.7476157773078588,0.33601749520862656,6.09718534811466e-10,0.3,20
40,0.295861387588575,9.908957908895904e-17,0.7698982178826748,1.3353545430042013,1.0170703673423002e-09,0.3,20
60,0.3007805861689125,8.088507202299382e-17,0.7410357814023827,3.2562082221294366,1.7523043712162126e-09,0.3,20
80,0.2837120783579884,6.584068171422672e-17,0.7572606525106043,10.675993016033038,2.9558061158034663e-09,0.3,20
100,0.2855374696322047,7.265177266919826e-17,0.7369313815546785,21.327511378079393,4.193211974008873e-09,0.3,20
120,0.28620812393410294,2.1417795966978564e-16,0.731242945039727,0.508333068578121,6.173213345860296e-09,0.3,20
140,0.30372467287869426,5.34126591108984e-16,0.7422161329828203,0.6638472234272842,9.394503506648538e-09,0.3,20
160,0.31141128519350264,6.515144487768459e-16,0.7194645704737536,1.2426110297314763,1.2375765862555088e-08,0.3,20
180,0.31376631291751733,9.598295540146257e-16,0.7250695546355872,1.770786040665661,1.6386408800168784e-08,0.3,20
200,0.3188924769640718,1.2290806775098571e-15,0.7462840636566277,2.6949016261064274,2.3632377266449722e-08,0.3,20
220,0.32235933488409746,2.2796767875059403e-15,0.7013408981293283,3.372174128187378,2.440359023386818e-08,0.3,20
240,0.33179560522428586,3.3053879891468803e-15,0.7091653334763595,2.4719285905170723,3.703406945696827e-08,0.3,20
260,0.32814795996132035,5.366352585645203e-15,0.6705685929432837,3.610409166146845,3.6770135263953014e-08,0.3,20
280,0.33317276165486753,7.603321505919587e-15,0.6377506801821078,4.650243997964575,4.415047468585481e-08,0.3,20
300,0.3441556288809638,9.434493410518548e-15,0.6483723101933413,6.174493829316707,5.143733559623935e-08,0.3,20
320,0.35649245712131505,1.5833308245265528e-14,0.6450232401393595,10.221620804414366,6.410338061968469e-08,0.3,20
340,0.35656063264673216,1.5774937275523116e-14,0.629445010505685,13.63466969536597,6.884006995271463e-08,0.3,20
360,0.35091641550124997,2.121762326438272e-14,0.5888946166556667,19.585450357548034,7.545467571545601e-08,0.3,20
380,0.3518039324553018,2.316410091432924e-14,0.6009034589967707,29.686213405724118,9.380511600926278e-08,0.3,20
400,0.3616639207670751,3.544491510904451e-14,0.6295024544938521,45.25720581440137,1.0729943761215051e-07,0.3,20
420,0.36573807793705604,6.758673983819125e-14,0.6193630678007738,77.70895128419106,1.2744698951819141e-07,0.3,20
440,0.3832642470016049,1.2575584967069287e-13,0.5762943087011775,96.1641272341162,1.3036578393311015e-07,0.3,20
460,0.38195537959980247,1.9301794121528318e-13,0.591829144822916,166.78431558144223,1.3851354989512594e-07,0.3,20
480,0.39378048561198625,2.625617327870645e-13,0.6220792505018942,269.73399152836555,1.6573635647290958e-07,0.3,20
500,0.3968955576861689,3.6598814412933337e-13,0.6055161379312319,168.5261997272772,1.8347881946010745e-07,0.3,20
520,0.4022930952682502,4.937295635950837e-13,0.6414602340033638,325.1249138613522,2.4058006452944543e-07,0.3,20
540,0.4023366626317803,5.082634225263158e-13,0.6042370626056196,421.20306193529535,2.1394696638697263e-07,0.3,20
560,0.4152529966047797,7.824109454040441e-13,0.6241813757725104,552.1523849005894,2.9946499093798264e-07,0.3,20
580,0.4271240875207446,8.952803839218321e-13,0.6002213225531413,859.1682127644553,2.7319975521595523e-07,0.3,20
600,0.42481177786396024,1.3157972092970118e-12,0.6112327022406258,1305.5308771036923,3.1102430205502117e-07,0.3,20
620,0.4340087926811228,1.5498772236226856e-12,0.6306664700246206,1825.452083689193,3.8980242428373625e-07,0.3,20
640,0.4316793102524121,2.2346834392253888e-12,0.5874053072418279,3085.625196178468,3.7869274235627524e-07,0.3,20
660,0.43871191247329544,2.895380877542172e-12,0.6483689015740075,4278.63481843424,4.6951737820771657e-07,0.3,20
680,0.4416753887355659,3.3150934926697966e-12,0.6260329685400238,6816.143166814037,5.09440277285917e-07,0.3,20
700,0.45103347654368503,4.108538231406617e-12,0.630925543973347,10641.217042733515,4.938063767171994e-07,0.3,20
720,0.45558806180670885,5.158707705684997e-12,0.584605735918567,13238.658588427159,4.6161268618641746e-07,0.3,20
740,0.4515505909455355,5.813871531430546e-12,0.6312988602102634,24176.486079211718,6.508697603769448e-07,0.3,20
760,0.46564414659227465,5.595823236601336e-12,0.5523766805891727,35693.368654594124,4.786954356526598e-07,0.3,20
780,0.46781423148960183,6.759262030099714e-12,0.5981951158116009,48567.20985536766,6.136430294110722e-07,0.3,20
800,0.46792100606773096,9.137446486420836e-12,0.6308580597234071,73928.54307276546,6.574949877445348e-07,0.3,20
