temperature_C,porosity,permeability_m2,saturation_degree,pore_pressure_MPa,moisture_diffusivity_m2_s,damage_parameter,rubber_content_%
20,0.30089484108942405,9.519990033630583e-17,0.7481031470278466,0.3188610528946366,5.588675604744031e-10,0.3,30
40,0.3049822736608066,6.847736265588439e-17,0.7487208256948507,1.4870126485271564,9.61894047868654e-10,0.3,30
60,0.3055783385956851,7.84417849287506e-17,0.7555596892884302,3.38590743302543,1.8381566519837898e-09,0.3,30
80,0.319343047634766,1.0822566540576957e-16,0.7581406025077565,9.429266676792308,2.9106677495655184e-09,0.3,30
100,0.29999263319936886,9.755665198030666e-17,0.7534407016777848,23.601951326639472,4.0463348474548425e-09,0.3,30
120,0.31717271458735097,3.4349398311479713e-16,0.7234747338816588,0.5125578218869025,6.421170074423418e-09,0.3,30
140,0.3110576637062485,5.615758148804452e-16,0.7329795485550412,0.6615990052827405,8.810719169080877e-09,0.3,30
160,0.32791989320870557,9.256978257346125e-16,0.7236157430453425,1.1299315712254867,1.2876774411465748e-08,0.3,30
180,0.33974375173383164,1.0209908097334817e-15,0.6960008880675245,1.5990048445623384,1.5151570593746e-08,0.3,30
200,0.349442233758493,1.796712740138492e-15,0.7108404759973806,2.434141865578692,1.9166377109053032e-08,0.3,30
220,0.34340091429967445,2.9465489178261896e-15,0.693097578581306,1.4334272328571387,2.741824143639238e-08,0.3,30
240,0.35531750649198396,5.263802423462041e-15,0.6848144908855579,1.8234605881023387,3.2725230814616875e-08,0.3,30
260,0.35121845224539866,5.749328282714177e-15,0.6845490984338751,2.8109077419179664,4.0019798442700346e-08,0.3,30
280,0.36312236998158803,9.667463449625347e-15,0.6792314042601969,4.78718697323218,4.9961366055416294e-08,0.3,30
300,0.37557075577137833,1.3700631653512084e-14,0.6644870164803269,6.714272145933633,5.832608141646484e-08,0.3,30
320,0.3751801712321766,2.1641156595334317e-14,0.6427503396992188,9.254471758000095,6.512076788905726e-08,0.3,30
340,0.38233607770260203,3.002259543883072e-14,0.655609255928574,17.637468858103663,7.836358968068817e-08,0.3,30
360,0.37908566198259136,3.426560914139412e-14,0.6223951599851569,19.717162584879514,8.539950428953976e-08,0.3,30
380,0.39257545478383515,4.3116028630706145e-14,0.6472969115206557,34.93457659453636,1.0327168105937204e-07,0.3,30
400,0.3916310366440886,6.33299676156989e-14,0.622990182048448,46.57338289166431,1.1105063898321707e-07,0.3,30
420,0.39116762252352455,1.2369362897494578e-13,0.6271758233420403,60.977488224598076,1.3038682453765595e-07,0.3,30
440,0.4184005444597077,2.2946888821380304e-13,0.5985394410816438,113.78493170435699,1.286928708548966e-07,0.3,30
460,0.4221592583070402,3.6952798569016183e-13,0.6224082466033608,85.03551758141936,1.7000901493570316e-07,0.3,30
480,0.4197074840081704,4.970930952315267e-13,0.6342623994905444,131.3099833659743,2.0450178136220472e-07,0.3,30
500,0.424270720637433,6.674905791566576e-13,0.6229662960818313,154.50203617405634,2.1442646452153458e-07,0.3,30
520,0.4214828209535332,7.790492376316621e-13,0.5997599798974174,241.19935560785152,2.363661087432859e-07,0.3,30
540,0.4455679595958923,1.3461114951659624e-12,0.6092939293717509,355.107766926093,2.4745909775546225e-07,0.3,30
560,0.4553250176940544,1.423529006457808e-12,0.6309058504238906,538.7362184965848,2.75797807434578e-07,0.3,30
580,0.4523621403509951,1.5195115434841533e-12,0.6390272195043065,941.5659347325542,3.1061348237780764e-07,0.3,30
600,0.4594772619287401,2.383482929625887e-12,0.6061011950663466,1163.8626477048908,3.103875798459062e-07,0.3,30
620,0.4679058507727177,2.749093536233778e-12,0.6012181913584745,1977.869440488045,3.452901852773766e-07,0.3,30
640,0.4698136052000769,4.082900306411806e-12,0.61413355236115,2549.0990021732077,3.8709148632419037e-07,0.3,30
660,0.4843825277473904,6.192709232589958e-12,0.6096203274676006,4134.576582133962,4.166555662336648e-07,0.3,30
680,0.480428509872882,6.203920224434272e-12,0.6398327196055249,7307.324823633774,4.558521405994119e-07,0.3,30
700,0.48227651172476554,9.067491737804678e-12,0.6187886245194155,9700.513181607985,5.245323014638425e-07,0.3,30
720,0.48505633574377927,9.058204663541523e-12,0.610212026563677,13823.287367875688,5.413946255413532e-07,0.3,30
740,0.49318368085670994,1.0975097402911189e-11,0.602031687831966,21424.158172377527,5.145032802994168e-07,0.3,30
760,0.49946290803522986,1.3105429760993413e-11,0.6414865269174523,30983.73417084816,6.641526079550532e-07,0.3,30
780,0.5,1.4298801332727079e-11,0.5910465108756691,44874.95300926144,5.694183416434035e-07,0.3,30
800,0.5,1.4086966441921885e-11,0.6417614971214518,64489.1994811571,6.940961197994066e-07,0.3,30
