temperature_C,exposure_condition,surface_RH_%,depth_mm,saturation_degree,moisture_content_kg_m3,moisture_loss_rate_kg_m2h,test_duration_hours,rubber_content_%
20,sealed,100,0,0.7256861647500765,145.13723295001532,0.0,24,25
20,sealed,100,10,0.4370055763483199,87.40111526966398,0.0,24,25
20,sealed,100,20,0.26402907232296957,52.805814464593915,0.0,24,25
20,sealed,100,30,0.16347873775068403,32.69574755013681,0.0,24,25
20,sealed,100,40,0.10444548458622767,20.889096917245535,0.0,24,25
20,sealed,100,50,0.06087619638099918,12.175239276199836,0.0,24,25
50,sealed,100,0,0.7355274876079289,147.10549752158576,0.0,24,25
50,sealed,100,10,0.43871120675817576,87.74224135163516,0.0,24,25
50,sealed,100,20,0.2796988181009083,55.93976362018166,0.0,24,25
50,sealed,100,30,0.16536316145510288,33.072632291020575,0.0,24,25
50,sealed,100,40,0.10393966552428048,20.787933104856098,0.0,24,25
50,sealed,100,50,0.06334535572763503,12.669071145527006,0.0,24,25
80,sealed,100,0,0.7603704427282988,152.07408854565975,0.0,24,25
80,sealed,100,10,0.465681272100706,93.1362544201412,0.0,24,25
80,sealed,100,20,0.26897689217611936,53.795378435223874,0.0,24,25
80,sealed,100,30,0.17315645953492845,34.63129190698569,0.0,24,25
80,sealed,100,40,0.10590866997267388,21.181733994534778,0.0,24,25
80,sealed,100,50,0.06058837116299098,12.117674232598196,0.0,24,25
105,sealed,100,0,0.7174883328047008,143.49766656094016,0.0,24,25
105,sealed,100,10,0.4701310772728671,94.02621545457343,0.0,24,25
105,sealed,100,20,0.2777135696254182,55.54271392508364,0.0,24,25
105,sealed,100,30,0.16716921788572564,33.433843577145126,0.0,24,25
105,sealed,100,40,0.1001110890145382,20.02221780290764,0.0,24,25
105,sealed,100,50,0.06563315818407854,13.126631636815707,0.0,24,25
150,sealed,100,0,0.719997865309033,143.9995730618066,0.0,24,25
150,sealed,100,10,0.4202924869059031,84.05849738118062,0.0,24,25
150,sealed,100,20,0.26847235389330876,53.69447077866175,0.0,24,25
150,sealed,100,30,0.1594728614206978,31.89457228413956,0.0,24,25
150,sealed,100,40,0.0956765416211907,19.13530832423814,0.0,24,25
150,sealed,100,50,0.05340926457258958,10.681852914517915,0.0,24,25
200,sealed,100,0,0.7063441492745067,141.26882985490136,0.0,24,25
200,sealed,100,10,0.4337698028081384,86.75396056162768,0.0,24,25
200,sealed,100,20,0.23793464200723594,47.58692840144719,0.0,24,25
200,sealed,100,30,0.1478613832733803,29.57227665467606,0.0,24,25
200,sealed,100,40,0.09065136546091491,18.130273092182982,0.0,24,25
200,sealed,100,50,0.056427947966880734,11.285589593376146,0.0,24,25
20,RH50,50,0,0.7274875412414289,145.49750824828578,0.00122140275816017,24,25
20,RH50,50,10,0.4562060196938873,91.24120393877746,0.001099262482344153,24,25
20,RH50,50,20,0.27797845454803516,55.59569090960703,0.000977122206528136,24,25
20,RH50,50,30,0.16219952343129054,32.43990468625811,0.0008549819307121189,24,25
20,RH50,50,40,0.09717321983640051,19.434643967280103,0.000732841654896102,24,25
20,RH50,50,50,0.061825275736269295,12.365055147253859,0.000610701379080085,24,25
50,RH50,50,0,0.7323534332826456,146.47068665652913,0.0016487212707001282,24,25
50,RH50,50,10,0.47747284916998023,95.49456983399605,0.0014838491436301154,24,25
50,RH50,50,20,0.2781161620397772,55.623232407955435,0.0013189770165601027,24,25
50,RH50,50,30,0.16446328678602962,32.89265735720592,0.0011541048894900896,24,25
50,RH50,50,40,0.09959521319307751,19.9190426386155,0.000989232762420077,24,25
50,RH50,50,50,0.06370262965569336,12.740525931138672,0.0008243606353500641,24,25
80,RH50,50,0,0.7636191408942139,152.72382817884278,0.002225540928492468,24,25
80,RH50,50,10,0.46212878167712323,92.42575633542465,0.0020029868356432213,24,25
80,RH50,50,20,0.2713454182837067,54.26908365674134,0.0017804327427939745,24,25
80,RH50,50,30,0.16991125607322624,33.982251214645245,0.0015578786499447275,24,25
80,RH50,50,40,0.10174020580981008,20.348041161962016,0.0013353245570954808,24,25
80,RH50,50,50,0.06171098603389111,12.342197206778222,0.001112770464246234,24,25
105,RH50,50,0,0.7164032458469339,143.28064916938678,0.002857651118063164,24,25
105,RH50,50,10,0.45785408125017824,91.57081625003565,0.0025718860062568477,24,25
105,RH50,50,20,0.2729781642537546,54.59563285075092,0.0022861208944505314,24,25
105,RH50,50,30,0.16574519850024383,33.14903970004877,0.0020003557826442147,24,25
105,RH50,50,40,0.09785267343683313,19.570534687366624,0.0017145906708378982,24,25
105,RH50,50,50,0.060500977369120294,12.100195473824058,0.001428825559031582,24,25
150,RH50,50,0,0.7321744000149969,146.4348800029994,0.004481689070338065,24,25
150,RH50,50,10,0.4689505893357428,93.79011786714855,0.004033520163304259,24,25
150,RH50,50,20,0.25556715056311535,51.11343011262307,0.003585351256270452,24,25
150,RH50,50,30,0.16438176539426796,32.87635307885359,0.0031371823492366453,24,25
150,RH50,50,40,0.09601447208136098,19.202894416272194,0.0026890134422028387,24,25
150,RH50,50,50,0.058389159367257464,11.677831873451492,0.0022408445351690324,24,25
200,RH50,50,0,0.6583690763160298,131.67381526320597,0.007389056098930651,24,25
200,RH50,50,10,0.4150887339023875,83.0177467804775,0.006650150489037586,24,25
200,RH50,50,20,0.24866785578213207,49.733571156426414,0.005911244879144521,24,25
200,RH50,50,30,0.15209803969815058,30.419607939630115,0.005172339269251455,24,25
200,RH50,50,40,0.09549756739161021,19.09951347832204,0.0044334336593583904,24,25
200,RH50,50,50,0.05568888721473354,11.137777442946708,0.0036945280494653254,24,25
20,RH95,95,0,0.7571208530888494,151.42417061776987,0.00011426308117957227,24,25
20,RH95,95,10,0.4566998159989116,91.33996319978232,0.00010283677306161505,24,25
20,RH95,95,20,0.2799505505388337,55.990110107766746,9.141046494365783e-05,24,25
20,RH95,95,30,0.16346036557676957,32.692073115353914,7.998415682570059e-05,24,25
20,RH95,95,40,0.10795206798825883,21.590413597651768,6.855784870774337e-05,24,25
20,RH95,95,50,0.05780552691034678,11.561105382069355,5.713154058978614e-05,24,25
50,RH95,95,0,0.7513189431605808,150.26378863211616,0.00013956124250860897,24,25
50,RH95,95,10,0.4465025601359426,89.30051202718852,0.00012560511825774806,24,25
50,RH95,95,20,0.28391362907088635,56.78272581417727,0.00011164899400688718,24,25
50,RH95,95,30,0.16398044359386643,32.796088718773284,9.769286975602627e-05,24,25
50,RH95,95,40,0.09861842437735448,19.723684875470894,8.373674550516537e-05,24,25
50,RH95,95,50,0.061807379955964234,12.361475991192847,6.978062125430448e-05,24,25
80,RH95,95,0,0.7433682022996726,148.67364045993452,0.00017046048653227531,24,25
80,RH95,95,10,0.4426214025398054,88.52428050796108,0.0001534144378790478,24,25
80,RH95,95,20,0.27933018133998877,55.86603626799776,0.00013636838922582027,24,25
80,RH95,95,30,0.16621859760714008,33.24371952142802,0.00011932234057259272,24,25
80,RH95,95,40,0.10158505148747687,20.317010297495376,0.00010227629191936518,24,25
80,RH95,95,50,0.06099806914222594,12.199613828445187,8.523024326613766e-05,24,25
105,RH95,95,0,0.7766497023909938,155.32994047819878,0.00020137527074704767,24,25
105,RH95,95,10,0.46196686261097397,92.3933725221948,0.00018123774367234292,24,25
105,RH95,95,20,0.2722294357660528,54.445887153210556,0.00016110021659763814,24,25
105,RH95,95,30,0.16693731931482209,33.38746386296442,0.00014096268952293336,24,25
105,RH95,95,40,0.10085566025751982,20.171132051503964,0.0001208251624482286,24,25
105,RH95,95,50,0.06260615567012404,12.521231134024807,0.00010068763537352383,24,25
150,RH95,95,0,0.7021959207654476,140.4391841530895,0.00027182818284590454,24,25
150,RH95,95,10,0.4380089410837574,87.60178821675147,0.0002446453645613141,24,25
150,RH95,95,20,0.2532330168859428,50.64660337718856,0.00021746254627672364,24,25
150,RH95,95,30,0.1580458950000191,31.609179000003817,0.00019027972799213317,24,25
150,RH95,95,40,0.09840430432167425,19.68086086433485,0.00016309690970754272,24,25
150,RH95,95,50,0.06335934826653791,12.671869653307583,0.00013591409142295227,24,25
200,RH95,95,0,0.6914917498416142,138.29834996832284,0.00037936678946831777,24,25
200,RH95,95,10,0.4197071397278195,83.9414279455639,0.000341430110521486,24,25
200,RH95,95,20,0.25596757410124715,51.19351482024943,0.0003034934315746542,24,25
200,RH95,95,30,0.1492800346755475,29.8560069351095,0.00026555675262782244,24,25
200,RH95,95,40,0.09345309772968972,18.690619545937945,0.00022762007368099066,24,25
200,RH95,95,50,0.05483773183627894,10.967546367255789,0.00018968339473415889,24,25
