temperature_C,exposure_condition,surface_RH_%,depth_mm,saturation_degree,moisture_content_kg_m3,moisture_loss_rate_kg_m2h,test_duration_hours,rubber_content_%
20,sealed,100,0,0.7495017925699768,149.90035851399537,0.0,24,0
20,sealed,100,10,0.45701800598571,91.40360119714201,0.0,24,0
20,sealed,100,20,0.2854370939399489,57.08741878798978,0.0,24,0
20,sealed,100,30,0.16561063180572222,33.122126361144446,0.0,24,0
20,sealed,100,40,0.10529588882231418,21.059177764462834,0.0,24,0
20,sealed,100,50,0.06267515364310049,12.535030728620097,0.0,24,0
50,sealed,100,0,0.7515105577290286,150.30211154580573,0.0,24,0
50,sealed,100,10,0.4685994844764962,93.71989689529924,0.0,24,0
50,sealed,100,20,0.27231740894250567,54.463481788501134,0.0,24,0
50,sealed,100,30,0.1626231303463343,32.52462606926686,0.0,24,0
50,sealed,100,40,0.10468195371897461,20.936390743794924,0.0,24,0
50,sealed,100,50,0.0616670069768279,12.33340139536558,0.0,24,0
80,sealed,100,0,0.7454451171561046,149.08902343122094,0.0,24,0
80,sealed,100,10,0.45643271988915096,91.28654397783019,0.0,24,0
80,sealed,100,20,0.2761656316865586,55.233126337311724,0.0,24,0
80,sealed,100,30,0.16704894478493926,33.40978895698785,0.0,24,0
80,sealed,100,40,0.09730204088084914,19.460408176169828,0.0,24,0
80,sealed,100,50,0.06314727456510932,12.629454913021865,0.0,24,0
105,sealed,100,0,0.7556588950786458,151.13177901572917,0.0,24,0
105,sealed,100,10,0.4445007818351691,88.90015636703382,0.0,24,0
105,sealed,100,20,0.2709855151719907,54.19710303439814,0.0,24,0
105,sealed,100,30,0.16572348249719976,33.14469649943995,0.0,24,0
105,sealed,100,40,0.10320213757118094,20.640427514236187,0.0,24,0
105,sealed,100,50,0.060769710261330954,12.15394205226619,0.0,24,0
150,sealed,100,0,0.7011799088368006,140.23598176736013,0.0,24,0
150,sealed,100,10,0.44717027133108506,89.43405426621702,0.0,24,0
150,sealed,100,20,0.27041366475974626,54.082732951949254,0.0,24,0
150,sealed,100,30,0.15682868508776784,31.36573701755357,0.0,24,0
150,sealed,100,40,0.09765618027434207,19.531236054868415,0.0,24,0
150,sealed,100,50,0.05730887847717444,11.461775695434888,0.0,24,0
200,sealed,100,0,0.6619722845075219,132.39445690150438,0.0,24,0
200,sealed,100,10,0.4129914563401905,82.59829126803811,0.0,24,0
