x_mm,y_mm,z_m
-20.218113,-10.541972,-1.508554772e-07
-19.576268,-10.541972,2.129622896e-08
-18.934423,-10.541972,-3.998325007e-08
-18.292579,-10.541972,8.486004740e-08
-17.650734,-10.541972,8.814157359e-08
-17.008889,-10.541972,1.070754869e-07
-16.367044,-10.541972,1.878862523e-07
-15.725199,-10.541972,-4.743760178e-08
-15.083354,-10.541972,-2.448054285e-08
-14.441509,-10.541972,-1.121240140e-07
-13.799665,-10.541972,-8.232841651e-08
-13.157820,-10.541972,-4.979177295e-08
-12.515975,-10.541972,-1.382632499e-07
-11.874130,-10.541972,1.774730393e-07
-11.232285,-10.541972,-7.854792488e-08
-10.590440,-10.541972,5.547390493e-08
-9.948595,-10.541972,-2.870142855e-08
-9.306751,-10.541972,-8.185063331e-08
-8.664906,-10.541972,1.417154564e-07
-8.023061,-10.541972,-2.991344052e-09
-7.381216,-10.541972,5.784411280e-08
-6.739371,-10.541972,8.539558809e-08
-6.097526,-10.541972,-1.155807759e-08
-5.455681,-10.541972,1.212481652e-07
-4.813836,-10.541972,-4.429957063e-08
-4.171992,-10.541972,6.778615195e-08
-3.530147,-10.541972,-2.045100352e-08
-2.888302,-10.541972,9.104229806e-08
-2.246457,-10.541972,-7.397568023e-09
-1.604612,-10.541972,6.012744966e-08
-0.962767,-10.541972,2.295275168e-08
-0.320922,-10.541972,1.351212052e-07
0.320922,-10.541972,-3.397167841e-08
0.962767,-10.541972,9.264649466e-08
1.604612,-10.541972,-3.099148134e-08
2.246457,-10.541972,6.593015279e-09
2.888302,-10.541972,2.746119031e-08
3.530147,-10.541972,-6.165734490e-08
4.171992,-10.541972,8.097210115e-08
4.813836,-10.541972,-1.438022244e-07
5.455681,-10.541972,8.639399103e-08
6.097526,-10.541972,8.758755593e-08
6.739371,-10.541972,2.917610093e-07
7.381216,-10.541972,-2.624977799e-08
8.023061,-10.541972,-5.368076784e-08
8.664906,-10.541972,6.413130266e-08
9.306751,-10.541972,3.013060329e-08
9.948595,-10.541972,3.718119999e-08
10.590440,-10.541972,-5.235326877e-08
11.232285,-10.541972,7.381161915e-08
11.874130,-10.541972,1.091531093e-07
12.515975,-10.541972,6.598500881e-08
13.157820,-10.541972,-6.111403194e-09
13.799665,-10.541972,-1.517241076e-08
14.441509,-10.541972,1.063149562e-07
15.083354,-10.541972,1.953418599e-07
15.725199,-10.541972,1.094206891e-07
16.367044,-10.541972,-6.191621577e-09
17.008889,-10.541972,6.558313232e-08
17.650734,-10.541972,-3.140943367e-08
18.292579,-10.541972,1.397045360e-07
18.934423,-10.541972,-1.000922979e-07
19.576268,-10.541972,-1.470265152e-07
20.218113,-10.541972,1.690634571e-07
-20.218113,-10.207306,1.104421786e-09
-19.576268,-10.207306,2.066916628e-07
-18.934423,-10.207306,2.932709134e-08
-18.292579,-10.207306,-1.165902934e-07
-17.650734,-10.207306,7.452486783e-08
-17.008889,-10.207306,1.719964776e-08
-16.367044,-10.207306,9.757905246e-08
-15.725199,-10.207306,-8.311730072e-09
-15.083354,-10.207306,2.422624671e-08
-14.441509,-10.207306,5.446844226e-09
-13.799665,-10.207306,-8.751312938e-08
-13.157820,-10.207306,1.201753505e-07
-12.515975,-10.207306,3.834966391e-08
-11.874130,-10.207306,1.446585407e-07
-11.232285,-10.207306,3.664257705e-09
-10.590440,-10.207306,1.138421364e-07
-9.948595,-10.207306,1.237365386e-07
-9.306751,-10.207306,-3.559043007e-08
-8.664906,-10.207306,7.035126185e-09
-8.023061,-10.207306,1.652088962e-07
-7.381216,-10.207306,-1.598499865e-07
-6.739371,-10.207306,6.048831858e-08
-6.097526,-10.207306,-1.945634615e-08
-5.455681,-10.207306,-2.621699381e-08
-4.813836,-10.207306,1.251274974e-07
-4.171992,-10.207306,1.348811641e-07
-3.530147,-10.207306,1.132795106e-07
-2.888302,-10.207306,1.301800744e-07
-2.246457,-10.207306,-1.000376894e-07
-1.604612,-10.207306,7.828790541e-08
-0.962767,-10.207306,-7.951006686e-08
-0.320922,-10.207306,1.332170234e-07
0.320922,-10.207306,1.181317619e-07
0.962767,-10.207306,7.550949728e-08
1.604612,-10.207306,1.235520662e-07
2.246457,-10.207306,-1.664882181e-07
2.888302,-10.207306,9.195929589e-08
3.530147,-10.207306,1.393699548e-07
4.171992,-10.207306,-3.524134061e-07
4.813836,-10.207306,5.298042181e-08
5.455681,-10.207306,1.001228009e-07
6.097526,-10.207306,9.196444751e-08
6.739371,-10.207306,-3.418600103e-08
7.381216,-10.207306,-3.972426002e-08
8.023061,-10.207306,6.089430713e-08
8.664906,-10.207306,-7.720023702e-09
9.306751,-10.207306,-1.709740997e-07
9.948595,-10.207306,6.402552075e-09
10.590440,-10.207306,7.768682925e-08
11.232285,-10.207306,9.228087546e-08
11.874130,-10.207306,-1.993529614e-10
12.515975,-10.207306,1.184142032e-08
13.157820,-10.207306,-8.833863178e-08
13.799665,-10.207306,4.510651423e-08
14.441509,-10.207306,5.750093723e-08
15.083354,-10.207306,-4.029037278e-08
15.725199,-10.207306,3.867192798e-08
16.367044,-10.207306,-4.147769890e-08
17.008889,-10.207306,-1.204855441e-07
17.650734,-10.207306,7.061060763e-08
18.292579,-10.207306,5.619804982e-08
18.934423,-10.207306,-1.142578332e-07
19.576268,-10.207306,1.265862563e-08
20.218113,-10.207306,-9.570528135e-08
-20.218113,-9.872641,5.411533537e-08
-19.576268,-9.872641,1.125692225e-08
-18.934423,-9.872641,-1.914968900e-07
-18.292579,-9.872641,8.062694218e-09
-17.650734,-9.872641,-1.650383926e-07
-17.008889,-9.872641,-6.741550107e-08
-16.367044,-9.872641,4.805102249e-09
-15.725199,-9.872641,-5.396428796e-08
-15.083354,-9.872641,-1.482256916e-07
-14.441509,-9.872641,-8.474657017e-08
-13.799665,-9.872641,4.125883045e-08
-13.157820,-9.872641,9.798207129e-08
-12.515975,-9.872641,-1.019840001e-07
-11.874130,-9.872641,3.913254825e-08
-11.232285,-9.872641,1.235977316e-08
-10.590440,-9.872641,-1.054518592e-07
-9.948595,-9.872641,-7.813948004e-08
-9.306751,-9.872641,-1.135002272e-07
-8.664906,-9.872641,1.070201983e-07
-8.023061,-9.872641,-2.601044166e-07
-7.381216,-9.872641,-1.467676103e-08
-6.739371,-9.872641,-1.982069910e-08
-6.097526,-9.872641,-7.343263471e-08
-5.455681,-9.872641,-2.825578095e-08
-4.813836,-9.872641,-1.259311344e-08
-4.171992,-9.872641,1.079442805e-07
-3.530147,-9.872641,8.943305863e-08
-2.888302,-9.872641,5.356838141e-09
-2.246457,-9.872641,1.107498834e-07
-1.604612,-9.872641,-1.016211181e-07
-0.962767,-9.872641,1.785940541e-07
-0.320922,-9.872641,8.077506131e-08
0.320922,-9.872641,-4.390130359e-08
0.962767,-9.872641,-1.386047415e-07
1.604612,-9.872641,1.013136525e-07
2.246457,-9.872641,-2.413373010e-08
2.888302,-9.872641,2.524861886e-07
3.530147,-9.872641,1.315277699e-07
4.171992,-9.872641,-1.159177430e-07
4.813836,-9.872641,9.030127053e-09
5.455681,-9.872641,-4.982843049e-08
6.097526,-9.872641,6.462041438e-08
6.739371,-9.872641,-1.138056540e-08
7.381216,-9.872641,-6.606302326e-09
8.023061,-9.872641,3.222595681e-08
8.664906,-9.872641,2.019634236e-07
9.306751,-9.872641,2.994392461e-08
9.948595,-9.872641,1.458101532e-07
10.590440,-9.872641,-3.141861016e-08
11.232285,-9.872641,2.227587049e-08
11.874130,-9.872641,-7.058007385e-08
12.515975,-9.872641,-2.063264037e-08
13.157820,-9.872641,-6.785407374e-08
13.799665,-9.872641,-1.027837050e-08
14.441509,-9.872641,-2.083205188e-07
15.083354,-9.872641,-1.190588256e-08
15.725199,-9.872641,7.929942359e-08
16.367044,-9.872641,-1.367152185e-07
17.008889,-9.872641,-5.304148264e-08
17.650734,-9.872641,2.435881119e-08
18.292579,-9.872641,-2.342108434e-08
