temperature_C,mass_pct,d_mass_pct_per_C
25,100.053,0.0
30,100.114,0.01227
35,99.942,-0.03456
40,100.12,0.03569
45,100.066,-0.01091
50,100.067,0.0002
55,99.903,-0.03274
60,100.049,0.02926
65,99.908,-0.02819
70,99.835,-0.01459
75,99.924,0.01775
80,99.873,-0.01024
85,99.823,-0.01005
90,99.906,0.01669
95,99.765,-0.02824
100,99.811,0.00932
105,99.821,0.00186
110,99.697,-0.0247
115,99.539,-0.03166
120,99.264,-0.05505
125,99.168,-0.01912
130,99.056,-0.02243
135,98.959,-0.01947
140,98.774,-0.03697
145,98.373,-0.08021
150,98.356,-0.00333
155,98.128,-0.04551
160,97.805,-0.06467
165,97.799,-0.00121
170,97.758,-0.00823
175,97.426,-0.06638
180,97.602,0.03522
185,97.42,-0.03637
190,97.249,-0.03419
195,97.313,0.01266
200,97.345,0.00643
205,97.297,-0.00957
210,97.031,-0.0531
215,96.962,-0.01384
220,96.766,-0.03924
225,96.873,0.02147
230,96.672,-0.04018
235,96.306,-0.07335
240,95.864,-0.08837
245,95.559,-0.06095
250,94.93,-0.12577
255,94.199,-0.14624
260,93.103,-0.21927
265,91.869,-0.24679
270,90.157,-0.34236
275,88.088,-0.41373
280,85.703,-0.47704
285,82.882,-0.5643
290,79.604,-0.65552
295,76.107,-0.69948
300,72.338,-0.75379
305,68.782,-0.71114
310,65.064,-0.74363
315,61.859,-0.64087
320,59.03,-0.5658
325,56.615,-0.48309
330,54.702,-0.38264
335,52.962,-0.34799
340,51.618,-0.26877
345,50.693,-0.18495
350,50.011,-0.13649
355,49.42,-0.11817
360,48.892,-0.10553
365,48.487,-0.08105
370,48.382,-0.02091
375,48.141,-0.04834
380,47.933,-0.04148
385,47.755,-0.03564
390,47.851,0.01914
395,47.604,-0.04926
400,47.749,0.02889
405,47.521,-0.04556
410,47.644,0.02466
415,47.518,-0.02522
420,47.487,-0.00624
425,47.467,-0.00407
430,47.291,-0.03509
435,47.247,-0.00885
440,47.114,-0.02659
445,46.795,-0.06379
450,46.842,0.00943
455,46.405,-0.0875
460,46.116,-0.05768
465,45.689,-0.08541
470,44.906,-0.15661
475,44.214,-0.1384
480,43.461,-0.15057
485,42.481,-0.19604
490,41.169,-0.26252
495,39.971,-0.23949
500,38.623,-0.26959
505,37.349,-0.25481
510,36.133,-0.24324
515,34.998,-0.22703
520,33.885,-0.22265
525,32.945,-0.18784
530,32.361,-0.11683
535,31.803,-0.11173
540,31.129,-0.13469
545,30.811,-0.06367
550,30.714,-0.01945
555,30.296,-0.08358
560,30.212,-0.01678
565,29.941,-0.05423
570,30.103,0.03252
575,29.836,-0.05349
580,29.737,-0.01978
585,29.834,0.01936
590,29.821,-0.0026
595,29.876,0.01101
600,29.824,-0.0104
605,29.689,-0.02702
610,29.764,0.01517
615,29.666,-0.01962
620,29.706,0.00802
625,29.849,0.0286
630,29.867,0.00356
635,29.615,-0.05039
640,29.634,0.00382
645,29.686,0.01035
650,29.698,0.00239
655,29.777,0.01586
660,29.618,-0.03186
665,29.586,-0.00631
670,29.637,0.01006
675,29.809,0.03447
680,29.792,-0.00347
685,29.774,-0.00354
690,29.754,-0.00403
695,29.646,-0.02159
700,29.843,0.03933
705,29.807,-0.00703
710,29.676,-0.02629
715,29.803,0.0254
720,29.624,-0.03578
725,29.713,0.01771
730,29.843,0.02601
735,29.876,0.00673
740,29.731,-0.02912
745,29.681,-0.0099
750,29.651,-0.00607
755,29.605,-0.0092
760,29.634,0.00587
765,29.675,0.00811
770,29.808,0.02673
775,29.859,0.01017
780,29.824,-0.00699
785,29.794,-0.00611
790,29.654,-0.02805
795,29.609,-0.00897
800,29.677,0.01364
