temperature_C,mass_pct,d_mass_pct_per_C
25,99.981,0.0
30,100.069,0.01765
35,100.084,0.00302
40,100.105,0.00406
45,100.048,-0.01142
50,100.136,0.01771
55,99.999,-0.02747
60,99.976,-0.00463
65,99.827,-0.02966
70,100.078,0.05001
75,99.895,-0.03653
80,99.793,-0.02035
85,99.809,0.00317
90,99.844,0.00693
95,99.764,-0.01596
100,99.832,0.01359
105,99.639,-0.03846
110,99.597,-0.00853
115,99.403,-0.03866
120,99.499,0.01915
125,99.303,-0.03918
130,99.091,-0.04242
135,98.766,-0.06497
140,98.566,-0.04009
145,98.477,-0.01772
150,98.173,-0.06076
155,97.985,-0.0377
160,97.863,-0.02436
165,97.722,-0.02822
170,97.665,-0.01141
175,97.672,0.00149
180,97.509,-0.03263
185,97.271,-0.04771
190,97.322,0.01017
195,97.319,-0.00059
200,97.151,-0.03357
205,97.215,0.01288
210,97.019,-0.03922
215,96.905,-0.02287
220,96.977,0.01444
225,96.649,-0.06556
230,96.548,-0.02015
235,96.256,-0.05847
240,95.978,-0.05553
245,95.345,-0.12662
250,94.756,-0.11795
255,93.997,-0.15166
260,92.918,-0.21582
265,91.597,-0.26427
270,89.836,-0.35213
275,87.745,-0.41823
280,85.185,-0.51202
285,81.978,-0.64144
290,78.724,-0.65082
295,74.791,-0.78644
300,70.899,-0.7784
305,67.111,-0.75776
310,63.312,-0.75974
315,59.928,-0.67673
320,56.922,-0.60119
325,54.201,-0.54436
330,52.144,-0.41136
335,50.557,-0.31725
340,49.035,-0.30445
345,48.021,-0.20276
350,47.102,-0.18392
355,46.743,-0.07176
360,46.248,-0.09899
365,45.821,-0.08546
370,45.429,-0.07832
375,45.364,-0.01298
380,45.109,-0.05113
385,45.004,-0.02096
390,45.049,0.00908
395,44.845,-0.04092
400,44.794,-0.01007
405,44.781,-0.00267
410,44.641,-0.02808
415,44.814,0.03472
420,44.543,-0.05428
425,44.726,0.03659
430,44.405,-0.06425
435,44.6,0.03914
440,44.382,-0.04365
445,44.199,-0.03656
450,43.955,-0.04882
455,43.694,-0.05217
460,43.481,-0.0426
465,42.925,-0.11122
470,42.464,-0.0923
475,41.799,-0.13296
480,40.936,-0.17263
485,40.0,-0.18708
490,39.086,-0.18287
495,38.024,-0.21229
500,36.728,-0.25926
505,35.505,-0.24472
510,34.579,-0.18502
515,33.361,-0.24372
520,32.51,-0.17026
525,31.717,-0.15856
530,31.128,-0.11782
535,30.507,-0.12423
540,30.071,-0.08705
545,29.887,-0.03691
550,29.527,-0.07192
555,29.274,-0.05061
560,29.203,-0.01419
565,29.084,-0.02392
570,28.973,-0.02213
575,28.85,-0.02461
580,29.024,0.03493
585,28.867,-0.03156
590,28.922,0.01114
595,28.75,-0.03438
600,28.795,0.00885
605,28.683,-0.02228
610,28.954,0.05419
615,28.704,-0.04997
620,28.845,0.02805
625,28.898,0.0106
630,28.87,-0.00547
635,28.822,-0.00973
640,28.684,-0.02746
645,28.861,0.03536
650,28.771,-0.01809
655,28.806,0.00698
660,28.921,0.02315
665,28.798,-0.02476
670,28.703,-0.01897
675,28.891,0.03757
680,28.787,-0.02076
685,28.815,0.00561
690,28.887,0.01439
695,28.664,-0.04459
700,28.751,0.01734
705,28.805,0.01095
710,28.705,-0.02008
715,28.86,0.03093
720,28.744,-0.02314
725,28.807,0.01257
730,28.827,0.00405
735,28.691,-0.02726
740,28.72,0.00594
745,28.638,-0.01645
750,28.641,0.0006
755,28.79,0.0297
760,28.687,-0.02059
765,28.725,0.00759
770,28.681,-0.00875
775,28.674,-0.00137
780,28.804,0.02602
785,28.745,-0.01184
790,28.707,-0.00767
795,28.698,-0.0017
800,28.91,0.04246
