point_id,temperature_C,branch,strain,stress_MPa
1,800,loading,0.0,0.0
2,800,loading,2.5210084033613446e-05,0.6539413550887483
3,800,loading,5.042016806722689e-05,1.3048589955013148
4,800,loading,7.563025210084034e-05,1.9527798385790303
5,800,loading,0.00010084033613445378,2.597730801663226
6,800,loading,0.00012605042016806722,3.2397388020952325
7,800,loading,0.0001512605042016807,3.8788307572163814
8,800,loading,0.00017647058823529413,4.515033584368004
9,800,loading,0.00020168067226890757,5.148374200891429
10,800,loading,0.000226890756302521,5.778879524127991
11,800,loading,0.00025210084033613445,6.406576471419018
12,800,loading,0.0002773109243697479,7.031491960105842
13,800,loading,0.0003025210084033614,7.6536529075297945
14,800,loading,0.0003277310924369748,8.273086231032206
15,800,loading,0.00035294117647058826,8.889818847954409
16,800,loading,0.00037815126050420167,9.50387767563773
17,800,loading,0.00040336134453781514,10.115289631423503
18,800,loading,0.0004285714285714286,10.724081632653062
19,800,loading,0.000453781512605042,11.330280596667734
20,800,loading,0.0004789915966386555,11.93391344080885
21,800,loading,0.0005042016806722689,12.53500708241774
22,800,loading,0.0005294117647058824,13.133588438835742
23,800,loading,0.0005546218487394958,13.72968442740418
24,800,loading,0.0005798319327731092,14.323321965464386
25,800,loading,0.0006050420168067228,14.914527970357694
26,800,loading,0.0006302521008403362,15.503329359425434
27,800,loading,0.0006554621848739496,16.08975305000893
28,800,loading,0.000680672268907563,16.67382595944952
29,800,loading,0.0007058823529411765,17.25557500508854
30,800,loading,0.0007310924369747899,17.83502710426731
31,800,loading,0.0007563025210084033,18.41220917432717
32,800,loading,0.0007815126050420169,18.98714813260945
33,800,loading,0.0008067226890756303,19.559870896455468
34,800,loading,0.0008319327731092437,20.13040438320657
35,800,loading,0.0008571428571428572,20.698775510204083
36,800,loading,0.0008823529411764706,21.265011194789334
37,800,loading,0.000907563025210084,21.82913835430366
38,800,loading,0.0009327731092436976,22.39118390608839
39,800,loading,0.000957983193277311,22.951174767484847
40,800,loading,0.0009831932773109245,23.509137855834375
41,800,loading,0.0010084033613445378,24.0651000884783
42,800,loading,0.0010336134453781513,24.619088382757948
43,800,loading,0.0010588235294117648,25.171129656014653
44,800,loading,0.0010840336134453781,25.72125082558975
45,800,loading,0.0011092436974789917,26.269478808824566
46,800,loading,0.0011344537815126052,26.815840523060434
47,800,loading,0.0011596638655462185,27.360362885638686
48,800,loading,0.001184873949579832,27.903072813900646
