J_applied_J_m2,P_fail_rho0_00,P_fail_rho0_50,P_fail_HT_uncorrelated,epistemic_gap_abs_rho
1.2,0.0,0.0,0.0006,0.0
1.22,0.0,0.0,0.0006,0.0
1.24,0.0,0.0002,0.0006,0.0002
1.26,0.0,0.0004,0.0006,0.0004
1.28,0.0,0.0004,0.0006,0.0004
1.2999999999999998,0.0,0.0004,0.001,0.0004
1.3199999999999998,0.0,0.0004,0.0012,0.0004
1.3399999999999999,0.0,0.0004,0.0014,0.0004
1.3599999999999999,0.0,0.0004,0.0016,0.0004
1.38,0.0,0.0004,0.0016,0.0004
1.4,0.0,0.0004,0.0022,0.0004
1.42,0.0,0.0004,0.0032,0.0004
1.44,0.0,0.0004,0.0042,0.0004
1.46,0.0,0.0004,0.0048,0.0004
1.48,0.0,0.0004,0.0056,0.0004
1.5,0.0,0.0006,0.007,0.0006
1.52,0.0,0.001,0.0082,0.001
1.54,0.0,0.0014,0.0096,0.0014
1.5599999999999998,0.0,0.0014,0.0118,0.0014
1.5799999999999998,0.0,0.0018,0.0132,0.0018
1.5999999999999999,0.0,0.002,0.015,0.002
1.6199999999999999,0.0002,0.0024,0.0166,0.0021999999999999997
1.64,0.0002,0.0028,0.0204,0.0026
1.66,0.0004,0.0028,0.0228,0.0024
1.68,0.0004,0.0034,0.0262,0.0029999999999999996
1.7,0.0006,0.0038,0.0312,0.0032
1.7199999999999998,0.0006,0.004,0.0362,0.0034000000000000002
1.7399999999999998,0.0008,0.0046,0.0416,0.0038
1.7599999999999998,0.0008,0.0054,0.0464,0.0046
1.7799999999999998,0.0008,0.0062,0.0534,0.005399999999999999
1.7999999999999998,0.0014,0.0074,0.0596,0.006
1.8199999999999998,0.0016,0.008,0.0662,0.0064
1.8399999999999999,0.0018,0.0084,0.074,0.0066
1.8599999999999999,0.0024,0.0094,0.0814,0.007000000000000001
1.88,0.0026,0.0108,0.0898,0.0082
1.9,0.0026,0.0134,0.1004,0.0108
1.92,0.0036,0.0148,0.1124,0.011200000000000002
