specimen_id,rubber_content_pct,temperature_C,exposure_time_hrs,portlandite_wt_pct,calcite_wt_pct,CSH_amorphous_wt_pct,ettringite_wt_pct,quartz_wt_pct,larnite_C2S_wt_pct,hatrurite_C3S_wt_pct,free_lime_CaO_wt_pct,periclase_MgO_wt_pct,gehlenite_wt_pct,crystallinity_index,d_spacing_CSH_A,notes
XRD-R0-RT-01,0,20,0,18.5,3.2,42.3,4.8,8.7,1.2,2.3,0.0,0.5,0.0,0.68,12.6,Typical hydrated Portland cement
XRD-R0-RT-02,0,20,0,18.2,3.4,42.8,4.6,8.5,1.3,2.4,0.0,0.5,0.0,0.69,12.5,Good hydration degree
XRD-R0-RT-03,0,20,0,18.8,3.1,41.9,5.0,8.9,1.1,2.2,0.0,0.6,0.0,0.67,12.7,Consistent control sample
XRD-R5-RT-01,5,20,0,17.8,3.5,41.5,4.3,8.3,1.4,2.5,0.0,0.5,0.0,0.66,12.8,Slight reduction in CH due to rubber
XRD-R5-RT-02,5,20,0,17.6,3.6,41.8,4.2,8.4,1.5,2.6,0.0,0.5,0.0,0.65,12.9,Rubber affects hydration slightly
XRD-R5-RT-03,5,20,0,17.9,3.4,41.3,4.4,8.2,1.3,2.4,0.0,0.6,0.0,0.67,12.7,Within acceptable range
XRD-R10-RT-01,10,20,0,16.9,3.8,40.7,3.9,8.1,1.6,2.8,0.0,0.5,0.0,0.63,13.1,More pronounced CH reduction
XRD-R10-RT-02,10,20,0,16.7,3.9,40.9,3.8,8.0,1.7,2.9,0.0,0.5,0.0,0.62,13.2,Lower crystallinity index
XRD-R10-RT-03,10,20,0,17.1,3.7,40.5,4.0,8.2,1.5,2.7,0.0,0.6,0.0,0.64,13.0,Consistent with 10% rubber
XRD-R15-RT-01,15,20,0,15.8,4.2,39.8,3.5,7.9,1.9,3.1,0.0,0.5,0.0,0.60,13.4,Significant hydration reduction
XRD-R15-RT-02,15,20,0,15.6,4.3,40.1,3.4,7.8,2.0,3.2,0.0,0.5,0.0,0.59,13.5,Higher rubber content effects
XRD-R15-RT-03,15,20,0,16.0,4.1,39.6,3.6,8.0,1.8,3.0,0.0,0.6,0.0,0.61,13.3,Moderate crystallinity
XRD-R20-RT-01,20,20,0,14.5,4.6,38.7,3.0,7.6,2.2,3.5,0.0,0.5,0.0,0.56,13.8,Poor hydration degree
XRD-R20-RT-02,20,20,0,14.3,4.7,39.0,2.9,7.5,2.3,3.6,0.0,0.5,0.0,0.55,13.9,Low CH content
XRD-R20-RT-03,20,20,0,14.7,4.5,38.5,3.1,7.7,2.1,3.4,0.0,0.6,0.0,0.57,13.7,Significant reduction in binding
XRD-R0-200-01,0,200,2,17.2,3.8,41.5,0.2,8.9,1.5,2.6,0.3,0.7,0.0,0.66,12.8,Ettringite decomposed at 200C
XRD-R0-200-02,0,200,2,16.9,4.0,41.8,0.1,8.8,1.6,2.7,0.4,0.7,0.0,0.65,12.9,Slight CH loss from dehydration
XRD-R0-200-03,0,200,2,17.4,3.7,41.3,0.2,9.0,1.4,2.5,0.3,0.8,0.0,0.67,12.7,Minor phase changes
XRD-R5-200-01,5,200,2,16.3,4.1,40.8,0.1,8.5,1.8,2.9,0.5,0.7,0.0,0.63,13.0,Rubber thermal stress beginning
XRD-R5-200-02,5,200,2,16.1,4.2,41.0,0.1,8.4,1.9,3.0,0.6,0.7,0.0,0.62,13.1,Initial thermal degradation
XRD-R10-200-01,10,200,2,15.2,4.5,40.1,0.0,8.2,2.1,3.2,0.8,0.7,0.0,0.59,13.4,Noticeable CH reduction
XRD-R10-200-02,10,200,2,15.0,4.6,40.3,0.0,8.1,2.2,3.3,0.9,0.7,0.0,0.58,13.5,Thermal impact on hydrates
XRD-R15-200-01,15,200,2,14.1,4.8,39.3,0.0,7.9,2.4,3.6,1.2,0.7,0.0,0.55,13.8,Significant phase changes
XRD-R15-200-02,15,200,2,13.9,4.9,39.5,0.0,7.8,2.5,3.7,1.3,0.7,0.0,0.54,13.9,CH consumption accelerating
XRD-R20-200-01,20,200,2,12.8,5.2,38.5,0.0,7.5,2.8,4.0,1.6,0.7,0.0,0.51,14.2,Major hydrate degradation
XRD-R20-200-02,20,200,2,12.6,5.3,38.7,0.0,7.4,2.9,4.1,1.7,0.7,0.0,0.50,14.3,Poor thermal stability
XRD-R0-400-01,0,400,2,12.8,5.5,38.2,0.0,9.5,2.3,3.5,2.8,1.2,0.5,0.58,13.2,Significant CH dehydroxylation
XRD-R0-400-02,0,400,2,12.5,5.7,38.5,0.0,9.4,2.4,3.6,3.0,1.2,0.6,0.57,13.3,CSH decomposition starting
XRD-R0-400-03,0,400,2,13.0,5.4,37.9,0.0,9.6,2.2,3.4,2.7,1.3,0.5,0.59,13.1,Free lime formation
XRD-R5-400-01,5,400,2,11.2,6.2,36.8,0.0,8.9,2.8,4.2,4.5,1.3,0.8,0.52,13.8,Severe CH loss
XRD-R5-400-02,5,400,2,10.9,6.4,37.1,0.0,8.8,2.9,4.3,4.8,1.3,0.9,0.51,13.9,Rubber combustion products
XRD-R5-400-03,5,400,2,11.4,6.1,36.6,0.0,9.0,2.7,4.1,4.3,1.4,0.8,0.53,13.7,Increased free lime
XRD-R10-400-01,10,400,2,9.5,7.1,35.2,0.0,8.5,3.3,4.8,6.8,1.4,1.2,0.47,14.3,Major decomposition
XRD-R10-400-02,10,400,2,9.2,7.3,35.5,0.0,8.4,3.4,4.9,7.2,1.4,1.3,0.46,14.4,CH nearly depleted
XRD-R10-400-03,10,400,2,9.7,7.0,35.0,0.0,8.6,3.2,4.7,6.5,1.5,1.2,0.48,14.2,High free lime content
XRD-R15-400-01,15,400,2,7.8,8.0,33.8,0.0,8.2,3.8,5.4,9.5,1.5,1.6,0.42,14.8,Severe phase transformation
XRD-R15-400-02,15,400,2,7.5,8.2,34.1,0.0,8.1,3.9,5.5,10.1,1.5,1.7,0.41,14.9,Critical CH depletion
XRD-R20-400-01,20,400,2,6.2,8.8,32.5,0.0,7.8,4.3,6.1,12.4,1.6,2.0,0.38,15.3,Catastrophic decomposition
XRD-R20-400-02,20,400,2,5.9,9.0,32.8,0.0,7.7,4.4,6.2,13.0,1.6,2.1,0.37,15.4,Extreme phase changes
XRD-R0-600-01,0,600,2,4.2,9.8,28.5,0.0,10.2,4.5,6.8,18.5,2.3,3.8,0.42,14.5,Complete CH dehydroxylation
XRD-R0-600-02,0,600,2,3.9,10.1,28.9,0.0,10.1,4.6,6.9,19.2,2.3,4.0,0.41,14.6,CSH breakdown advanced
XRD-R0-600-03,0,600,2,4.5,9.6,28.2,0.0,10.3,4.4,6.7,18.0,2.4,3.7,0.43,14.4,Major lime formation
XRD-R5-600-01,5,600,2,2.1,11.2,25.8,0.0,9.5,5.3,7.8,23.8,2.5,5.2,0.36,15.1,Near-total CH loss
XRD-R5-600-02,5,600,2,1.8,11.5,26.2,0.0,9.4,5.4,7.9,24.7,2.5,5.4,0.35,15.2,Severe thermal damage
XRD-R5-600-03,5,600,2,2.3,11.0,25.6,0.0,9.6,5.2,7.7,23.2,2.6,5.1,0.37,15.0,High temperature phases
XRD-R10-600-01,10,600,2,0.8,12.5,23.2,0.0,9.0,6.1,8.9,28.5,2.7,6.8,0.31,15.7,Complete CH consumption
XRD-R10-600-02,10,600,2,0.5,12.8,23.6,0.0,8.9,6.2,9.0,29.4,2.7,7.0,0.30,15.8,Gehlenite formation
XRD-R15-600-01,15,600,2,0.2,13.5,21.8,0.0,8.6,6.8,9.7,32.8,2.9,7.8,0.27,16.2,Extreme decomposition
XRD-R15-600-02,15,600,2,0.1,13.8,22.2,0.0,8.5,6.9,9.8,33.9,2.9,8.1,0.26,16.3,Sintering beginning
XRD-R20-600-01,20,600,2,0.0,14.6,20.1,0.0,8.2,7.5,10.6,37.2,3.1,9.2,0.23,16.8,Total phase transformation
