Mix ID,Rubber %,Cement (kg/m³),Water (kg/m³),W/C Ratio,Slump (mm),Air (%),Density (kg/m³)
CM-00,0,380,171,0.45,180,2.1,2385
RM-05-F,5,380,173,0.455,165,2.8,2342
RM-05-C,5,380,174,0.458,160,3.1,2335
RM-10-F,10,380,176,0.463,155,3.5,2298
RM-10-C,10,380,178,0.468,145,3.8,2285
RM-10-M,10,380,177,0.466,150,3.6,2291
RM-15-F,15,380,180,0.474,140,4.2,2255
RM-15-C,15,380,182,0.479,130,4.5,2242
RM-15-SF,15,342,180,0.474,135,3.8,2268
RM-20-F,20,380,185,0.487,125,4.8,2212
RM-20-C,20,380,188,0.495,115,5.2,2198
RM-20-SF,20,342,185,0.487,120,4.4,2225
