sin2psi,d_spacing_A,two_theta_deg,psi_deg,phi_deg,stress_MPa_calc
0.0000,2.31400,38.996,-30.00,0.00,50.0
0.0400,2.31428,38.991,-25.00,0.00,54.8
0.0800,2.31456,38.986,-20.00,0.00,59.6
0.1200,2.31484,38.981,-15.00,0.00,64.4
0.1600,2.31512,38.976,-10.00,0.00,69.2
0.2000,2.31540,38.971,-5.00,0.00,74.0
0.2400,2.31568,38.966,0.00,0.00,78.8
0.2800,2.31596,38.961,5.00,0.00,83.6
0.3200,2.31624,38.956,10.00,0.00,88.4
0.3600,2.31652,38.951,15.00,0.00,93.2
0.4000,2.31680,38.946,20.00,0.00,98.0
0.4400,2.31708,38.941,25.00,0.00,102.8
0.4800,2.31736,38.936,30.00,0.00,107.6
0.5200,2.31764,38.931,35.00,0.00,112.4
0.5600,2.31792,38.926,40.00,0.00,117.2
0.6000,2.31820,38.921,45.00,0.00,122.0
