Mode_Mixity_GII_over_GT,Gc_eta_1.5,Gc_eta_2.0,Gc_eta_2.1,Gc_eta_2.5,Gc_eta_3.0
0.0000,1.800000,1.800000,1.800000,1.800000,1.800000
0.0100,1.802700,1.800270,1.800170,1.800027,1.800003
0.0200,1.807637,1.801080,1.800730,1.800153,1.800022
0.0300,1.814030,1.802430,1.801711,1.800421,1.800073
0.0400,1.821600,1.804320,1.803131,1.800864,1.800173
0.0500,1.830187,1.806750,1.805003,1.801509,1.800338
0.0600,1.839682,1.809720,1.807336,1.802381,1.800583
0.0700,1.850005,1.813230,1.810141,1.803500,1.800926
0.0800,1.861094,1.817280,1.813423,1.804888,1.801382
0.0900,1.872900,1.821870,1.817190,1.806561,1.801968
0.1000,1.885381,1.827000,1.821447,1.808538,1.802700
0.1100,1.898504,1.832670,1.826199,1.810835,1.803594
0.1200,1.912237,1.838880,1.831452,1.813468,1.804666
0.1300,1.926555,1.845630,1.837209,1.816452,1.805932
0.1400,1.941435,1.852920,1.843474,1.819801,1.807409
0.1500,1.956856,1.860750,1.850252,1.823528,1.809113
0.1600,1.972800,1.869120,1.857546,1.827648,1.811059
0.1700,1.989251,1.878030,1.865359,1.832173,1.813265
0.1800,2.006192,1.887480,1.873695,1.837115,1.815746
0.1900,2.023612,1.897470,1.882556,1.842486,1.818519
0.2000,2.041495,1.908000,1.891945,1.848299,1.821600
0.2100,2.059832,1.919070,1.901865,1.854565,1.825005
0.2200,2.078611,1.930680,1.912319,1.861294,1.828750
0.2300,2.097821,1.942830,1.923308,1.868499,1.832851
0.2400,2.117454,1.955520,1.934836,1.876189,1.837325
0.2500,2.137500,1.968750,1.946905,1.884375,1.842188
0.2600,2.157951,1.982520,1.959517,1.893067,1.847455
0.2700,2.178800,1.996830,1.972674,1.902276,1.853144
0.2800,2.200038,2.011680,1.986378,1.912011,1.859270
0.2900,2.221658,2.027070,2.000632,1.922281,1.865850
0.3000,2.243655,2.043000,2.015436,1.933097,1.872900
0.3100,2.266022,2.059470,2.030793,1.944467,1.880436
0.3200,2.288752,2.076480,2.046705,1.956401,1.888474
0.3300,2.311841,2.094030,2.063174,1.968907,1.897030
0.3400,2.335281,2.112120,2.080201,1.981996,1.906121
0.3500,2.359070,2.130750,2.097788,1.995674,1.915763
0.3600,2.383200,2.149920,2.115936,2.009952,1.925971
0.3700,2.407668,2.169630,2.134647,2.024837,1.936763
0.3800,2.432469,2.189880,2.153923,2.040338,1.948154
0.3900,2.457598,2.210670,2.173766,2.056463,1.960161
0.4000,2.483052,2.232000,2.194176,2.073221,1.972800
0.4100,2.508826,2.253870,2.215155,2.090619,1.986087
0.4200,2.534916,2.276280,2.236704,2.108665,2.000038
0.4300,2.561319,2.299230,2.258825,2.127367,2.014669
0.4400,2.588030,2.322720,2.281520,2.146733,2.029997
0.4500,2.615047,2.346750,2.304789,2.166771,2.046038
0.4600,2.642365,2.371320,2.328634,2.187488,2.062807
0.4700,2.669983,2.396430,2.353056,2.208892,2.080322
0.4800,2.697895,2.422080,2.378057,2.230990,2.098598
0.4900,2.726100,2.448270,2.403637,2.253789,2.117652
0.5000,2.754594,2.475000,2.429797,2.277297,2.137500
0.5100,2.783375,2.502270,2.456540,2.301521,2.158158
0.5200,2.812439,2.530080,2.483866,2.326468,2.179642
0.5300,2.841784,2.558430,2.511776,2.352145,2.201968
0.5400,2.871407,2.587320,2.540271,2.378560,2.225153
0.5500,2.901305,2.616750,2.569353,2.405718,2.249213
0.5600,2.931477,2.646720,2.599022,2.433627,2.274163
0.5700,2.961920,2.677230,2.629280,2.462294,2.300021
0.5800,2.992630,2.708280,2.660127,2.491725,2.326802
0.5900,3.023607,2.739870,2.691565,2.521928,2.354523
0.6000,3.054847,2.772000,2.723595,2.552908,2.383200
0.6100,3.086348,2.804670,2.756217,2.584672,2.412849
0.6200,3.118109,2.837880,2.789433,2.617228,2.443486
0.6300,3.150127,2.871630,2.823243,2.650580,2.475127
0.6400,3.182400,2.905920,2.857649,2.684736,2.507789
0.6500,3.214926,2.940750,2.892652,2.719702,2.541488
0.6600,3.247704,2.976120,2.928252,2.755484,2.576239
0.6700,3.280730,3.012030,2.964450,2.792089,2.612060
0.6800,3.314004,3.048480,3.001247,2.829523,2.648966
0.6900,3.347524,3.085470,3.038645,2.867792,2.686974
0.7000,3.381287,3.123000,3.076644,2.906901,2.726100
0.7100,3.415293,3.161070,3.115244,2.946858,2.766360
0.7200,3.449539,3.199680,3.154447,2.987668,2.807770
0.7300,3.484023,3.238830,3.194254,3.029337,2.850346
0.7400,3.518745,3.278520,3.234665,3.071871,2.894105
0.7500,3.553701,3.318750,3.275681,3.115276,2.939063
0.7600,3.588892,3.359520,3.317303,3.159558,2.985235
0.7700,3.624315,3.400830,3.359532,3.204723,3.032639
0.7800,3.659969,3.442680,3.402369,3.250776,3.081290
0.7900,3.695852,3.485070,3.445814,3.297723,3.131205
0.8000,3.731963,3.528000,3.489868,3.345570,3.182400
0.8100,3.768300,3.571470,3.534532,3.394323,3.234891
0.8200,3.804862,3.615480,3.579807,3.443987,3.288694
0.8300,3.841648,3.660030,3.625693,3.494568,3.343825
0.8400,3.878656,3.705120,3.672191,3.546071,3.400301
0.8500,3.915885,3.750750,3.719303,3.598503,3.458137
0.8600,3.953334,3.796920,3.767028,3.651867,3.517351
0.8700,3.991001,3.843630,3.815367,3.706171,3.577958
0.8800,4.028886,3.890880,3.864322,3.761419,3.639974
0.8900,4.066986,3.938670,3.913892,3.817617,3.703416
0.9000,4.105300,3.987000,3.964079,3.874770,3.768300
0.9100,4.143829,4.035870,4.014882,3.932884,3.834642
0.9200,4.182569,4.085280,4.066304,3.991964,3.902458
0.9300,4.221521,4.135230,4.118344,4.052014,3.971764
0.9400,4.260682,4.185720,4.171004,4.113041,4.042577
0.9500,4.300053,4.236750,4.224283,4.175050,4.114913
0.9600,4.339631,4.288320,4.278183,4.238046,4.188787
0.9700,4.379416,4.340430,4.332704,4.302033,4.264217
0.9800,4.419406,4.393080,4.387847,4.367018,4.341218
0.9900,4.459601,4.446270,4.443612,4.433005,4.419807
1.0000,4.500000,4.500000,4.500000,4.500000,4.500000
