pO2_atm,alpha_chem_600C,alpha_chem_700C,alpha_chem_800C,alpha_chem_900C,epsilon_chem_600C,epsilon_chem_700C,epsilon_chem_800C,epsilon_chem_900C
1.0000e-20,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00053600,0.00112653,0.00178000
8.0309e-20,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00051090,0.00107334,0.00169571
6.4495e-19,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00048580,0.00102015,0.00161143
5.1795e-18,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00046070,0.00096695,0.00152714
4.1596e-17,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00043561,0.00091376,0.00144286
3.3405e-16,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00041051,0.00086057,0.00135857
2.6827e-15,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00038541,0.00080737,0.00127429
2.1544e-14,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00036031,0.00075418,0.00119000
1.7302e-13,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00033521,0.00070098,0.00110571
1.3895e-12,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00031011,0.00064779,0.00102143
1.1159e-11,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00028502,0.00059460,0.00093714
8.9615e-11,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00025992,0.00054140,0.00085286
7.1969e-10,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00023482,0.00048821,0.00076857
5.7797e-09,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00020972,0.00043502,0.00068429
4.6416e-08,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00018462,0.00038182,0.00060000
3.7276e-07,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00015952,0.00032863,0.00051571
2.9936e-06,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00013443,0.00027543,0.00043143
2.4041e-05,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00010933,0.00022224,0.00034714
1.9307e-04,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00008423,0.00016905,0.00026286
1.5505e-03,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00005913,0.00011585,0.00017857
1.2452e-02,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00003403,0.00006266,0.00009429
1.0000e-01,0.084000,0.089333,0.094667,0.100000,0.00000840,0.00000893,0.00000947,0.00001000
